Order_ID,Customer_ID,Order_Date,Order_Status,Payment_Method,Shipping_Type,Delivery_Date,Total_Amount,Discount_Amount,Final_Amount
ORD00024,CUST00627,2023-04-30,Returned,COD,Express,2023-05-03,1354,0,1354
ORD00025,CUST01088,2025-05-11,Cancelled,Card,Standard,,1493,405,1088
ORD00026,CUST04686,2024-07-05,Completed,Wallet,Standard,2024-07-09,1565,0,1565
ORD00027,CUST03248,2023-11-18,Completed,Wallet,Standard,2023-11-25,4627,0,4627
ORD00028,CUST02577,2023-01-31,Completed,UPI,Standard,2023-02-04,4315,0,4315
ORD00029,CUST04519,2024-02-16,Completed,UPI,Standard,2024-02-20,4467,955,3512
ORD00030,CUST02341,2025-08-11,Completed,Card,Express,2025-08-14,1287,0,1287
ORD00031,CUST04301,2022-04-19,Completed,UPI,Express,2022-04-20,3134,170,2964
ORD00032,CUST01725,2024-01-02,Cancelled,COD,Standard,,3952,369,3583
ORD00033,CUST04337,2021-01-26,Completed,Wallet,Standard,2021-01-29,4172,978,3194
ORD00034,CUST02126,2025-08-19,Completed,UPI,Express,2025-08-22,4595,0,4595
ORD00035,CUST04985,2024-07-11,Completed,UPI,Express,2024-07-12,696,0,696
ORD00036,CUST03588,2023-01-26,Completed,COD,Standard,2023-02-01,1676,184,1492
ORD00037,CUST04941,2021-03-30,Completed,COD,Standard,2021-04-06,4998,0,4998
ORD00038,CUST00249,2024-05-17,Completed,Wallet,Express,2024-05-20,4696,934,3762
ORD00039,CUST00950,2024-08-26,Completed,UPI,Express,2024-08-29,2785,0,2785
ORD00040,CUST00531,2021-12-21,Completed,UPI,Express,2021-12-23,4351,0,4351
ORD00041,CUST03757,2024-04-16,Completed,COD,Standard,2024-04-19,2497,565,1932
ORD00042,CUST02415,2024-02-08,Completed,COD,Standard,2024-02-15,890,212,678
ORD00043,CUST03207,2023-02-22,Completed,Card,Express,2023-02-25,1620,0,1620
ORD00044,CUST01204,2021-11-09,Completed,Card,Standard,2021-11-15,4474,1218,3256
ORD00045,CUST03098,2024-03-04,Completed,UPI,Standard,2024-03-10,1055,0,1055
ORD00046,CUST01012,2024-09-21,Completed,UPI,Standard,2024-09-25,4702,0,4702
ORD00047,CUST01247,2022-11-04,Completed,COD,Express,2022-11-07,4531,971,3560
ORD00048,CUST01462,2024-06-25,Completed,Wallet,Standard,2024-06-29,2079,0,2079
ORD00049,CUST02822,2022-12-18,Completed,UPI,Standard,2022-12-22,4707,621,4086
ORD00050,CUST01245,2021-07-31,Cancelled,Wallet,Express,,3804,0,3804
ORD00051,CUST00828,2022-03-09,Completed,COD,Express,2022-03-12,1098,0,1098
ORD00052,CUST04694,2024-03-09,Cancelled,Card,Standard,,4745,0,4745
ORD00053,CUST03657,2024-11-21,Cancelled,UPI,Standard,,3459,897,2562
ORD00054,CUST01287,2025-09-08,Completed,UPI,Standard,2025-09-12,4676,766,3910
ORD00055,CUST04970,2023-06-17,Cancelled,COD,Standard,,4799,0,4799
ORD00056,CUST04279,2023-06-04,Cancelled,UPI,Standard,,4328,0,4328
ORD00057,CUST03914,2024-06-16,Cancelled,Card,Express,,1999,0,1999
ORD00058,CUST01872,2025-07-24,Completed,UPI,Standard,2025-07-27,673,0,673
ORD00059,CUST04051,2024-08-21,Cancelled,Card,Express,,775,188,587
ORD00060,CUST00830,2021-10-24,Completed,Card,Standard,2021-10-28,2754,0,2754
ORD00061,CUST00206,2023-03-12,Cancelled,Card,Express,,2610,0,2610
ORD00062,CUST01642,2025-05-20,Cancelled,Wallet,Express,,2801,242,2559
ORD00063,CUST03915,2022-04-24,Completed,COD,Standard,2022-04-29,1167,0,1167
ORD00064,CUST00449,2021-03-09,Cancelled,Card,Express,,1572,295,1277
ORD00065,CUST01255,2021-05-05,Completed,COD,Express,2021-05-06,2390,0,2390
ORD00066,CUST04913,2024-10-16,Completed,Card,Express,2024-10-17,3679,0,3679
ORD00067,CUST03353,2023-04-08,Completed,UPI,Express,2023-04-09,4110,435,3675
ORD00068,CUST00254,2023-07-26,Completed,UPI,Standard,2023-08-02,1515,0,1515
ORD00069,CUST00379,2024-11-07,Completed,Card,Express,2024-11-09,933,88,845
ORD00070,CUST04526,2025-07-07,Cancelled,COD,Express,,1565,0,1565
ORD00071,CUST04491,2023-08-14,Completed,UPI,Standard,2023-08-21,987,0,987
ORD00072,CUST03959,2024-12-24,Cancelled,Card,Express,,2330,319,2011
ORD00073,CUST00629,2022-01-18,Completed,COD,Express,2022-01-21,1915,0,1915
ORD00074,CUST04810,2021-01-18,Completed,Card,Standard,2021-01-25,4490,0,4490
ORD00075,CUST01811,2022-01-18,Completed,Card,Express,2022-01-19,2788,0,2788
ORD00076,CUST03816,2024-03-16,Completed,Card,Express,2024-03-19,1043,0,1043
ORD00077,CUST01536,2024-02-01,Completed,UPI,Express,2024-02-04,767,88,679
ORD00078,CUST04328,2022-03-08,Completed,COD,Standard,2022-03-11,1717,193,1524
ORD00079,CUST04905,2023-02-01,Completed,Card,Standard,2023-02-06,3277,0,3277
ORD00080,CUST02672,2021-05-20,Completed,COD,Standard,2021-05-23,3024,305,2719
ORD00081,CUST04444,2025-08-02,Cancelled,COD,Express,,3893,1046,2847
ORD00082,CUST02750,2022-05-20,Completed,Wallet,Standard,2022-05-23,3463,0,3463
ORD00083,CUST01189,2021-11-15,Completed,UPI,Standard,2021-11-22,4654,945,3709
ORD00084,CUST01739,2022-05-18,Completed,Wallet,Express,2022-05-19,3645,0,3645
ORD00085,CUST04174,2023-11-29,Completed,Wallet,Standard,2023-12-05,3909,0,3909
ORD00086,CUST04030,2024-02-07,Completed,Card,Standard,2024-02-11,3099,453,2646
ORD00087,CUST01220,2023-03-08,Completed,UPI,Standard,2023-03-14,4465,1095,3370
ORD00088,CUST04023,2023-05-01,Completed,Card,Express,2023-05-03,4237,0,4237
ORD00089,CUST04082,2023-09-16,Completed,COD,Express,2023-09-18,1712,323,1389
ORD00090,CUST01167,2023-09-10,Completed,COD,Standard,2023-09-16,3406,0,3406
ORD00091,CUST00847,2021-05-11,Completed,COD,Express,2021-05-14,3190,0,3190
ORD00092,CUST03463,2025-08-03,Completed,Card,Standard,2025-08-06,3443,0,3443
ORD00093,CUST01347,2025-12-08,Completed,Wallet,Standard,2025-12-12,946,0,946
ORD00094,CUST01094,2022-01-06,Completed,Wallet,Express,2022-01-07,2966,0,2966
ORD00095,CUST00038,2024-01-21,Completed,UPI,Express,2024-01-23,2497,286,2211
ORD00096,CUST04272,2023-08-03,Cancelled,Card,Standard,,679,0,679
ORD00097,CUST03809,2022-02-21,Returned,UPI,Standard,2022-02-24,4759,0,4759
ORD00098,CUST03598,2021-09-19,Completed,COD,Standard,2021-09-25,1325,330,995
ORD00099,CUST04180,2022-03-24,Completed,Card,Express,2022-03-27,1760,423,1337
ORD00100,CUST03901,2025-07-05,Completed,COD,Standard,2025-07-10,2300,374,1926
ORD00101,CUST03466,2023-09-15,Completed,Card,Standard,2023-09-22,2969,446,2523
ORD00102,CUST03768,2022-07-23,Completed,Card,Express,2022-07-24,822,0,822
ORD00103,CUST02097,2025-08-04,Completed,UPI,Standard,2025-08-07,3399,375,3024
ORD00104,CUST03002,2023-12-31,Completed,UPI,Standard,2024-01-05,3614,0,3614
ORD00105,CUST04814,2023-05-11,Completed,UPI,Standard,2023-05-17,810,0,810
ORD00106,CUST03657,2022-10-27,Completed,UPI,Express,2022-10-30,4616,0,4616
ORD00107,CUST00436,2025-11-12,Completed,Wallet,Express,2025-11-13,2740,0,2740
ORD00108,CUST03547,2021-01-15,Completed,UPI,Standard,2021-01-19,1528,0,1528
ORD00109,CUST01940,2024-01-13,Cancelled,COD,Express,,652,0,652
ORD00110,CUST03925,2024-07-31,Completed,Card,Express,2024-08-02,3602,0,3602
ORD00111,CUST04482,2023-01-28,Completed,UPI,Express,2023-01-30,4252,1042,3210
ORD00112,CUST02390,2023-04-21,Completed,COD,Standard,2023-04-25,1143,288,855
ORD00113,CUST02003,2024-02-03,Completed,COD,Express,2024-02-04,1154,0,1154
ORD00114,CUST01557,2024-11-13,Completed,UPI,Express,2024-11-15,3730,1015,2715
ORD00115,CUST02983,2022-08-12,Cancelled,UPI,Standard,,1686,0,1686
ORD00116,CUST04260,2022-10-24,Completed,UPI,Standard,2022-10-29,3605,626,2979
ORD00117,CUST04987,2021-06-22,Completed,UPI,Standard,2021-06-26,4780,755,4025
ORD00118,CUST04868,2023-08-17,Completed,UPI,Express,2023-08-18,4594,0,4594
ORD00119,CUST04569,2024-10-27,Completed,UPI,Express,2024-10-30,2566,0,2566
ORD00120,CUST03743,2022-06-28,Completed,UPI,Express,2022-07-01,1268,0,1268
ORD00121,CUST00395,2025-07-19,Completed,Card,Express,2025-07-22,2075,187,1888
ORD00122,CUST04347,2022-12-11,Cancelled,UPI,Express,,2684,0,2684
ORD00123,CUST01457,2024-08-28,Returned,UPI,Express,2024-08-31,2974,0,2974
ORD00124,CUST04838,2024-11-08,Cancelled,UPI,Standard,,3876,0,3876
ORD00125,CUST03428,2023-11-01,Completed,Card,Express,2023-11-04,1445,0,1445
ORD00126,CUST03481,2022-12-09,Completed,UPI,Express,2022-12-11,675,0,675
ORD00127,CUST04215,2023-09-18,Returned,UPI,Express,2023-09-19,4345,0,4345
ORD00128,CUST01924,2024-11-22,Completed,COD,Express,2024-11-23,4171,0,4171
ORD00129,CUST04966,2025-04-22,Completed,UPI,Standard,2025-04-26,4197,536,3661
ORD00130,CUST04447,2023-02-18,Completed,COD,Express,2023-02-20,1316,0,1316
ORD00131,CUST04854,2021-04-17,Completed,Card,Standard,2021-04-21,3232,0,3232
ORD00132,CUST03422,2021-09-08,Completed,UPI,Express,2021-09-09,3106,0,3106
ORD00133,CUST01036,2023-10-09,Completed,UPI,Standard,2023-10-15,4369,672,3697
ORD00134,CUST04039,2024-02-11,Completed,Wallet,Express,2024-02-14,1549,177,1372
ORD00135,CUST00157,2024-07-26,Completed,UPI,Standard,2024-07-29,1961,0,1961
ORD00136,CUST00463,2023-10-01,Completed,COD,Standard,2023-10-05,3781,267,3514
ORD00137,CUST02837,2025-07-09,Completed,UPI,Express,2025-07-10,4147,0,4147
ORD00138,CUST02236,2024-04-19,Completed,UPI,Express,2024-04-22,4705,331,4374
ORD00139,CUST02131,2022-04-18,Completed,COD,Standard,2022-04-21,3596,0,3596
ORD00140,CUST01020,2024-12-16,Completed,Card,Standard,2024-12-21,2131,0,2131
ORD00141,CUST00292,2023-12-25,Completed,Card,Express,2023-12-28,3206,0,3206
ORD00142,CUST04356,2025-05-24,Completed,Card,Express,2025-05-27,2656,0,2656
ORD00143,CUST00286,2024-02-22,Completed,UPI,Standard,2024-02-25,2073,505,1568
ORD00144,CUST01472,2022-08-06,Returned,UPI,Express,2022-08-08,2127,567,1560
ORD00145,CUST03176,2021-12-03,Completed,UPI,Standard,2021-12-06,852,0,852
ORD00146,CUST04272,2025-08-16,Completed,COD,Standard,2025-08-23,3287,0,3287
ORD00147,CUST00636,2021-02-15,Completed,UPI,Express,2021-02-17,4461,0,4461
ORD00148,CUST02730,2022-01-07,Completed,UPI,Standard,2022-01-11,2138,201,1937
ORD00149,CUST04498,2025-05-30,Completed,UPI,Express,2025-06-02,4203,0,4203
ORD00150,CUST02598,2024-06-17,Completed,COD,Express,2024-06-19,4504,0,4504
ORD00151,CUST04669,2021-06-12,Completed,Card,Standard,2021-06-18,4972,1298,3674
ORD00152,CUST00260,2024-04-16,Completed,Card,Standard,2024-04-20,2895,0,2895
ORD00153,CUST04330,2025-05-13,Completed,UPI,Standard,2025-05-17,2126,204,1922
ORD00154,CUST04990,2022-01-20,Completed,Wallet,Standard,2022-01-27,4429,0,4429
ORD00155,CUST00299,2022-10-26,Returned,COD,Standard,2022-10-30,2862,0,2862
ORD00156,CUST04810,2021-06-20,Completed,Wallet,Standard,2021-06-25,1199,0,1199
ORD00157,CUST04619,2023-03-04,Completed,Card,Express,2023-03-05,4226,474,3752
ORD00158,CUST00661,2023-07-01,Returned,Card,Standard,2023-07-07,4288,1050,3238
ORD00159,CUST04445,2022-09-17,Completed,UPI,Standard,2022-09-24,2525,590,1935
ORD00160,CUST03060,2023-01-19,Completed,COD,Standard,2023-01-23,1556,0,1556
ORD00161,CUST01873,2022-09-18,Returned,UPI,Standard,2022-09-25,3150,0,3150
ORD00162,CUST02726,2021-01-14,Completed,Card,Standard,2021-01-17,1019,0,1019
ORD00163,CUST03366,2025-04-10,Returned,Card,Standard,2025-04-16,4515,0,4515
ORD00164,CUST03802,2021-12-06,Completed,UPI,Express,2021-12-07,3990,623,3367
ORD00165,CUST01436,2023-09-02,Returned,COD,Standard,2023-09-09,2320,456,1864
ORD00166,CUST00867,2025-11-30,Cancelled,UPI,Express,,1564,341,1223
ORD00167,CUST04380,2025-09-12,Completed,COD,Standard,2025-09-19,2718,701,2017
ORD00168,CUST01974,2025-04-11,Completed,Card,Standard,2025-04-14,3976,706,3270
ORD00169,CUST03405,2023-11-14,Completed,COD,Standard,2023-11-21,2830,791,2039
ORD00170,CUST02323,2022-08-03,Cancelled,UPI,Standard,,4182,0,4182
ORD00171,CUST02305,2023-07-20,Cancelled,COD,Standard,,1220,156,1064
ORD00172,CUST01201,2025-10-17,Completed,UPI,Express,2025-10-18,1548,138,1410
ORD00173,CUST04348,2025-12-27,Cancelled,UPI,Standard,,689,0,689
ORD00174,CUST04295,2022-09-25,Completed,Card,Standard,2022-09-28,1451,108,1343
ORD00175,CUST00783,2023-10-08,Completed,UPI,Standard,2023-10-15,1651,0,1651
ORD00176,CUST00828,2025-11-14,Cancelled,COD,Express,,1587,336,1251
ORD00177,CUST02205,2022-06-18,Returned,Wallet,Express,2022-06-19,2528,435,2093
ORD00178,CUST03726,2022-10-12,Returned,COD,Standard,2022-10-17,1623,132,1491
ORD00179,CUST03738,2021-04-10,Completed,Card,Express,2021-04-12,2266,359,1907
ORD00180,CUST04275,2022-07-13,Returned,COD,Express,2022-07-15,2034,0,2034
ORD00181,CUST04073,2024-09-01,Completed,COD,Standard,2024-09-05,1861,0,1861
ORD00182,CUST01931,2022-04-23,Completed,Card,Standard,2022-04-26,2821,0,2821
ORD00183,CUST02319,2023-08-24,Completed,Card,Standard,2023-08-28,1166,0,1166
ORD00184,CUST01189,2023-12-31,Completed,Card,Express,2024-01-03,1741,304,1437
ORD00185,CUST04067,2021-03-01,Cancelled,UPI,Express,,3882,0,3882
ORD00186,CUST02178,2022-04-23,Completed,Card,Standard,2022-04-28,2686,420,2266
ORD00187,CUST02359,2025-01-19,Completed,UPI,Standard,2025-01-25,707,87,620
ORD00188,CUST01639,2025-02-28,Completed,Card,Express,2025-03-01,2522,0,2522
ORD00189,CUST00360,2022-04-11,Completed,UPI,Express,2022-04-12,2247,268,1979
ORD00190,CUST00458,2022-11-11,Completed,Card,Express,2022-11-14,1472,0,1472
ORD00191,CUST02370,2021-01-04,Returned,Card,Express,2021-01-06,4938,0,4938
ORD00192,CUST00883,2024-10-24,Completed,Card,Express,2024-10-25,599,0,599
ORD00193,CUST04121,2025-01-14,Completed,Card,Express,2025-01-17,2297,256,2041
ORD00194,CUST04580,2022-12-25,Completed,Card,Express,2022-12-26,4753,0,4753
ORD00195,CUST03659,2023-12-08,Completed,Wallet,Standard,2023-12-12,3479,574,2905
ORD00196,CUST02454,2022-01-27,Returned,Card,Standard,2022-02-01,4100,249,3851
ORD00197,CUST01426,2025-06-21,Returned,UPI,Express,2025-06-23,4509,0,4509
ORD00198,CUST01782,2022-03-17,Completed,UPI,Express,2022-03-19,1293,0,1293
ORD00199,CUST01899,2021-09-07,Cancelled,Wallet,Express,,2791,591,2200
ORD00200,CUST00517,2023-10-07,Completed,COD,Standard,2023-10-13,1927,0,1927
ORD00201,CUST03324,2025-07-26,Completed,Card,Standard,2025-08-01,1895,0,1895
ORD00202,CUST00167,2024-04-20,Completed,UPI,Standard,2024-04-27,2529,428,2101
ORD00203,CUST00229,2021-10-27,Completed,UPI,Standard,2021-11-01,4282,356,3926
ORD00204,CUST01335,2022-06-11,Cancelled,Wallet,Express,,4545,1136,3409
ORD00205,CUST00417,2021-05-13,Completed,UPI,Express,2021-05-16,4493,306,4187
ORD00206,CUST00290,2024-02-18,Cancelled,COD,Express,,3903,0,3903
ORD00207,CUST00068,2021-02-15,Completed,UPI,Express,2021-02-18,3923,377,3546
ORD00208,CUST00122,2023-04-23,Cancelled,COD,Express,,1932,394,1538
ORD00209,CUST04140,2022-04-26,Returned,UPI,Standard,2022-05-01,1343,0,1343
ORD00210,CUST03304,2023-11-26,Completed,UPI,Express,2023-11-29,557,0,557
ORD00211,CUST01067,2021-07-13,Cancelled,Card,Express,,3994,0,3994
ORD00212,CUST04213,2024-07-27,Completed,COD,Standard,2024-08-03,3707,914,2793
ORD00213,CUST01945,2024-08-26,Completed,UPI,Standard,2024-09-01,3710,430,3280
ORD00214,CUST01853,2021-09-24,Completed,UPI,Standard,2021-09-27,2239,603,1636
ORD00215,CUST03783,2022-06-12,Completed,UPI,Express,2022-06-13,1066,0,1066
ORD00216,CUST01449,2023-07-25,Completed,Card,Express,2023-07-28,1800,417,1383
ORD00217,CUST03907,2021-09-11,Completed,UPI,Express,2021-09-13,797,0,797
ORD00218,CUST02159,2025-09-02,Completed,UPI,Standard,2025-09-06,1221,0,1221
ORD00219,CUST01518,2023-08-18,Completed,Wallet,Express,2023-08-19,4349,332,4017
ORD00220,CUST02529,2024-02-25,Completed,UPI,Standard,2024-02-29,4055,263,3792
ORD00221,CUST04428,2022-08-24,Returned,COD,Standard,2022-08-30,750,0,750
ORD00222,CUST04022,2022-08-06,Completed,Card,Express,2022-08-07,675,0,675
ORD00223,CUST01837,2025-09-29,Completed,Card,Standard,2025-10-04,2243,500,1743
ORD00224,CUST04153,2021-05-17,Cancelled,Card,Standard,,1450,0,1450
ORD00225,CUST03060,2024-04-09,Completed,Card,Express,2024-04-10,1783,0,1783
ORD00226,CUST00003,2021-11-24,Completed,COD,Standard,2021-11-29,1553,217,1336
ORD00227,CUST00260,2023-09-16,Returned,Card,Express,2023-09-17,4764,0,4764
ORD00228,CUST02407,2022-08-15,Returned,Wallet,Standard,2022-08-18,1922,0,1922
ORD00229,CUST03229,2022-01-12,Completed,Card,Standard,2022-01-17,4676,343,4333
ORD00230,CUST01332,2022-01-07,Returned,Wallet,Standard,2022-01-13,1640,0,1640
ORD00231,CUST00061,2023-10-08,Returned,UPI,Express,2023-10-09,1335,0,1335
ORD00232,CUST00997,2022-03-30,Completed,Card,Express,2022-03-31,1788,109,1679
ORD00233,CUST04138,2024-12-02,Completed,UPI,Standard,2024-12-08,3122,310,2812
ORD00234,CUST04776,2022-06-22,Completed,UPI,Standard,2022-06-29,1453,345,1108
ORD00235,CUST03896,2021-11-14,Cancelled,Wallet,Standard,,1636,0,1636
ORD00236,CUST02822,2024-03-23,Completed,COD,Standard,2024-03-29,1340,106,1234
ORD00237,CUST04351,2021-05-02,Completed,COD,Express,2021-05-04,2201,393,1808
ORD00238,CUST04997,2021-07-08,Completed,COD,Express,2021-07-09,4223,318,3905
ORD00239,CUST04054,2024-02-26,Completed,UPI,Standard,2024-03-02,3037,748,2289
ORD00240,CUST04034,2025-05-04,Completed,UPI,Standard,2025-05-07,2315,0,2315
ORD00241,CUST04558,2022-03-06,Completed,Card,Standard,2022-03-10,4719,991,3728
ORD00242,CUST00010,2022-10-15,Completed,Card,Standard,2022-10-21,3196,0,3196
ORD00243,CUST04613,2024-05-27,Completed,Card,Express,2024-05-30,3062,0,3062
ORD00244,CUST01583,2025-03-18,Completed,Card,Standard,2025-03-25,2763,0,2763
ORD00245,CUST02983,2025-08-14,Completed,Wallet,Express,2025-08-16,899,202,697
ORD00246,CUST03629,2022-01-15,Returned,COD,Standard,2022-01-20,4038,0,4038
ORD00247,CUST01277,2021-06-20,Completed,Card,Standard,2021-06-26,1256,0,1256
ORD00248,CUST02260,2022-08-14,Completed,Wallet,Standard,2022-08-19,3640,0,3640
ORD00249,CUST00087,2022-01-15,Completed,UPI,Express,2022-01-16,615,142,473
ORD00250,CUST00773,2023-10-23,Completed,Card,Express,2023-10-26,2084,449,1635
ORD00251,CUST04761,2022-01-20,Completed,Card,Express,2022-01-23,1049,0,1049
ORD00252,CUST02519,2024-01-24,Cancelled,UPI,Express,,3161,159,3002
ORD00253,CUST04508,2025-12-10,Returned,UPI,Standard,2025-12-17,3027,829,2198
ORD00254,CUST04624,2023-08-15,Completed,Card,Standard,2023-08-19,4456,0,4456
ORD00255,CUST00503,2024-09-17,Completed,Card,Standard,2024-09-22,1124,0,1124
ORD00256,CUST00106,2021-02-18,Completed,Card,Standard,2021-02-21,2654,0,2654
ORD00257,CUST00022,2023-07-28,Completed,Card,Standard,2023-08-01,790,70,720
ORD00258,CUST04775,2025-10-14,Cancelled,COD,Standard,,1363,221,1142
ORD00259,CUST02747,2024-03-24,Cancelled,UPI,Express,,1505,0,1505
ORD00260,CUST00601,2021-09-03,Completed,UPI,Express,2021-09-06,4654,1209,3445
ORD00261,CUST03216,2021-06-12,Completed,Wallet,Express,2021-06-14,2233,0,2233
ORD00262,CUST02671,2025-01-10,Completed,Wallet,Standard,2025-01-15,1770,0,1770
ORD00263,CUST01138,2024-10-10,Cancelled,UPI,Standard,,2957,885,2072
ORD00264,CUST04941,2022-01-24,Returned,COD,Standard,2022-01-28,1137,312,825
ORD00265,CUST01382,2023-06-22,Completed,COD,Express,2023-06-24,1858,434,1424
ORD00266,CUST02648,2024-08-25,Returned,UPI,Express,2024-08-28,1819,418,1401
ORD00267,CUST02951,2023-04-27,Completed,COD,Express,2023-04-29,1083,0,1083
ORD00268,CUST03619,2023-10-05,Completed,UPI,Standard,2023-10-12,1732,0,1732
ORD00269,CUST04554,2023-12-24,Cancelled,Card,Standard,,1865,336,1529
ORD00270,CUST03318,2022-12-13,Completed,UPI,Standard,2022-12-20,2660,0,2660
ORD00271,CUST02471,2023-02-03,Completed,UPI,Express,2023-02-06,3688,307,3381
ORD00272,CUST03395,2022-03-23,Completed,UPI,Express,2022-03-26,2854,776,2078
ORD00273,CUST01080,2024-08-05,Completed,Wallet,Express,2024-08-06,3937,0,3937
ORD00274,CUST03561,2023-06-09,Returned,Wallet,Standard,2023-06-15,2723,0,2723
ORD00275,CUST01383,2025-02-01,Completed,Card,Express,2025-02-04,2373,0,2373
ORD00276,CUST01730,2022-12-24,Completed,Card,Express,2022-12-25,2030,0,2030
ORD00277,CUST03832,2024-06-22,Completed,Card,Express,2024-06-25,2875,0,2875
ORD00278,CUST04428,2024-10-23,Completed,UPI,Express,2024-10-24,3381,0,3381
ORD00279,CUST01650,2022-12-20,Cancelled,Card,Standard,,1704,157,1547
ORD00280,CUST03460,2024-11-15,Completed,UPI,Express,2024-11-17,3788,235,3553
ORD00281,CUST04388,2021-02-04,Completed,UPI,Standard,2021-02-08,1837,0,1837
ORD00282,CUST04122,2022-09-06,Completed,UPI,Express,2022-09-08,2396,658,1738
ORD00283,CUST01272,2023-06-02,Completed,Card,Standard,2023-06-08,2697,0,2697
ORD00284,CUST02254,2023-10-20,Completed,Card,Express,2023-10-23,1360,0,1360
ORD00285,CUST03010,2023-05-17,Completed,Card,Express,2023-05-20,4334,0,4334
ORD00286,CUST03532,2022-02-10,Completed,UPI,Express,2022-02-12,633,83,550
ORD00287,CUST04517,2022-01-20,Cancelled,COD,Standard,,729,0,729
ORD00288,CUST03998,2025-03-23,Completed,Wallet,Express,2025-03-24,942,0,942
ORD00289,CUST03721,2024-04-20,Completed,Card,Standard,2024-04-27,1617,366,1251
ORD00290,CUST01778,2025-08-10,Completed,Card,Standard,2025-08-17,4961,1050,3911
ORD00291,CUST01162,2022-08-07,Completed,Card,Standard,2022-08-11,4882,1149,3733
ORD00292,CUST02028,2024-07-11,Completed,UPI,Express,2024-07-14,3068,0,3068
ORD00293,CUST01622,2023-06-17,Completed,UPI,Standard,2023-06-24,1646,0,1646
ORD00294,CUST04972,2024-12-24,Completed,Wallet,Standard,2024-12-30,3298,0,3298
ORD00295,CUST02171,2021-01-13,Completed,COD,Express,2021-01-16,3004,0,3004
ORD00296,CUST00093,2021-10-29,Cancelled,Wallet,Standard,,3151,678,2473
ORD00297,CUST03904,2023-01-30,Completed,Card,Express,2023-01-31,1055,173,882
ORD00298,CUST02994,2023-09-25,Completed,UPI,Express,2023-09-28,3771,0,3771
ORD00299,CUST04162,2025-11-26,Returned,Card,Express,2025-11-29,3804,281,3523
ORD00300,CUST01070,2023-04-20,Completed,Card,Express,2023-04-21,2304,0,2304
ORD00301,CUST00282,2024-10-08,Completed,Card,Express,2024-10-10,3817,0,3817
ORD00302,CUST00305,2024-11-14,Completed,Card,Express,2024-11-15,1768,0,1768
ORD00303,CUST02466,2025-08-03,Completed,Card,Standard,2025-08-09,2562,0,2562
ORD00304,CUST00147,2025-12-20,Completed,UPI,Standard,2025-12-27,4703,1113,3590
ORD00305,CUST04982,2024-04-13,Completed,Wallet,Express,2024-04-15,3363,900,2463
ORD00306,CUST01292,2022-04-27,Completed,UPI,Standard,2022-05-04,4823,332,4491
ORD00307,CUST00096,2022-06-07,Completed,Card,Standard,2022-06-14,1531,0,1531
ORD00308,CUST02502,2023-10-24,Completed,UPI,Express,2023-10-26,836,0,836
ORD00309,CUST00704,2021-02-07,Completed,UPI,Standard,2021-02-14,3556,451,3105
ORD00310,CUST04804,2022-02-08,Completed,Wallet,Standard,2022-02-12,3126,844,2282
ORD00311,CUST04200,2023-09-20,Completed,UPI,Standard,2023-09-25,4684,0,4684
