Order_Detail_ID,Order_ID,Product_ID,Quantity,Unit_Price,Discount_Percentage,Total_Price
OD00098,ORD05529,PROD00274,1,4015,20,3212
OD00099,ORD05963,PROD00449,1,3311,0,3311
OD00100,ORD03632,PROD01951,2,2338,0,4676
OD00101,ORD02437,PROD01765,2,2188,0,4376
OD00102,ORD01704,PROD01971,1,4537,15,3856
OD00103,ORD07882,PROD00960,1,1252,0,1252
OD00104,ORD07283,PROD01006,1,1981,0,1981
OD00105,ORD05197,PROD00170,1,4176,0,4176
OD00106,ORD04701,PROD00824,4,2440,0,9760
OD00107,ORD00951,PROD01056,2,1808,0,3616
OD00108,ORD01249,PROD00808,1,823,10,740
OD00109,ORD00103,PROD00266,1,2563,5,2434
OD00110,ORD06325,PROD01702,1,1519,0,1519
OD00111,ORD01384,PROD00421,1,470,20,376
OD00112,ORD04107,PROD00049,1,2503,0,2503
OD00113,ORD00376,PROD01527,3,692,15,1764
OD00114,ORD04301,PROD01500,1,3452,0,3452
OD00115,ORD06703,PROD00913,1,4933,25,3699
OD00116,ORD00469,PROD00850,3,2340,0,7020
OD00117,ORD04528,PROD00545,2,2257,0,4514
OD00118,ORD04829,PROD01193,1,1862,5,1768
OD00119,ORD07638,PROD00956,2,3786,0,7572
OD00120,ORD06784,PROD00025,1,3511,20,2808
OD00121,ORD00270,PROD01189,1,2094,5,1989
OD00122,ORD03777,PROD00029,1,3876,5,3682
OD00123,ORD02169,PROD00715,1,3796,5,3606
OD00124,ORD05011,PROD00427,1,2686,20,2148
OD00125,ORD04299,PROD01304,2,3449,0,6898
OD00126,ORD02316,PROD00202,1,1887,25,1415
OD00127,ORD05645,PROD00927,1,3005,0,3005
OD00128,ORD05033,PROD01675,2,1561,0,3122
OD00129,ORD07489,PROD01424,1,2267,0,2267
OD00130,ORD04302,PROD00326,1,4419,25,3314
OD00131,ORD02871,PROD01626,3,3279,15,8361
OD00132,ORD00162,PROD01368,1,1998,0,1998
OD00133,ORD01312,PROD01569,1,1665,0,1665
OD00134,ORD04031,PROD00410,1,3187,0,3187
OD00135,ORD02942,PROD00773,3,2050,0,6150
OD00136,ORD00437,PROD01859,2,1645,0,3290
OD00137,ORD01308,PROD00106,1,2757,0,2757
OD00138,ORD01298,PROD01413,2,4470,15,7599
OD00139,ORD00785,PROD00808,1,4782,0,4782
OD00140,ORD04963,PROD00087,1,1645,20,1316
OD00141,ORD04383,PROD00179,1,3070,0,3070
OD00142,ORD01672,PROD01689,1,587,5,557
OD00143,ORD06470,PROD01282,2,3826,15,6504
OD00144,ORD05555,PROD01590,2,415,0,830
OD00145,ORD00288,PROD00196,1,2227,0,2227
OD00146,ORD01214,PROD01966,2,3680,0,7360
OD00147,ORD06250,PROD01501,2,1618,0,3236
OD00148,ORD03412,PROD00292,1,4167,0,4167
OD00149,ORD04573,PROD00033,1,668,0,668
OD00150,ORD05179,PROD00840,2,2935,20,4696
OD00151,ORD00464,PROD01532,1,4252,25,3189
OD00152,ORD07408,PROD01648,2,4551,0,9102
OD00153,ORD06182,PROD01259,1,3401,0,3401
OD00154,ORD05615,PROD01499,1,2674,25,2005
OD00155,ORD00994,PROD01738,1,4157,15,3533
OD00156,ORD01908,PROD01293,1,2905,5,2759
OD00157,ORD03763,PROD00627,1,648,0,648
OD00158,ORD04928,PROD01474,1,1614,5,1533
OD00159,ORD06394,PROD01651,1,2222,0,2222
OD00160,ORD00778,PROD01682,1,3101,5,2945
OD00161,ORD01031,PROD01983,2,4637,0,9274
OD00162,ORD03915,PROD00905,3,553,10,1493
OD00163,ORD07131,PROD01671,1,3068,0,3068
OD00164,ORD05234,PROD01475,1,3163,0,3163
OD00165,ORD05364,PROD00429,1,4523,0,4523
OD00166,ORD02206,PROD01063,4,4959,0,19836
OD00167,ORD06830,PROD01831,1,3967,0,3967
OD00168,ORD06253,PROD00689,1,3116,20,2492
OD00169,ORD04213,PROD01211,2,4877,20,7803
OD00170,ORD06306,PROD00665,1,2138,15,1817
OD00171,ORD05607,PROD01241,1,3870,20,3096
OD00172,ORD05174,PROD00838,2,1201,25,1801
OD00173,ORD01898,PROD00265,2,4975,10,8955
OD00174,ORD04409,PROD01806,3,769,5,2191
OD00175,ORD02657,PROD00105,2,2101,20,3361
OD00176,ORD02447,PROD01314,1,3274,25,2455
OD00177,ORD00930,PROD00143,2,565,0,1130
OD00178,ORD00305,PROD01296,1,2295,0,2295
OD00179,ORD06095,PROD00871,1,3738,10,3364
OD00180,ORD06689,PROD01691,2,4936,0,9872
OD00181,ORD06932,PROD01545,2,1759,20,2814
OD00182,ORD07257,PROD01908,1,4389,0,4389
OD00183,ORD02525,PROD00578,1,2753,5,2615
OD00184,ORD01755,PROD00909,1,592,10,532
OD00185,ORD00786,PROD00970,4,3481,0,13924
OD00186,ORD02709,PROD00136,3,2328,0,6984
OD00187,ORD01859,PROD01500,2,3514,0,7028
OD00188,ORD05709,PROD00475,1,4169,0,4169
OD00189,ORD02974,PROD01496,1,4550,0,4550
OD00190,ORD03273,PROD00787,1,337,25,252
OD00191,ORD00470,PROD01790,1,424,0,424
OD00192,ORD05069,PROD00296,1,2295,5,2180
OD00193,ORD06543,PROD00304,1,4914,0,4914
OD00194,ORD01048,PROD01276,1,4443,0,4443
OD00195,ORD07026,PROD00276,2,2017,0,4034
OD00196,ORD06636,PROD00761,1,1332,25,999
OD00197,ORD03956,PROD01779,1,4351,25,3263
OD00198,ORD01615,PROD01167,2,3853,0,7706
OD00199,ORD02979,PROD01182,4,4796,25,14388
OD00200,ORD00612,PROD00028,1,4780,25,3585
OD00201,ORD04362,PROD00541,1,1786,25,1339
OD00202,ORD04444,PROD00236,4,3390,10,12204
OD00203,ORD01193,PROD00872,1,4549,0,4549
OD00204,ORD03393,PROD00026,2,842,5,1599
OD00205,ORD07848,PROD01415,2,2360,20,3776
OD00206,ORD00511,PROD01646,1,3280,15,2788
OD00207,ORD05391,PROD01907,1,4220,0,4220
OD00208,ORD07976,PROD00811,1,2105,20,1684
OD00209,ORD01187,PROD01299,1,4663,5,4429
OD00210,ORD00351,PROD00729,1,4766,0,4766
OD00211,ORD00306,PROD00586,1,3159,0,3159
OD00212,ORD05411,PROD01084,2,2735,0,5470
OD00213,ORD04990,PROD01353,1,2901,0,2901
OD00214,ORD00295,PROD01219,1,1604,0,1604
OD00215,ORD07074,PROD01722,1,3295,0,3295
OD00216,ORD07144,PROD00668,1,3263,0,3263
OD00217,ORD00509,PROD01070,1,2259,10,2033
OD00218,ORD00594,PROD01945,1,580,5,551
OD00219,ORD03275,PROD01726,2,1435,10,2583
OD00220,ORD04846,PROD00136,1,4807,0,4807
OD00221,ORD05712,PROD01285,4,1837,0,7348
OD00222,ORD03909,PROD00039,1,2816,0,2816
OD00223,ORD03066,PROD00980,1,2665,25,1998
OD00224,ORD05394,PROD00176,2,4619,10,8314
OD00225,ORD03638,PROD01214,2,4278,0,8556
OD00226,ORD01914,PROD01855,2,2387,0,4774
OD00227,ORD07090,PROD00905,1,3547,0,3547
OD00228,ORD04660,PROD00568,1,586,10,527
OD00229,ORD00361,PROD01946,1,3723,15,3164
OD00230,ORD04291,PROD00234,2,1901,0,3802
OD00231,ORD06833,PROD01790,2,3901,0,7802
OD00232,ORD03166,PROD01973,1,4116,0,4116
OD00233,ORD00307,PROD01091,3,3249,0,9747
OD00234,ORD05608,PROD01085,1,2525,0,2525
OD00235,ORD07191,PROD01970,1,2365,0,2365
OD00236,ORD03686,PROD01525,1,4919,0,4919
OD00237,ORD00226,PROD00553,1,842,20,673
OD00238,ORD01430,PROD01463,2,827,0,1654
OD00239,ORD05603,PROD01244,1,2005,0,2005
OD00240,ORD01760,PROD01116,1,911,0,911
OD00241,ORD06844,PROD01119,2,1860,0,3720
OD00242,ORD03491,PROD01093,1,3026,5,2874
OD00243,ORD04590,PROD00042,2,1401,0,2802
OD00244,ORD07823,PROD00748,2,4980,0,9960
OD00245,ORD04725,PROD00605,1,557,0,557
OD00246,ORD00718,PROD00924,3,4072,0,12216
OD00247,ORD04173,PROD01686,1,4115,25,3086
OD00248,ORD06892,PROD00692,1,535,0,535
OD00249,ORD00936,PROD01949,1,3015,15,2562
OD00250,ORD05162,PROD00633,1,3145,10,2830
OD00251,ORD01077,PROD00388,1,4377,0,4377
OD00252,ORD03390,PROD01306,1,3136,25,2352
OD00253,ORD07354,PROD00124,4,1806,0,7224
OD00254,ORD02961,PROD01664,3,3112,0,9336
OD00255,ORD04824,PROD01961,1,721,0,721
OD00256,ORD02868,PROD01175,1,4211,10,3789
OD00257,ORD07212,PROD01337,2,392,0,784
OD00258,ORD00108,PROD01871,1,604,20,483
OD00259,ORD05936,PROD00564,1,713,25,534
OD00260,ORD01172,PROD00116,2,4484,25,6726
OD00261,ORD03254,PROD00820,2,3359,0,6718
OD00262,ORD01379,PROD00724,2,2502,0,5004
OD00263,ORD06750,PROD00808,1,2633,0,2633
OD00264,ORD01173,PROD01232,3,1151,25,2589
OD00265,ORD00018,PROD01521,1,2387,5,2267
OD00266,ORD07304,PROD01960,2,4827,10,8688
OD00267,ORD07074,PROD00507,2,3283,0,6566
OD00268,ORD05496,PROD01043,1,3354,15,2850
OD00269,ORD07292,PROD01081,2,4599,0,9198
OD00270,ORD03637,PROD00797,2,1651,25,2476
OD00271,ORD03743,PROD00892,1,4603,10,4142
OD00272,ORD05092,PROD01472,2,4216,0,8432
OD00273,ORD06782,PROD00442,1,4749,20,3799
OD00274,ORD03022,PROD00111,1,4338,10,3904
OD00275,ORD05176,PROD01791,1,4158,0,4158
OD00276,ORD04329,PROD01163,1,3371,0,3371
OD00277,ORD03594,PROD01702,3,3559,0,10677
OD00278,ORD04113,PROD00297,1,773,0,773
OD00279,ORD04581,PROD01350,3,763,0,2289
OD00280,ORD06516,PROD01866,2,1003,10,1805
OD00281,ORD07589,PROD01704,2,824,0,1648
OD00282,ORD05127,PROD01963,1,3404,25,2553
OD00283,ORD03542,PROD00641,1,839,15,713
OD00284,ORD06809,PROD01501,2,4112,0,8224
OD00285,ORD04930,PROD00517,1,1755,0,1755
OD00286,ORD06949,PROD00925,1,2317,25,1737
OD00287,ORD07662,PROD00485,1,3971,25,2978
OD00288,ORD07160,PROD01779,1,675,0,675
OD00289,ORD05163,PROD00028,3,956,0,2868
OD00290,ORD07813,PROD01490,1,442,20,353
OD00291,ORD03445,PROD01647,3,3339,0,10017
OD00292,ORD00626,PROD01344,1,1984,0,1984
OD00293,ORD05179,PROD01158,2,709,0,1418
OD00294,ORD03469,PROD01696,2,4382,0,8764
OD00295,ORD05030,PROD01408,1,2425,20,1940
OD00296,ORD00544,PROD01942,2,4120,10,7416
OD00297,ORD03444,PROD00686,1,2793,0,2793
OD00298,ORD04279,PROD00709,4,1859,0,7436
OD00299,ORD03824,PROD00275,2,710,15,1207
OD00300,ORD07987,PROD01796,1,4763,20,3810
OD00301,ORD02215,PROD01494,1,680,0,680
OD00302,ORD05528,PROD00693,2,3535,0,7070
OD00303,ORD07593,PROD01495,1,3698,15,3143
OD00304,ORD03067,PROD00036,1,2025,0,2025
OD00305,ORD07358,PROD01249,2,653,15,1110
OD00306,ORD06945,PROD00634,1,1627,0,1627
OD00307,ORD04113,PROD00245,1,2151,0,2151
OD00308,ORD02534,PROD01858,1,1513,0,1513
OD00309,ORD00789,PROD00598,2,2580,10,4644
OD00310,ORD03463,PROD01030,1,3094,0,3094
OD00311,ORD03725,PROD00255,1,366,0,366
OD00312,ORD05048,PROD00929,2,2700,5,5130
OD00313,ORD01485,PROD00964,1,3262,0,3262
OD00314,ORD00952,PROD01353,1,2884,0,2884
OD00315,ORD05360,PROD01452,1,2276,0,2276
OD00316,ORD05215,PROD01389,1,2111,0,2111
OD00317,ORD01317,PROD00678,1,1817,0,1817
OD00318,ORD06537,PROD01896,3,3056,0,9168
OD00319,ORD04789,PROD00038,1,4529,25,3396
OD00320,ORD00083,PROD01493,2,2505,0,5010
OD00321,ORD04523,PROD00690,2,753,0,1506
OD00322,ORD03667,PROD00111,1,997,20,797
OD00323,ORD04829,PROD01431,1,3976,15,3379
OD00324,ORD06001,PROD01206,2,2214,5,4206
OD00325,ORD01927,PROD01758,4,4882,0,19528
OD00326,ORD01618,PROD01787,1,1540,0,1540
OD00327,ORD02353,PROD00700,1,3333,5,3166
OD00328,ORD03550,PROD01429,1,1597,0,1597
OD00329,ORD05175,PROD00148,1,1094,0,1094
OD00330,ORD01205,PROD01595,1,1365,20,1092
OD00331,ORD02944,PROD00463,1,4103,0,4103
OD00332,ORD05784,PROD00230,1,1733,0,1733
OD00333,ORD03199,PROD00224,1,1865,10,1678
OD00334,ORD06054,PROD01339,1,1811,0,1811
OD00335,ORD06538,PROD00996,1,2786,0,2786
OD00336,ORD04969,PROD01029,1,309,0,309
OD00337,ORD02880,PROD01657,4,454,0,1816
OD00338,ORD07925,PROD01430,2,4310,0,8620
OD00339,ORD00512,PROD00276,3,2651,0,7953
OD00340,ORD01595,PROD01318,1,3541,5,3363
OD00341,ORD05584,PROD01060,1,2899,0,2899
OD00342,ORD01988,PROD00492,1,709,10,638
OD00343,ORD02705,PROD01236,1,2948,0,2948
OD00344,ORD02939,PROD01019,1,1614,0,1614
OD00345,ORD06462,PROD00265,2,984,25,1476
OD00346,ORD03098,PROD01731,1,3551,0,3551
OD00347,ORD06394,PROD01570,1,4377,5,4158
OD00348,ORD06014,PROD01178,1,4195,20,3356
OD00349,ORD06738,PROD00678,3,2804,5,7991
OD00350,ORD00627,PROD01137,1,3654,0,3654
OD00351,ORD00549,PROD00233,1,1035,0,1035
OD00352,ORD04817,PROD01362,2,3050,0,6100
OD00353,ORD03409,PROD01583,2,1391,0,2782
OD00354,ORD01066,PROD01585,2,4900,0,9800
OD00355,ORD00327,PROD00249,2,719,0,1438
OD00356,ORD05771,PROD01484,1,3132,0,3132
OD00357,ORD00085,PROD00234,2,3885,0,7770
OD00358,ORD00470,PROD01166,1,922,15,783
OD00359,ORD01306,PROD01032,2,776,5,1474
OD00360,ORD01485,PROD01214,1,3281,0,3281
OD00361,ORD02759,PROD01966,2,4548,0,9096
OD00362,ORD02954,PROD00152,1,2210,10,1989
OD00363,ORD05113,PROD01508,1,4323,5,4106
OD00364,ORD00135,PROD00593,1,1770,0,1770
OD00365,ORD02793,PROD01163,2,2407,15,4091
OD00366,ORD06074,PROD00782,3,3103,25,6981
OD00367,ORD05874,PROD00535,1,1536,0,1536
OD00368,ORD02048,PROD01333,1,1695,0,1695
OD00369,ORD07611,PROD00119,1,1016,10,914
OD00370,ORD02210,PROD00210,2,4929,0,9858
OD00371,ORD07204,PROD01889,1,937,0,937
OD00372,ORD00351,PROD01850,1,4276,10,3848
OD00373,ORD01713,PROD00815,1,4910,25,3682
OD00374,ORD03483,PROD01357,1,4999,15,4249
OD00375,ORD07567,PROD00039,2,1468,0,2936
OD00376,ORD03095,PROD00619,3,4916,15,12535
OD00377,ORD04414,PROD01421,1,3253,10,2927
OD00378,ORD06562,PROD01396,1,3191,10,2871
OD00379,ORD00882,PROD00102,1,4452,20,3561
OD00380,ORD06457,PROD00178,2,737,0,1474
OD00381,ORD06687,PROD01587,4,2677,0,10708
OD00382,ORD07109,PROD01824,2,2264,0,4528
OD00383,ORD04488,PROD00564,1,2200,0,2200
OD00384,ORD05870,PROD00605,1,1243,0,1243
OD00385,ORD01368,PROD01494,2,2044,15,3474
OD00386,ORD02025,PROD01637,1,675,0,675
OD00387,ORD07604,PROD00276,1,3317,0,3317
OD00388,ORD03730,PROD01606,1,1582,5,1502
OD00389,ORD02438,PROD00217,1,2866,0,2866
OD00390,ORD00610,PROD01203,1,1531,0,1531
OD00391,ORD02035,PROD00727,2,849,10,1528
OD00392,ORD05808,PROD00245,2,2233,0,4466
OD00393,ORD01438,PROD01948,1,4246,0,4246
OD00394,ORD07512,PROD01927,1,4411,10,3969
OD00395,ORD03705,PROD01932,2,4504,25,6756
OD00396,ORD05382,PROD01643,2,1902,0,3804
OD00397,ORD00881,PROD00707,1,1718,0,1718
OD00398,ORD07160,PROD01671,1,3268,5,3104
OD00399,ORD05621,PROD01033,1,2402,25,1801
OD00400,ORD07159,PROD00252,1,1247,10,1122
OD00401,ORD05309,PROD01757,1,4389,0,4389
OD00402,ORD07032,PROD00716,1,1379,0,1379
OD00403,ORD05717,PROD00419,4,725,5,2755
OD00404,ORD01558,PROD01777,1,4138,0,4138
OD00405,ORD04148,PROD00262,1,4467,20,3573
OD00406,ORD04498,PROD01122,1,1873,0,1873
OD00407,ORD04051,PROD01048,1,967,0,967
OD00408,ORD04691,PROD00541,1,385,0,385
OD00409,ORD00743,PROD01038,2,4385,0,8770
OD00410,ORD01233,PROD00168,2,3973,25,5959
OD00411,ORD06184,PROD00628,1,1193,5,1133
OD00412,ORD06215,PROD00200,1,3290,5,3125
OD00413,ORD00852,PROD01343,1,884,0,884
OD00414,ORD02606,PROD01965,4,3978,10,14320
OD00415,ORD03565,PROD01728,1,1286,0,1286
OD00416,ORD02247,PROD00163,1,4406,0,4406
OD00417,ORD00907,PROD01832,2,1137,25,1705
OD00418,ORD02621,PROD00633,1,2310,0,2310
OD00419,ORD01238,PROD01454,2,4634,0,9268
OD00420,ORD06394,PROD01998,1,4071,20,3256
OD00421,ORD03349,PROD00328,4,3783,0,15132
OD00422,ORD05409,PROD00121,1,1907,0,1907
OD00423,ORD04914,PROD00535,1,4472,5,4248
OD00424,ORD04674,PROD00489,1,4901,0,4901
OD00425,ORD05112,PROD00214,2,4988,5,9477
OD00426,ORD07058,PROD01595,1,4518,0,4518
OD00427,ORD04872,PROD00005,3,1243,5,3542
OD00428,ORD07866,PROD00047,1,831,0,831
OD00429,ORD07411,PROD00100,1,3393,10,3053
OD00430,ORD02930,PROD00049,1,3662,0,3662
OD00431,ORD00999,PROD00392,1,2945,0,2945
OD00432,ORD04170,PROD00929,2,3346,10,6022
OD00433,ORD05579,PROD00297,1,850,0,850
OD00434,ORD00214,PROD00577,2,4968,15,8445
OD00435,ORD01557,PROD01377,2,4388,0,8776
OD00436,ORD03382,PROD00773,1,4080,0,4080
OD00437,ORD06743,PROD01572,3,4977,0,14931
OD00438,ORD07881,PROD01334,1,3853,0,3853
OD00439,ORD01544,PROD01514,2,2703,10,4865
OD00440,ORD06347,PROD01402,1,1209,25,906
OD00441,ORD04147,PROD00398,2,2652,0,5304
OD00442,ORD05161,PROD01399,2,2620,0,5240
OD00443,ORD04195,PROD00461,1,4427,0,4427
OD00444,ORD02754,PROD00992,1,905,20,724
OD00445,ORD06832,PROD01985,2,1292,20,2067
OD00446,ORD03416,PROD00107,2,4560,20,7296
OD00447,ORD02708,PROD01459,3,1485,0,4455
OD00448,ORD02565,PROD00570,1,1820,5,1729
OD00449,ORD01298,PROD00748,1,3105,0,3105
OD00450,ORD03205,PROD00946,1,3625,0,3625
OD00451,ORD03888,PROD00254,4,2281,0,9124
OD00452,ORD06971,PROD00315,2,2224,10,4003
OD00453,ORD04949,PROD01848,1,4602,20,3681
OD00454,ORD07038,PROD01251,1,4004,0,4004
OD00455,ORD06587,PROD01759,1,4236,10,3812
OD00456,ORD00279,PROD01182,1,3484,5,3309
OD00457,ORD00671,PROD01839,1,2286,0,2286
OD00458,ORD03237,PROD01900,1,652,0,652
OD00459,ORD00284,PROD00687,1,3822,25,2866
OD00460,ORD06198,PROD00664,3,686,0,2058
OD00461,ORD05844,PROD00221,1,1470,15,1249
OD00462,ORD06533,PROD00166,1,2909,0,2909
OD00463,ORD04884,PROD01078,1,2497,0,2497
OD00464,ORD01920,PROD01501,2,1608,0,3216
OD00465,ORD04553,PROD01513,2,3789,0,7578
OD00466,ORD02207,PROD01395,1,1211,5,1150
OD00467,ORD02455,PROD01945,1,3727,0,3727
OD00468,ORD03983,PROD01299,1,4699,0,4699
OD00469,ORD01168,PROD00429,1,2201,5,2090
OD00470,ORD06660,PROD01810,1,3509,0,3509
OD00471,ORD02920,PROD00531,1,513,0,513
OD00472,ORD02895,PROD00724,1,2571,0,2571
OD00473,ORD07655,PROD01315,2,4067,0,8134
OD00474,ORD07614,PROD00698,1,446,0,446
OD00475,ORD04264,PROD01684,1,4480,0,4480
OD00476,ORD01224,PROD00048,1,3500,0,3500
OD00477,ORD07119,PROD00733,2,1663,0,3326
OD00478,ORD04503,PROD00983,1,2055,0,2055
OD00479,ORD05984,PROD01223,1,1537,0,1537
OD00480,ORD00390,PROD01022,1,2408,0,2408
OD00481,ORD01643,PROD00019,3,1671,0,5013
OD00482,ORD00338,PROD00194,1,2580,15,2193
OD00483,ORD04013,PROD00155,1,4073,0,4073
OD00484,ORD07638,PROD01106,3,4110,20,9864
OD00485,ORD07434,PROD01544,2,1538,10,2768
OD00486,ORD00252,PROD01643,1,3005,20,2404
OD00487,ORD02064,PROD01005,2,4660,0,9320
OD00488,ORD04208,PROD00630,2,1196,0,2392
OD00489,ORD02086,PROD00497,1,1387,0,1387
OD00490,ORD06785,PROD01704,1,3614,0,3614
OD00491,ORD06039,PROD00271,1,443,20,354
OD00492,ORD05947,PROD01533,2,4222,10,7599
OD00493,ORD01931,PROD00732,1,2904,0,2904
OD00494,ORD06462,PROD01696,1,4051,0,4051
OD00495,ORD04089,PROD00835,1,2705,20,2164
OD00496,ORD02623,PROD00217,4,2104,0,8416
OD00497,ORD01570,PROD00753,3,1544,0,4632
OD00498,ORD07726,PROD00908,1,3360,0,3360
OD00499,ORD06799,PROD00311,2,1559,5,2962
OD00500,ORD06347,PROD00643,1,2151,0,2151
OD00501,ORD04871,PROD00331,1,3313,0,3313
OD00502,ORD02801,PROD00728,2,3598,0,7196
OD00503,ORD02100,PROD00878,1,1668,0,1668
OD00504,ORD06977,PROD01552,1,4730,0,4730
OD00505,ORD07590,PROD00728,1,2632,0,2632
OD00506,ORD00962,PROD01371,2,4703,0,9406
OD00507,ORD01101,PROD01109,2,4132,25,6198
OD00508,ORD01098,PROD00057,1,315,0,315
OD00509,ORD05721,PROD00899,3,1930,15,4921
OD00510,ORD00398,PROD00722,1,321,20,256
OD00511,ORD04560,PROD01163,3,3420,0,10260
OD00512,ORD01609,PROD01520,2,1913,0,3826
OD00513,ORD03073,PROD00793,1,4503,0,4503
OD00514,ORD01045,PROD00521,1,926,25,694
OD00515,ORD06580,PROD01831,2,2658,5,5050
OD00516,ORD03142,PROD01355,1,3277,0,3277
OD00517,ORD00078,PROD00253,2,4153,0,8306
OD00518,ORD06220,PROD00175,4,4654,0,18616
OD00519,ORD06228,PROD01537,1,2906,0,2906
