bid_id,auction_id,user_id,bid_amount,bid_time,bid_status,is_auto_bid
BID000036,AUC00001,USER02561,44832,2024-04-24 11:01:42,outbid,No
BID000037,AUC00001,USER01913,44962,2024-04-24 00:37:13,outbid,Yes
BID000038,AUC00001,USER02508,46546,2024-04-24 20:12:22,outbid,No
BID000039,AUC00001,USER00533,47885,2024-04-23 15:30:35,outbid,No
BID000040,AUC00001,USER02824,49235,2024-04-22 20:17:47,outbid,Yes
BID000041,AUC00001,USER01029,51127,2024-04-23 07:59:49,outbid,Yes
BID000042,AUC00001,USER00273,51545,2024-04-25 11:04:39,outbid,Yes
BID000043,AUC00001,USER02499,53278,2024-04-22 14:01:06,outbid,No
BID000044,AUC00001,USER00670,54122,2024-04-24 07:19:45,outbid,No
BID000045,AUC00001,USER01369,54274,2024-04-24 13:22:13,valid,No
BID000046,AUC00001,USER01635,56159,2024-04-25 12:31:39,winning,No
BID000047,AUC00002,USER01155,2951,2025-05-29 19:22:38,outbid,No
BID000048,AUC00002,USER01779,3178,2025-05-30 23:17:23,outbid,Yes
BID000049,AUC00002,USER00962,3934,2025-05-27 06:00:03,outbid,No
BID000050,AUC00002,USER01255,4691,2025-05-27 08:46:01,outbid,No
BID000051,AUC00002,USER01381,5596,2025-05-25 16:22:14,outbid,Yes
BID000052,AUC00002,USER02928,6843,2025-05-25 14:50:19,outbid,Yes
BID000053,AUC00002,USER02640,7351,2025-05-29 13:13:55,outbid,Yes
BID000054,AUC00002,USER01692,8435,2025-05-26 12:59:57,outbid,No
BID000055,AUC00002,USER02051,8851,2025-05-30 18:00:02,outbid,Yes
BID000056,AUC00002,USER01484,9338,2025-05-31 03:43:44,outbid,Yes
BID000057,AUC00002,USER02459,9630,2025-05-27 20:10:03,outbid,No
BID000058,AUC00002,USER02567,10612,2025-05-27 14:08:20,outbid,Yes
BID000059,AUC00002,USER02742,12244,2025-05-26 17:04:02,outbid,No
BID000060,AUC00002,USER02832,13766,2025-05-29 15:19:30,outbid,Yes
BID000061,AUC00002,USER00562,14812,2025-05-29 14:23:02,outbid,No
BID000062,AUC00002,USER02439,16312,2025-05-27 13:38:09,outbid,Yes
BID000063,AUC00002,USER00465,17604,2025-05-30 03:19:13,outbid,No
BID000064,AUC00002,USER00212,18404,2025-05-29 19:41:01,outbid,Yes
BID000065,AUC00002,USER02288,19699,2025-05-26 15:30:16,outbid,No
BID000066,AUC00002,USER02978,21303,2025-05-29 13:02:46,outbid,No
BID000067,AUC00002,USER02762,23082,2025-05-28 01:40:49,outbid,Yes
BID000068,AUC00002,USER02358,24388,2025-05-29 15:07:26,outbid,Yes
BID000069,AUC00002,USER02367,25092,2025-05-26 07:43:40,outbid,No
BID000070,AUC00002,USER01551,25204,2025-05-30 21:10:40,outbid,Yes
BID000071,AUC00002,USER02004,26566,2025-05-27 01:50:26,outbid,No
BID000072,AUC00002,USER01510,26924,2025-05-31 00:21:09,outbid,No
BID000073,AUC00002,USER00341,28095,2025-05-27 05:42:46,outbid,No
BID000074,AUC00002,USER01550,29754,2025-05-26 03:52:42,outbid,No
BID000075,AUC00002,USER02467,29865,2025-05-27 04:35:49,outbid,Yes
BID000076,AUC00002,USER01890,30734,2025-05-26 14:25:16,outbid,Yes
BID000077,AUC00002,USER01676,31010,2025-05-31 03:10:05,outbid,Yes
BID000078,AUC00002,USER01110,32973,2025-05-27 17:55:09,outbid,Yes
BID000079,AUC00002,USER00063,33754,2025-05-28 20:23:54,outbid,No
BID000080,AUC00002,USER01466,35546,2025-05-28 03:46:11,outbid,No
BID000081,AUC00002,USER01215,36713,2025-05-27 02:29:32,outbid,Yes
BID000082,AUC00002,USER00446,38642,2025-05-27 01:08:41,outbid,Yes
BID000083,AUC00002,USER00839,39516,2025-05-30 04:17:41,outbid,No
BID000084,AUC00002,USER01144,41444,2025-05-29 06:38:24,outbid,No
BID000085,AUC00002,USER02048,43272,2025-05-27 09:12:44,outbid,No
BID000086,AUC00002,USER02576,44892,2025-05-28 05:03:51,outbid,Yes
BID000087,AUC00002,USER00997,46196,2025-05-28 20:23:44,outbid,Yes
BID000088,AUC00002,USER02077,47271,2025-05-29 07:03:10,valid,No
BID000089,AUC00002,USER00314,49097,2025-05-31 04:32:26,winning,No
BID000090,AUC00003,USER01716,2205,2024-04-30 18:30:21,outbid,No
BID000091,AUC00003,USER02276,2497,2024-05-01 18:36:03,outbid,Yes
BID000092,AUC00003,USER00803,4160,2024-05-01 15:57:54,outbid,Yes
BID000093,AUC00003,USER01717,5008,2024-05-01 00:56:18,outbid,Yes
BID000094,AUC00003,USER02421,6306,2024-04-30 18:04:54,outbid,No
BID000095,AUC00003,USER02764,7987,2024-05-01 06:23:10,outbid,Yes
BID000096,AUC00003,USER00068,8628,2024-05-02 05:16:14,outbid,Yes
BID000097,AUC00003,USER02386,9639,2024-05-01 10:27:06,outbid,Yes
BID000098,AUC00003,USER00531,10585,2024-05-01 22:27:59,outbid,Yes
BID000099,AUC00003,USER01937,12453,2024-04-30 18:18:31,outbid,Yes
BID000100,AUC00003,USER00647,12715,2024-05-02 04:06:47,outbid,Yes
BID000101,AUC00003,USER01022,13863,2024-04-30 11:48:50,outbid,Yes
BID000102,AUC00003,USER02306,15170,2024-05-02 06:55:54,outbid,No
BID000103,AUC00003,USER02990,15349,2024-05-01 04:08:01,outbid,No
BID000104,AUC00003,USER00615,15901,2024-04-30 15:59:45,outbid,No
BID000105,AUC00003,USER01555,16391,2024-05-01 22:46:20,outbid,Yes
BID000106,AUC00003,USER00850,16958,2024-05-02 02:22:09,outbid,No
BID000107,AUC00003,USER01792,17099,2024-05-02 03:47:37,outbid,No
BID000108,AUC00003,USER02695,18250,2024-04-30 22:35:36,outbid,Yes
BID000109,AUC00003,USER02814,19308,2024-05-01 17:44:21,outbid,Yes
BID000110,AUC00003,USER02011,21181,2024-05-02 07:21:44,valid,No
BID000111,AUC00003,USER01687,23153,2024-05-02 01:23:21,winning,No
BID000112,AUC00004,USER02752,1463,2022-09-17 00:02:04,outbid,No
BID000113,AUC00004,USER01173,2273,2022-09-14 17:40:30,outbid,No
BID000114,AUC00004,USER01270,3491,2022-09-14 14:03:14,outbid,Yes
BID000115,AUC00004,USER00449,3947,2022-09-13 23:23:34,outbid,Yes
BID000116,AUC00004,USER00393,5818,2022-09-13 17:24:56,outbid,No
BID000117,AUC00004,USER02626,6000,2022-09-16 04:54:58,outbid,No
BID000118,AUC00004,USER01878,6375,2022-09-14 19:26:27,outbid,Yes
BID000119,AUC00004,USER00414,7922,2022-09-18 09:55:27,outbid,No
BID000120,AUC00004,USER01478,8605,2022-09-14 13:13:29,outbid,No
BID000121,AUC00004,USER02557,8893,2022-09-14 11:17:11,outbid,Yes
BID000122,AUC00004,USER02248,10233,2022-09-17 19:27:35,outbid,No
BID000123,AUC00004,USER00036,12095,2022-09-18 01:06:11,outbid,Yes
BID000124,AUC00004,USER02033,13394,2022-09-18 18:49:20,outbid,No
BID000125,AUC00004,USER02161,14644,2022-09-13 14:36:04,outbid,No
BID000126,AUC00004,USER01642,16620,2022-09-15 16:27:27,outbid,Yes
BID000127,AUC00004,USER02793,18078,2022-09-19 05:28:34,outbid,No
BID000128,AUC00004,USER02477,18654,2022-09-14 17:45:04,outbid,No
BID000129,AUC00004,USER01941,20611,2022-09-16 00:20:36,outbid,No
BID000130,AUC00004,USER00761,21958,2022-09-18 05:45:03,outbid,Yes
BID000131,AUC00004,USER02386,23335,2022-09-16 06:55:39,outbid,No
BID000132,AUC00004,USER01796,24233,2022-09-17 14:16:09,outbid,Yes
BID000133,AUC00004,USER02188,24871,2022-09-16 06:13:28,outbid,No
BID000134,AUC00004,USER00920,26093,2022-09-16 04:15:38,outbid,Yes
BID000135,AUC00004,USER00201,27214,2022-09-15 22:32:47,outbid,Yes
BID000136,AUC00004,USER01133,29146,2022-09-18 06:58:45,outbid,No
BID000137,AUC00004,USER01473,29609,2022-09-13 21:06:19,outbid,No
BID000138,AUC00004,USER02077,29783,2022-09-18 11:59:06,outbid,No
BID000139,AUC00004,USER00068,30480,2022-09-19 09:38:53,outbid,No
BID000140,AUC00004,USER02932,30847,2022-09-17 09:09:23,outbid,Yes
BID000141,AUC00004,USER01262,31570,2022-09-15 15:30:28,outbid,Yes
BID000142,AUC00004,USER00333,33295,2022-09-17 12:12:02,outbid,No
BID000143,AUC00004,USER02938,34776,2022-09-16 11:35:19,valid,No
BID000144,AUC00004,USER02289,35954,2022-09-16 07:31:21,winning,No
BID000145,AUC00005,USER02947,1651,2024-08-19 07:15:40,outbid,No
BID000146,AUC00005,USER02172,2079,2024-08-15 20:27:51,outbid,Yes
BID000147,AUC00005,USER01089,2842,2024-08-19 17:20:23,outbid,Yes
BID000148,AUC00005,USER01011,4598,2024-08-18 22:04:26,outbid,Yes
BID000149,AUC00005,USER02692,5539,2024-08-12 08:14:12,outbid,No
BID000150,AUC00005,USER00309,7303,2024-08-14 23:28:51,outbid,No
BID000151,AUC00005,USER01792,8241,2024-08-16 04:29:24,outbid,Yes
BID000152,AUC00005,USER00675,8616,2024-08-14 19:02:22,outbid,Yes
BID000153,AUC00005,USER01988,10598,2024-08-15 06:07:53,outbid,No
BID000154,AUC00005,USER02520,11785,2024-08-12 07:51:53,outbid,Yes
BID000155,AUC00005,USER00774,12626,2024-08-18 18:50:38,valid,Yes
BID000156,AUC00005,USER02123,12821,2024-08-14 10:25:16,winning,No
BID000157,AUC00006,USER02886,2345,2023-03-17 07:07:48,outbid,Yes
BID000158,AUC00006,USER02507,2764,2023-03-17 22:00:37,outbid,Yes
BID000159,AUC00006,USER02664,3756,2023-03-17 00:21:42,outbid,Yes
BID000160,AUC00006,USER00773,5347,2023-03-17 06:57:44,outbid,Yes
BID000161,AUC00006,USER02886,7346,2023-03-17 04:11:54,outbid,Yes
BID000162,AUC00006,USER00971,7575,2023-03-16 22:28:17,outbid,No
BID000163,AUC00006,USER00736,8420,2023-03-19 05:04:55,outbid,Yes
BID000164,AUC00006,USER02597,9997,2023-03-17 02:50:43,outbid,Yes
BID000165,AUC00006,USER01565,10978,2023-03-17 04:31:44,outbid,No
BID000166,AUC00006,USER02166,11453,2023-03-17 15:03:20,outbid,Yes
BID000167,AUC00006,USER00548,11750,2023-03-18 02:00:47,outbid,No
BID000168,AUC00006,USER02993,13209,2023-03-16 20:19:21,outbid,No
BID000169,AUC00006,USER00552,14254,2023-03-19 03:50:17,outbid,No
BID000170,AUC00006,USER01646,16039,2023-03-17 23:40:43,outbid,Yes
BID000171,AUC00006,USER02986,16152,2023-03-17 21:00:15,outbid,No
BID000172,AUC00006,USER00158,17808,2023-03-17 14:22:19,outbid,Yes
BID000173,AUC00006,USER01725,19653,2023-03-18 00:30:11,outbid,No
BID000174,AUC00006,USER00386,20368,2023-03-16 19:40:59,outbid,No
BID000175,AUC00006,USER01770,22256,2023-03-17 22:22:30,outbid,No
BID000176,AUC00006,USER01626,23850,2023-03-17 00:44:41,outbid,Yes
BID000177,AUC00006,USER00735,24069,2023-03-18 14:07:18,outbid,Yes
BID000178,AUC00006,USER00089,24279,2023-03-19 04:07:01,outbid,No
BID000179,AUC00006,USER01669,26207,2023-03-17 12:36:57,outbid,No
BID000180,AUC00006,USER00525,26991,2023-03-17 13:25:09,outbid,Yes
BID000181,AUC00006,USER02004,28337,2023-03-16 13:32:46,outbid,Yes
BID000182,AUC00006,USER02709,30012,2023-03-16 13:29:30,outbid,No
BID000183,AUC00006,USER02324,31486,2023-03-18 09:32:14,outbid,Yes
BID000184,AUC00006,USER01046,32627,2023-03-18 22:33:12,outbid,No
BID000185,AUC00006,USER02354,34384,2023-03-16 18:30:11,outbid,No
BID000186,AUC00006,USER02763,34698,2023-03-18 01:54:39,outbid,No
BID000187,AUC00006,USER00115,35304,2023-03-19 02:51:49,outbid,No
BID000188,AUC00006,USER00271,35621,2023-03-17 06:56:09,outbid,No
BID000189,AUC00006,USER02051,35857,2023-03-18 20:37:33,outbid,No
BID000190,AUC00006,USER00651,36159,2023-03-17 18:42:58,outbid,No
BID000191,AUC00006,USER02404,37515,2023-03-16 12:24:00,outbid,Yes
BID000192,AUC00006,USER01053,39393,2023-03-18 15:51:34,outbid,Yes
BID000193,AUC00006,USER02353,40987,2023-03-18 21:43:14,outbid,No
BID000194,AUC00006,USER01763,41182,2023-03-18 04:20:40,outbid,Yes
BID000195,AUC00006,USER01915,42047,2023-03-17 10:35:11,outbid,No
BID000196,AUC00006,USER01030,42741,2023-03-17 22:01:40,outbid,No
BID000197,AUC00006,USER00309,42959,2023-03-18 01:33:26,outbid,Yes
BID000198,AUC00006,USER02497,43271,2023-03-17 07:45:40,outbid,No
BID000199,AUC00006,USER00567,44144,2023-03-16 19:54:13,valid,Yes
BID000200,AUC00006,USER02439,44905,2023-03-18 04:39:57,winning,Yes
BID000201,AUC00007,USER01270,2262,2025-10-29 00:32:33,outbid,Yes
BID000202,AUC00007,USER01036,3556,2025-11-02 12:23:40,outbid,No
BID000203,AUC00007,USER01466,3992,2025-11-02 18:13:01,outbid,No
BID000204,AUC00007,USER02772,4806,2025-11-01 21:43:14,outbid,No
BID000205,AUC00007,USER01366,6629,2025-10-28 18:01:16,outbid,Yes
BID000206,AUC00007,USER00145,7563,2025-11-03 05:17:09,outbid,No
BID000207,AUC00007,USER00695,7696,2025-10-30 21:57:06,outbid,No
BID000208,AUC00007,USER02487,8575,2025-10-30 12:48:09,outbid,Yes
BID000209,AUC00007,USER02393,9189,2025-10-29 16:10:54,outbid,No
BID000210,AUC00007,USER01502,11054,2025-11-01 05:08:06,outbid,No
BID000211,AUC00007,USER01677,11643,2025-11-02 02:39:59,outbid,Yes
BID000212,AUC00007,USER00356,12467,2025-10-28 23:14:43,outbid,No
BID000213,AUC00007,USER00599,14190,2025-10-30 13:47:53,outbid,No
BID000214,AUC00007,USER00658,15512,2025-11-01 17:57:39,outbid,No
BID000215,AUC00007,USER01381,16631,2025-10-30 09:17:42,outbid,No
BID000216,AUC00007,USER02776,18469,2025-11-02 01:31:49,outbid,No
BID000217,AUC00007,USER00320,18950,2025-10-30 19:40:38,outbid,No
BID000218,AUC00007,USER02971,20685,2025-11-03 01:52:01,outbid,Yes
BID000219,AUC00007,USER00363,21235,2025-11-02 22:31:43,outbid,Yes
BID000220,AUC00007,USER01535,22068,2025-10-27 15:09:28,outbid,No
BID000221,AUC00007,USER02056,22292,2025-11-03 15:48:52,outbid,Yes
BID000222,AUC00007,USER02732,22695,2025-10-31 18:32:40,outbid,Yes
BID000223,AUC00007,USER01788,24057,2025-10-30 23:29:15,outbid,No
BID000224,AUC00007,USER00808,25941,2025-10-28 06:30:21,outbid,No
BID000225,AUC00007,USER02714,26292,2025-10-28 03:31:17,outbid,No
BID000226,AUC00007,USER01631,27779,2025-11-02 02:25:15,outbid,No
BID000227,AUC00007,USER02757,29205,2025-11-02 02:25:28,outbid,No
BID000228,AUC00007,USER00933,31009,2025-11-01 04:24:01,outbid,Yes
BID000229,AUC00007,USER01397,32590,2025-10-31 04:51:33,outbid,No
BID000230,AUC00007,USER00355,34425,2025-11-03 06:35:23,outbid,No
BID000231,AUC00007,USER02405,34672,2025-10-30 12:28:35,outbid,Yes
BID000232,AUC00007,USER00227,35315,2025-11-03 09:05:49,outbid,Yes
BID000233,AUC00007,USER00701,35759,2025-10-29 23:14:06,outbid,Yes
BID000234,AUC00007,USER02575,36217,2025-10-31 18:38:48,outbid,Yes
BID000235,AUC00007,USER01464,37449,2025-11-01 04:21:21,outbid,Yes
BID000236,AUC00007,USER02661,38482,2025-11-03 03:28:07,outbid,Yes
BID000237,AUC00007,USER01727,39084,2025-10-27 16:18:17,outbid,Yes
BID000238,AUC00007,USER00657,40749,2025-10-30 22:52:41,outbid,No
BID000239,AUC00007,USER02869,41818,2025-10-29 01:43:49,outbid,No
BID000240,AUC00007,USER02105,43359,2025-10-27 22:24:04,outbid,No
BID000241,AUC00007,USER02635,44294,2025-10-27 17:26:00,outbid,No
BID000242,AUC00007,USER02158,45251,2025-11-04 02:18:44,outbid,No
BID000243,AUC00007,USER00987,47151,2025-10-28 04:58:36,outbid,No
BID000244,AUC00007,USER01048,47477,2025-11-02 11:21:18,outbid,No
BID000245,AUC00007,USER02475,48858,2025-10-27 08:00:52,outbid,No
BID000246,AUC00007,USER02655,49670,2025-11-01 12:02:39,outbid,No
BID000247,AUC00007,USER01734,51267,2025-11-02 17:38:59,valid,Yes
BID000248,AUC00007,USER02386,52970,2025-10-27 08:39:14,winning,Yes
BID000249,AUC00008,USER02802,2459,2025-05-16 23:15:11,outbid,No
BID000250,AUC00008,USER00151,3581,2025-05-15 05:57:20,outbid,No
BID000251,AUC00008,USER02976,3699,2025-05-12 00:10:00,outbid,No
BID000252,AUC00008,USER02346,4091,2025-05-16 18:43:20,outbid,No
BID000253,AUC00008,USER00471,5445,2025-05-11 18:15:19,outbid,Yes
BID000254,AUC00008,USER01688,5950,2025-05-16 14:00:12,outbid,Yes
BID000255,AUC00008,USER01253,7274,2025-05-19 12:04:08,outbid,Yes
BID000256,AUC00008,USER01197,7949,2025-05-19 10:23:40,outbid,No
BID000257,AUC00008,USER01092,9350,2025-05-12 19:08:47,outbid,No
BID000258,AUC00008,USER02427,9853,2025-05-13 23:35:39,outbid,No
BID000259,AUC00008,USER01714,10112,2025-05-19 01:53:15,outbid,Yes
BID000260,AUC00008,USER01862,11386,2025-05-18 07:21:47,outbid,No
BID000261,AUC00008,USER02470,11678,2025-05-15 12:27:41,outbid,Yes
BID000262,AUC00008,USER00291,12552,2025-05-14 07:52:02,outbid,No
BID000263,AUC00008,USER02322,14461,2025-05-14 04:17:19,outbid,No
BID000264,AUC00008,USER01076,15364,2025-05-16 05:09:46,outbid,No
BID000265,AUC00008,USER02434,16250,2025-05-16 20:40:54,outbid,No
BID000266,AUC00008,USER00089,16928,2025-05-13 13:48:00,outbid,Yes
BID000267,AUC00008,USER01912,17136,2025-05-14 02:46:51,outbid,Yes
BID000268,AUC00008,USER02348,18671,2025-05-13 22:43:41,outbid,No
BID000269,AUC00008,USER00350,19536,2025-05-21 06:43:30,outbid,Yes
BID000270,AUC00008,USER00617,20560,2025-05-14 05:50:33,outbid,No
BID000271,AUC00008,USER00770,22383,2025-05-20 18:49:32,valid,No
BID000272,AUC00008,USER02205,23657,2025-05-16 16:46:04,winning,Yes
BID000273,AUC00009,USER01986,3207,2024-07-09 06:20:15,outbid,Yes
BID000274,AUC00009,USER01927,5159,2024-07-10 15:29:06,outbid,Yes
BID000275,AUC00009,USER01144,6714,2024-07-10 11:26:32,outbid,No
BID000276,AUC00009,USER02988,8009,2024-07-11 17:06:52,outbid,Yes
BID000277,AUC00009,USER02971,9680,2024-07-09 22:02:03,outbid,Yes
BID000278,AUC00009,USER01048,9945,2024-07-10 07:56:12,outbid,Yes
BID000279,AUC00009,USER01566,10523,2024-07-12 03:34:10,outbid,No
BID000280,AUC00009,USER00738,11127,2024-07-11 14:33:29,outbid,No
BID000281,AUC00009,USER00116,12227,2024-07-10 22:58:21,outbid,Yes
BID000282,AUC00009,USER00843,13199,2024-07-09 05:15:19,outbid,No
BID000283,AUC00009,USER02701,14177,2024-07-09 18:10:24,outbid,No
BID000284,AUC00009,USER01052,15998,2024-07-11 10:27:36,outbid,Yes
BID000285,AUC00009,USER02231,17026,2024-07-09 05:12:48,outbid,Yes
BID000286,AUC00009,USER01241,18101,2024-07-10 11:28:04,outbid,No
BID000287,AUC00009,USER01186,18978,2024-07-09 10:25:03,outbid,Yes
BID000288,AUC00009,USER01016,20876,2024-07-10 21:00:01,outbid,No
BID000289,AUC00009,USER01125,22418,2024-07-09 23:48:47,outbid,Yes
BID000290,AUC00009,USER00142,23176,2024-07-09 16:55:10,outbid,Yes
BID000291,AUC00009,USER02809,24888,2024-07-11 12:07:16,outbid,Yes
BID000292,AUC00009,USER00263,25281,2024-07-10 20:28:43,outbid,Yes
BID000293,AUC00009,USER01860,25696,2024-07-11 07:47:35,outbid,Yes
BID000294,AUC00009,USER00869,26471,2024-07-10 10:46:32,outbid,No
BID000295,AUC00009,USER02653,26601,2024-07-11 22:32:25,outbid,No
BID000296,AUC00009,USER00640,28584,2024-07-10 16:43:13,outbid,Yes
BID000297,AUC00009,USER02637,30136,2024-07-10 05:06:16,outbid,Yes
BID000298,AUC00009,USER00840,30470,2024-07-10 21:02:04,outbid,Yes
BID000299,AUC00009,USER00446,31363,2024-07-10 04:02:10,outbid,No
BID000300,AUC00009,USER01918,32966,2024-07-11 22:59:58,outbid,Yes
BID000301,AUC00009,USER01777,34003,2024-07-10 00:44:56,outbid,Yes
BID000302,AUC00009,USER00949,35287,2024-07-10 22:31:23,valid,Yes
BID000303,AUC00009,USER00623,35573,2024-07-10 14:30:22,winning,No
BID000304,AUC00010,USER01964,3508,2025-11-09 08:43:26,outbid,Yes
BID000305,AUC00010,USER00944,3872,2025-11-11 01:42:51,outbid,Yes
BID000306,AUC00010,USER00220,5726,2025-11-09 02:03:08,outbid,No
BID000307,AUC00010,USER02044,7383,2025-11-08 17:58:45,outbid,No
BID000308,AUC00010,USER02932,8314,2025-11-11 15:30:24,valid,No
BID000309,AUC00010,USER00349,8804,2025-11-08 19:22:05,winning,Yes
BID000310,AUC00011,USER01363,2592,2022-01-04 07:09:00,outbid,No
BID000311,AUC00011,USER02502,3413,2022-01-03 23:33:25,outbid,No
BID000312,AUC00011,USER02028,5103,2022-01-04 07:12:30,outbid,Yes
BID000313,AUC00011,USER00320,6948,2022-01-04 19:50:33,outbid,No
BID000314,AUC00011,USER01035,8484,2022-01-04 16:05:13,outbid,No
BID000315,AUC00011,USER01345,9152,2022-01-04 07:57:06,outbid,No
BID000316,AUC00011,USER02614,10736,2022-01-04 11:39:13,outbid,No
BID000317,AUC00011,USER01737,12133,2022-01-04 18:28:38,outbid,No
BID000318,AUC00011,USER02457,13159,2022-01-04 01:41:56,outbid,No
BID000319,AUC00011,USER02069,14874,2022-01-04 05:10:27,outbid,No
BID000320,AUC00011,USER02215,16504,2022-01-04 09:26:25,outbid,Yes
BID000321,AUC00011,USER00523,16716,2022-01-04 14:03:15,outbid,Yes
BID000322,AUC00011,USER01902,17737,2022-01-04 19:40:54,outbid,Yes
BID000323,AUC00011,USER03000,18555,2022-01-04 10:43:59,outbid,No
BID000324,AUC00011,USER02199,20077,2022-01-03 22:03:07,outbid,No
BID000325,AUC00011,USER00273,20658,2022-01-04 09:26:38,outbid,Yes
BID000326,AUC00011,USER00401,22336,2022-01-04 03:00:29,outbid,No
BID000327,AUC00011,USER00973,23489,2022-01-04 11:01:04,valid,No
BID000328,AUC00011,USER00370,23771,2022-01-04 09:13:36,winning,No
BID000329,AUC00012,USER01393,2949,2023-08-09 02:59:45,outbid,Yes
BID000330,AUC00012,USER00009,3413,2023-08-06 23:10:36,outbid,No
BID000331,AUC00012,USER02269,3787,2023-08-11 17:22:49,outbid,Yes
BID000332,AUC00012,USER02497,5563,2023-08-06 23:52:28,outbid,Yes
BID000333,AUC00012,USER02765,7089,2023-08-12 18:53:07,outbid,No
BID000334,AUC00012,USER00335,7454,2023-08-06 09:22:19,outbid,No
BID000335,AUC00012,USER02085,9005,2023-08-10 17:15:12,outbid,Yes
BID000336,AUC00012,USER02416,9925,2023-08-10 14:40:56,outbid,No
BID000337,AUC00012,USER00315,10723,2023-08-07 01:04:19,outbid,Yes
BID000338,AUC00012,USER01231,11871,2023-08-05 14:03:10,outbid,No
BID000339,AUC00012,USER02427,12649,2023-08-12 23:14:48,outbid,Yes
BID000340,AUC00012,USER01798,14189,2023-08-10 20:46:19,outbid,No
BID000341,AUC00012,USER02720,15930,2023-08-13 01:37:59,outbid,Yes
BID000342,AUC00012,USER01674,16285,2023-08-07 13:43:26,outbid,Yes
BID000343,AUC00012,USER01359,18056,2023-08-08 17:07:44,outbid,No
BID000344,AUC00012,USER01908,19722,2023-08-07 03:50:30,outbid,Yes
BID000345,AUC00012,USER02045,21669,2023-08-10 20:11:30,outbid,Yes
BID000346,AUC00012,USER01109,22929,2023-08-06 05:43:59,outbid,Yes
BID000347,AUC00012,USER02732,24575,2023-08-07 13:59:08,outbid,No
BID000348,AUC00012,USER02421,25434,2023-08-11 12:49:26,outbid,Yes
BID000349,AUC00012,USER01663,26630,2023-08-09 10:02:16,outbid,No
BID000350,AUC00012,USER01001,27427,2023-08-09 04:25:55,outbid,Yes
BID000351,AUC00012,USER01313,29116,2023-08-12 02:52:42,outbid,Yes
BID000352,AUC00012,USER01113,30459,2023-08-09 21:54:19,outbid,No
BID000353,AUC00012,USER01748,31619,2023-08-12 20:51:31,outbid,Yes
BID000354,AUC00012,USER00022,33186,2023-08-09 13:28:22,valid,No
BID000355,AUC00012,USER00839,34463,2023-08-10 20:28:55,winning,Yes
BID000356,AUC00013,USER02770,2057,2024-11-04 09:46:27,outbid,No
BID000357,AUC00013,USER02057,2878,2024-11-08 20:49:41,outbid,No
BID000358,AUC00013,USER00802,4140,2024-11-05 06:40:10,outbid,Yes
