item_id,seller_id,item_name,category,sub_category,starting_price,reserve_price,buy_now_price,item_condition,created_date
ITEM00071,USER02968,Samsung Galaxy S22,Electronics,Laptop,16320,22309,37051,used,2025-01-13
ITEM00072,USER00756,Gaming Keyboard,Collectibles,Antiques,35327,36492,50395,used,2025-12-28
ITEM00073,USER01040,iPhone 13 Pro,Home,Decor,28206,33630,51573,new,2022-08-01
ITEM00074,USER02510,Wooden Dining Table,Home,Decor,35155,43939,59098,used,2025-11-03
ITEM00075,USER00709,Vintage Coin Collection,Collectibles,Antiques,943,2754,19191,used,2025-04-25
ITEM00076,USER01908,Antique Wall Clock,Collectibles,Art,32616,35956,42607,new,2025-09-11
ITEM00077,USER01061,Kitchen Mixer Grinder,Vehicles,Car,48386,57156,61096,used,2024-04-02
ITEM00078,USER01625,Kitchen Mixer Grinder,Fashion,Men Clothing,23250,24515,42720,used,2025-06-06
ITEM00079,USER00485,Kitchen Mixer Grinder,Fashion,Watches,44661,45634,47962,used,2025-07-29
ITEM00080,USER00934,Wooden Dining Table,Vehicles,Bike,44583,53315,60492,used,2022-10-09
ITEM00081,USER02549,Vintage Coin Collection,Vehicles,Car,9289,11373,17171,new,2022-03-23
ITEM00082,USER00380,Yamaha Bike,Vehicles,Car,38301,41262,60048,new,2023-02-28
ITEM00083,USER02584,Canon DSLR Camera,Fashion,Watches,8553,13845,32232,new,2022-07-26
ITEM00084,USER01989,Office Chair,Home,Furniture,45086,48745,60344,new,2022-10-25
ITEM00085,USER00770,Canon DSLR Camera,Vehicles,Car,49451,54795,65241,used,2024-11-25
ITEM00086,USER00993,Office Chair,Home,Decor,6858,10955,25681,used,2023-12-25
ITEM00087,USER01908,iPhone 13 Pro,Electronics,Camera,37948,40543,48494,used,2025-05-08
ITEM00088,USER01244,Antique Wall Clock,Home,Decor,49669,54729,67470,used,2024-06-02
ITEM00089,USER00587,Rolex Style Watch,Electronics,Mobile,30791,34835,41025,used,2022-04-10
ITEM00090,USER00629,Kitchen Mixer Grinder,Vehicles,Car,45578,47921,58687,used,2025-09-28
ITEM00091,USER02212,Rolex Style Watch,Fashion,Women Clothing,5198,14974,26734,used,2025-07-15
ITEM00092,USER02434,Office Chair,Electronics,Headphones,11840,13073,23267,new,2024-02-06
ITEM00093,USER00107,Leather Jacket,Electronics,Mobile,41932,42586,53420,used,2024-02-13
ITEM00094,USER02312,Used Honda City Car,Fashion,Women Clothing,48425,55714,70356,used,2024-03-10
ITEM00095,USER01986,iPhone 13 Pro,Vehicles,Car,49774,57741,61805,new,2022-05-31
ITEM00096,USER02152,Samsung Galaxy S22,Electronics,Laptop,33371,39648,56823,new,2022-11-05
ITEM00097,USER02045,Antique Wall Clock,Collectibles,Coins,23612,29804,49384,new,2023-04-20
ITEM00098,USER01220,Antique Wall Clock,Collectibles,Art,8246,9417,23844,new,2025-10-22
ITEM00099,USER02486,Antique Wall Clock,Electronics,Laptop,33518,36049,39436,used,2022-09-01
ITEM00100,USER01433,Dell XPS 13 Laptop,Collectibles,Coins,8607,13673,23811,new,2023-09-28
ITEM00101,USER00247,Samsung Galaxy S22,Electronics,Mobile,38348,40273,43802,new,2023-07-08
ITEM00102,USER00106,Office Chair,Fashion,Shoes,24158,29263,39087,used,2023-08-15
ITEM00103,USER01609,Kitchen Mixer Grinder,Vehicles,Bike,3904,11347,16206,new,2024-10-03
ITEM00104,USER00058,Kitchen Mixer Grinder,Electronics,Laptop,47789,57537,76406,new,2022-12-29
ITEM00105,USER02999,iPhone 13 Pro,Vehicles,Car,30004,30928,44852,used,2025-08-19
ITEM00106,USER01284,Sony WH-1000XM4 Headphones,Fashion,Men Clothing,11492,15265,33232,used,2024-08-13
ITEM00107,USER02108,Wooden Dining Table,Electronics,Camera,41292,47247,60342,new,2024-12-08
ITEM00108,USER01689,Yamaha Bike,Fashion,Women Clothing,35129,42443,51010,used,2024-04-12
ITEM00109,USER00094,Vintage Coin Collection,Fashion,Watches,13551,17862,25682,used,2023-04-01
ITEM00110,USER01036,Sony WH-1000XM4 Headphones,Fashion,Women Clothing,24615,26830,43565,used,2024-10-18
ITEM00111,USER02796,Sony WH-1000XM4 Headphones,Fashion,Watches,13704,16930,22456,used,2024-08-25
ITEM00112,USER02263,Nike Running Shoes,Vehicles,Bike,40970,43690,57809,used,2022-11-16
ITEM00113,USER02260,Canon DSLR Camera,Home,Kitchen,30888,32487,52356,new,2022-10-23
ITEM00114,USER00524,Kitchen Mixer Grinder,Electronics,Camera,12503,20870,22859,used,2024-08-11
ITEM00115,USER00640,Samsung Galaxy S22,Home,Kitchen,38336,43063,51884,used,2024-08-25
ITEM00116,USER02083,Gaming Keyboard,Fashion,Men Clothing,39248,39765,48027,new,2022-02-01
ITEM00117,USER00607,Gaming Keyboard,Fashion,Shoes,30253,32759,49529,used,2023-09-13
ITEM00118,USER01786,Leather Jacket,Fashion,Men Clothing,17258,17988,31929,used,2024-01-26
ITEM00119,USER00453,Kitchen Mixer Grinder,Fashion,Men Clothing,24451,26473,42869,new,2025-03-03
ITEM00120,USER01552,Rolex Style Watch,Vehicles,Car,15822,17143,19741,new,2022-09-02
ITEM00121,USER02227,Sony WH-1000XM4 Headphones,Electronics,Laptop,30380,38545,58478,used,2024-01-12
ITEM00122,USER01415,Samsung Galaxy S22,Collectibles,Coins,21909,27697,42893,new,2025-01-14
ITEM00123,USER00175,Vintage Coin Collection,Electronics,Laptop,1269,5941,9950,new,2023-01-16
ITEM00124,USER01786,Wooden Dining Table,Vehicles,Car,5968,9843,16258,new,2024-05-31
ITEM00125,USER02574,Vintage Coin Collection,Collectibles,Art,36477,45723,50634,new,2025-03-19
ITEM00126,USER01259,Kitchen Mixer Grinder,Vehicles,Bike,18571,26649,41835,used,2023-06-06
ITEM00127,USER02593,Antique Wall Clock,Electronics,Mobile,14724,18467,28803,new,2024-12-23
ITEM00128,USER01505,Nike Running Shoes,Home,Decor,38640,48112,54147,used,2025-08-27
ITEM00129,USER00456,Canon DSLR Camera,Home,Furniture,31166,34727,40233,new,2022-01-04
ITEM00130,USER00082,Rolex Style Watch,Home,Kitchen,35823,41185,57167,new,2025-09-20
ITEM00131,USER02296,Leather Jacket,Fashion,Women Clothing,37012,43497,55603,new,2023-08-17
ITEM00132,USER02262,Kitchen Mixer Grinder,Electronics,Mobile,37128,42506,52108,new,2025-12-06
ITEM00133,USER00115,Vintage Coin Collection,Collectibles,Art,40626,49521,50697,used,2022-10-24
ITEM00134,USER02855,Canon DSLR Camera,Collectibles,Art,17744,18626,22441,used,2022-10-11
ITEM00135,USER01824,Yamaha Bike,Home,Decor,19357,21641,37724,new,2023-06-03
ITEM00136,USER02468,Nike Running Shoes,Electronics,Laptop,16812,25540,42596,new,2022-05-22
ITEM00137,USER02517,Yamaha Bike,Collectibles,Art,25047,26043,28115,used,2022-06-22
ITEM00138,USER02417,Nike Running Shoes,Electronics,Mobile,1028,3641,17680,new,2025-09-26
ITEM00139,USER02550,Samsung Galaxy S22,Fashion,Watches,16340,18583,27777,used,2022-04-11
ITEM00140,USER02203,Office Chair,Electronics,Mobile,48836,57208,76149,used,2024-06-09
ITEM00141,USER01161,Office Chair,Fashion,Women Clothing,11893,18326,29214,new,2024-04-19
ITEM00142,USER00792,Rolex Style Watch,Collectibles,Art,34314,35057,48505,used,2025-07-18
ITEM00143,USER00671,Antique Wall Clock,Collectibles,Antiques,14149,21864,38808,used,2023-09-24
ITEM00144,USER02136,iPhone 13 Pro,Collectibles,Art,7848,11268,28992,new,2024-07-12
ITEM00145,USER00378,Office Chair,Fashion,Men Clothing,42131,44294,51449,used,2024-06-28
ITEM00146,USER00596,Rolex Style Watch,Fashion,Shoes,26998,33547,42261,new,2022-05-12
ITEM00147,USER02897,Samsung Galaxy S22,Fashion,Women Clothing,10250,18266,27640,new,2023-10-10
ITEM00148,USER02307,Antique Wall Clock,Electronics,Laptop,18337,20805,32610,new,2022-04-01
ITEM00149,USER01723,Yamaha Bike,Collectibles,Coins,22915,25027,37072,new,2024-12-25
ITEM00150,USER02251,Vintage Coin Collection,Home,Decor,1833,10234,15033,used,2025-10-26
ITEM00151,USER01109,Gaming Keyboard,Collectibles,Antiques,34904,38985,56393,used,2022-05-12
ITEM00152,USER01523,Vintage Coin Collection,Home,Decor,46707,53448,58779,used,2023-12-01
ITEM00153,USER00922,Rolex Style Watch,Vehicles,Car,3563,13362,26691,used,2022-02-25
ITEM00154,USER02622,Samsung Galaxy S22,Electronics,Headphones,2078,6217,16368,used,2024-03-11
ITEM00155,USER01286,Leather Jacket,Vehicles,Car,29497,32884,47585,new,2022-04-02
ITEM00156,USER01664,Kitchen Mixer Grinder,Collectibles,Coins,46870,49507,52137,new,2022-08-21
ITEM00157,USER01328,Office Chair,Fashion,Shoes,38342,38894,57606,new,2024-12-05
ITEM00158,USER01291,Canon DSLR Camera,Vehicles,Bike,39289,41282,55506,new,2025-02-24
ITEM00159,USER00727,Vintage Coin Collection,Home,Furniture,12005,13035,18460,new,2025-01-24
ITEM00160,USER01300,Samsung Galaxy S22,Home,Kitchen,13805,23081,25393,new,2023-10-26
ITEM00161,USER01931,Dell XPS 13 Laptop,Fashion,Men Clothing,44007,44690,53299,new,2025-06-12
ITEM00162,USER00270,iPhone 13 Pro,Collectibles,Art,32272,35372,55328,used,2022-06-19
ITEM00163,USER01656,Kitchen Mixer Grinder,Vehicles,Bike,6467,16013,29863,new,2025-11-26
ITEM00164,USER00387,Rolex Style Watch,Electronics,Laptop,16732,20499,40495,new,2023-03-21
ITEM00165,USER02665,Rolex Style Watch,Collectibles,Antiques,38474,47132,66346,new,2022-09-21
ITEM00166,USER00528,Antique Wall Clock,Fashion,Men Clothing,17048,26450,37684,new,2023-11-06
ITEM00167,USER02219,Canon DSLR Camera,Fashion,Watches,34684,38235,49883,new,2023-05-04
ITEM00168,USER00461,Used Honda City Car,Collectibles,Antiques,21795,30820,32725,used,2022-12-06
ITEM00169,USER01383,Leather Jacket,Home,Kitchen,45637,49679,52026,new,2024-09-06
ITEM00170,USER00358,Sony WH-1000XM4 Headphones,Collectibles,Art,6489,15777,29118,new,2023-03-23
ITEM00171,USER00058,iPhone 13 Pro,Fashion,Watches,11849,20500,36011,new,2024-02-01
ITEM00172,USER00737,Nike Running Shoes,Electronics,Camera,29662,32875,50563,new,2023-01-09
ITEM00173,USER02767,Wooden Dining Table,Home,Kitchen,36703,43574,46875,used,2025-09-16
ITEM00174,USER01707,iPhone 13 Pro,Collectibles,Coins,28578,31440,44342,used,2023-10-20
ITEM00175,USER00325,Dell XPS 13 Laptop,Electronics,Mobile,33839,35419,39065,new,2025-02-20
ITEM00176,USER00255,iPhone 13 Pro,Vehicles,Bike,37187,45955,60381,new,2024-09-09
ITEM00177,USER01736,Sony WH-1000XM4 Headphones,Vehicles,Bike,34019,43887,46305,used,2022-02-04
ITEM00178,USER01893,Leather Jacket,Home,Kitchen,38434,47915,53932,used,2022-02-28
ITEM00179,USER01990,Leather Jacket,Collectibles,Antiques,19938,28861,32449,used,2024-09-28
ITEM00180,USER02459,Office Chair,Home,Kitchen,41628,47864,54978,used,2023-08-03
ITEM00181,USER00760,Antique Wall Clock,Electronics,Mobile,8892,17247,21496,new,2023-10-13
ITEM00182,USER00562,Samsung Galaxy S22,Vehicles,Bike,33939,42809,43879,used,2025-03-16
ITEM00183,USER01706,Leather Jacket,Collectibles,Art,44001,47787,60315,new,2024-11-28
ITEM00184,USER01467,Kitchen Mixer Grinder,Home,Decor,6669,8656,13401,used,2023-04-10
ITEM00185,USER02667,Office Chair,Electronics,Headphones,27266,33624,51837,new,2025-11-30
ITEM00186,USER02115,Rolex Style Watch,Home,Furniture,17910,21892,40485,new,2025-12-25
ITEM00187,USER00156,Yamaha Bike,Electronics,Camera,40976,50941,57637,new,2024-04-30
ITEM00188,USER02791,Canon DSLR Camera,Fashion,Men Clothing,4411,5985,14437,used,2025-01-31
ITEM00189,USER02697,Office Chair,Fashion,Men Clothing,39336,39967,50645,used,2022-11-06
ITEM00190,USER00656,Kitchen Mixer Grinder,Vehicles,Bike,20280,25495,43135,used,2025-06-25
ITEM00191,USER02215,Wooden Dining Table,Electronics,Camera,27566,29299,45172,new,2024-11-04
ITEM00192,USER00188,Nike Running Shoes,Collectibles,Antiques,47705,49627,57136,new,2023-10-08
ITEM00193,USER01648,Sony WH-1000XM4 Headphones,Electronics,Laptop,21326,24809,30456,used,2024-04-05
ITEM00194,USER02945,Used Honda City Car,Vehicles,Car,32850,42560,57085,used,2023-08-31
ITEM00195,USER00017,Samsung Galaxy S22,Fashion,Men Clothing,45426,48541,63315,new,2023-02-17
ITEM00196,USER00222,Antique Wall Clock,Collectibles,Antiques,7519,16363,23239,used,2022-05-16
ITEM00197,USER01555,Kitchen Mixer Grinder,Home,Decor,43301,50817,70622,new,2023-09-21
ITEM00198,USER00562,Wooden Dining Table,Fashion,Men Clothing,26166,29669,48309,new,2023-04-02
ITEM00199,USER00185,Sony WH-1000XM4 Headphones,Collectibles,Coins,33152,34782,45696,used,2025-02-07
ITEM00200,USER01802,Canon DSLR Camera,Home,Kitchen,1831,2751,22090,used,2022-05-16
ITEM00201,USER00553,Kitchen Mixer Grinder,Fashion,Women Clothing,20537,24913,34632,used,2025-02-01
ITEM00202,USER01384,Wooden Dining Table,Collectibles,Coins,41065,49025,51160,used,2024-07-19
ITEM00203,USER02315,Antique Wall Clock,Home,Decor,31580,32726,45556,new,2023-03-17
ITEM00204,USER01842,Rolex Style Watch,Electronics,Headphones,24393,27380,33171,used,2022-01-07
ITEM00205,USER02007,Office Chair,Collectibles,Coins,15616,20640,31091,new,2022-12-29
ITEM00206,USER01100,Dell XPS 13 Laptop,Collectibles,Antiques,718,9933,22821,new,2024-12-12
ITEM00207,USER01826,Yamaha Bike,Collectibles,Art,7245,15071,34179,new,2022-06-10
ITEM00208,USER00137,Sony WH-1000XM4 Headphones,Electronics,Camera,19454,23566,39197,new,2023-10-08
ITEM00209,USER02370,Dell XPS 13 Laptop,Vehicles,Car,26043,31116,32442,new,2025-02-24
ITEM00210,USER02029,Leather Jacket,Collectibles,Antiques,16306,17157,34854,new,2023-04-09
ITEM00211,USER00545,Vintage Coin Collection,Collectibles,Antiques,24294,32899,35589,new,2024-12-22
ITEM00212,USER00388,Leather Jacket,Collectibles,Art,25521,27654,35336,used,2023-04-20
ITEM00213,USER01745,Canon DSLR Camera,Vehicles,Bike,37223,41340,52704,used,2023-02-13
ITEM00214,USER01078,Yamaha Bike,Fashion,Men Clothing,12405,14930,19583,new,2023-04-21
ITEM00215,USER01754,Vintage Coin Collection,Collectibles,Coins,40337,43989,55513,used,2025-05-08
ITEM00216,USER00180,Canon DSLR Camera,Electronics,Camera,42343,45440,50979,new,2022-03-10
ITEM00217,USER00597,Yamaha Bike,Vehicles,Bike,31843,39718,51903,used,2024-10-22
ITEM00218,USER02724,Antique Wall Clock,Vehicles,Car,12269,19556,21447,new,2023-07-19
ITEM00219,USER02498,Kitchen Mixer Grinder,Collectibles,Coins,46620,56574,73895,used,2025-11-24
ITEM00220,USER01822,Gaming Keyboard,Electronics,Mobile,31355,35233,47703,used,2025-10-17
ITEM00221,USER00968,Office Chair,Electronics,Camera,34332,42079,48479,new,2024-09-04
ITEM00222,USER02947,Kitchen Mixer Grinder,Electronics,Mobile,4164,9393,11348,used,2023-08-04
ITEM00223,USER01798,Kitchen Mixer Grinder,Fashion,Shoes,11955,21782,35519,new,2024-12-26
ITEM00224,USER00689,Kitchen Mixer Grinder,Electronics,Headphones,13936,17100,20252,new,2023-11-01
ITEM00225,USER02205,Canon DSLR Camera,Vehicles,Bike,2154,5485,13916,used,2023-12-08
ITEM00226,USER00292,Nike Running Shoes,Electronics,Mobile,23165,24202,32851,used,2024-12-06
ITEM00227,USER01656,Rolex Style Watch,Electronics,Laptop,39308,48206,51535,used,2022-02-28
ITEM00228,USER00692,Used Honda City Car,Fashion,Watches,3776,9903,14833,used,2024-12-25
ITEM00229,USER02307,Rolex Style Watch,Electronics,Mobile,32107,38985,42776,used,2022-08-08
ITEM00230,USER02749,iPhone 13 Pro,Fashion,Watches,41613,43810,60713,used,2023-07-27
ITEM00231,USER02383,Office Chair,Fashion,Watches,23142,30988,40189,used,2023-02-01
ITEM00232,USER02955,Wooden Dining Table,Fashion,Watches,25320,31405,44962,used,2023-10-20
ITEM00233,USER02894,Rolex Style Watch,Vehicles,Car,47302,55756,72629,new,2023-10-11
ITEM00234,USER00781,Antique Wall Clock,Home,Decor,14192,17565,26033,used,2022-09-16
ITEM00235,USER00746,Sony WH-1000XM4 Headphones,Fashion,Shoes,29192,38792,46955,used,2023-12-30
ITEM00236,USER01243,Dell XPS 13 Laptop,Fashion,Women Clothing,49003,51745,60834,new,2025-07-27
ITEM00237,USER00021,Leather Jacket,Home,Kitchen,6540,7980,21915,used,2024-12-21
ITEM00238,USER02059,Office Chair,Collectibles,Coins,23385,26872,46430,used,2022-12-27
ITEM00239,USER00934,Office Chair,Fashion,Men Clothing,22832,29438,36353,used,2024-03-11
ITEM00240,USER01226,Canon DSLR Camera,Electronics,Laptop,29657,36526,46463,used,2024-11-30
ITEM00241,USER01667,Office Chair,Electronics,Laptop,49696,52248,64676,new,2024-04-15
ITEM00242,USER01192,Nike Running Shoes,Collectibles,Art,524,10148,19190,new,2022-11-20
ITEM00243,USER00571,Gaming Keyboard,Vehicles,Bike,44259,52797,72628,new,2024-03-13
ITEM00244,USER00980,Kitchen Mixer Grinder,Fashion,Women Clothing,3109,5859,18490,used,2022-06-09
ITEM00245,USER01133,iPhone 13 Pro,Fashion,Shoes,46079,46856,58944,new,2022-07-09
ITEM00246,USER00095,Used Honda City Car,Vehicles,Car,27080,35783,48775,used,2025-10-08
ITEM00247,USER02176,Dell XPS 13 Laptop,Fashion,Women Clothing,8664,14376,21217,new,2023-06-14
ITEM00248,USER02084,Used Honda City Car,Vehicles,Car,16435,23219,28475,used,2025-11-01
ITEM00249,USER00288,Sony WH-1000XM4 Headphones,Fashion,Women Clothing,18508,20907,31787,used,2023-03-14
ITEM00250,USER00488,Nike Running Shoes,Electronics,Mobile,23276,27910,46005,new,2022-10-31
ITEM00251,USER01395,Yamaha Bike,Fashion,Women Clothing,40517,44663,61210,used,2022-12-12
ITEM00252,USER01609,Antique Wall Clock,Collectibles,Antiques,35357,41334,58955,used,2025-03-16
ITEM00253,USER00017,Sony WH-1000XM4 Headphones,Collectibles,Art,26596,33624,35509,new,2023-05-17
ITEM00254,USER01115,Samsung Galaxy S22,Electronics,Camera,33816,41344,51786,new,2024-05-23
ITEM00255,USER01941,Canon DSLR Camera,Vehicles,Car,4961,13609,28255,new,2024-07-03
ITEM00256,USER01432,Leather Jacket,Fashion,Women Clothing,48908,53056,59968,used,2025-02-14
ITEM00257,USER01451,iPhone 13 Pro,Vehicles,Bike,30812,33857,39820,new,2023-09-11
ITEM00258,USER02721,Dell XPS 13 Laptop,Vehicles,Bike,21222,27054,40748,new,2022-09-20
ITEM00259,USER02981,Wooden Dining Table,Electronics,Headphones,31670,34734,39582,new,2022-08-24
ITEM00260,USER00341,Gaming Keyboard,Electronics,Mobile,19115,24537,43231,used,2024-02-14
ITEM00261,USER00524,Nike Running Shoes,Home,Decor,33450,40842,43703,new,2024-05-18
ITEM00262,USER01895,Yamaha Bike,Electronics,Mobile,1845,11292,20942,new,2025-10-27
ITEM00263,USER00522,Kitchen Mixer Grinder,Home,Kitchen,26415,30793,37995,used,2023-04-08
ITEM00264,USER00187,Kitchen Mixer Grinder,Electronics,Camera,43293,48882,61178,new,2024-06-24
ITEM00265,USER02244,Dell XPS 13 Laptop,Fashion,Women Clothing,49783,56385,60503,used,2022-03-17
ITEM00266,USER01358,Vintage Coin Collection,Collectibles,Coins,23386,33221,44982,new,2024-03-04
ITEM00267,USER02843,Gaming Keyboard,Vehicles,Car,20649,28028,32743,used,2024-07-12
ITEM00268,USER01003,Leather Jacket,Vehicles,Bike,10615,13295,29808,new,2022-05-16
ITEM00269,USER01878,Used Honda City Car,Vehicles,Car,20995,23671,31942,new,2023-05-17
ITEM00270,USER02757,Rolex Style Watch,Home,Decor,46248,55097,72727,new,2023-04-25
ITEM00271,USER02369,Office Chair,Electronics,Headphones,515,4876,14944,used,2025-05-27
ITEM00272,USER00138,Leather Jacket,Home,Furniture,48746,56432,73794,new,2025-02-24
ITEM00273,USER02094,Samsung Galaxy S22,Home,Decor,20247,29191,31464,new,2022-02-21
ITEM00274,USER02897,Vintage Coin Collection,Electronics,Mobile,29397,30245,35611,used,2025-09-25
ITEM00275,USER00426,Rolex Style Watch,Fashion,Watches,32636,37151,51020,used,2024-08-18
