auction_id,item_id,start_time,end_time,auction_status,winner_user_id,final_price,total_bids,auction_type
AUC00145,ITEM00282,2022-08-12 21:13:00,2022-08-18 21:13:00,closed,USER01261,58307,17,reverse
AUC00146,ITEM01440,2024-12-26 20:35:00,2024-12-31 20:35:00,closed,USER02681,14572,8,sealed
AUC00147,ITEM01958,2022-06-03 14:47:00,2022-06-06 14:47:00,closed,USER02564,56623,46,standard
AUC00148,ITEM01220,2022-05-28 08:47:00,2022-05-31 08:47:00,closed,USER02672,21285,12,reverse
AUC00149,ITEM01663,2024-03-15 00:18:00,2024-03-22 00:18:00,closed,USER02240,41513,40,sealed
AUC00150,ITEM00575,2025-05-01 11:04:00,2025-05-05 11:04:00,closed,USER02399,86496,13,standard
AUC00151,ITEM00829,2022-12-24 22:31:00,2022-12-31 22:31:00,active,,0,45,sealed
AUC00152,ITEM01568,2023-11-13 22:21:00,2023-11-20 22:21:00,active,,0,14,standard
AUC00153,ITEM00442,2025-07-27 02:46:00,2025-08-01 02:46:00,closed,USER01207,20685,4,standard
AUC00154,ITEM00397,2024-04-13 00:11:00,2024-04-14 00:11:00,closed,USER00895,88679,34,reverse
AUC00155,ITEM01369,2025-05-13 21:52:00,2025-05-20 21:52:00,active,,0,14,sealed
AUC00156,ITEM00751,2022-02-15 12:45:00,2022-02-24 12:45:00,active,,0,11,standard
AUC00157,ITEM00246,2024-08-25 23:50:00,2024-08-28 23:50:00,closed,USER00995,76438,32,reverse
AUC00158,ITEM00828,2024-07-27 04:56:00,2024-08-03 04:56:00,closed,USER01510,60526,5,sealed
AUC00159,ITEM00838,2022-09-01 17:26:00,2022-09-10 17:26:00,active,,0,18,standard
AUC00160,ITEM00798,2023-02-06 09:47:00,2023-02-13 09:47:00,active,,0,1,reverse
AUC00161,ITEM01133,2024-03-06 10:43:00,2024-03-08 10:43:00,closed,USER00778,20576,34,standard
AUC00162,ITEM01516,2023-01-01 23:29:00,2023-01-06 23:29:00,closed,USER01800,75620,14,standard
AUC00163,ITEM00825,2023-05-28 10:45:00,2023-06-03 10:45:00,closed,USER00282,23609,39,sealed
AUC00164,ITEM01536,2023-09-25 22:57:00,2023-10-02 22:57:00,closed,USER02616,17914,31,reverse
AUC00165,ITEM01023,2024-03-04 06:23:00,2024-03-05 06:23:00,active,,0,31,sealed
AUC00166,ITEM01534,2022-07-26 01:33:00,2022-08-03 01:33:00,closed,USER02984,98387,50,standard
AUC00167,ITEM00228,2022-09-25 12:05:00,2022-09-27 12:05:00,closed,USER02799,47627,30,standard
AUC00168,ITEM00911,2022-05-20 23:07:00,2022-05-21 23:07:00,active,,0,7,standard
AUC00169,ITEM00542,2023-05-15 02:26:00,2023-05-18 02:26:00,closed,USER02654,8929,1,standard
AUC00170,ITEM01505,2023-03-26 05:56:00,2023-03-29 05:56:00,active,,0,18,sealed
AUC00171,ITEM01692,2023-01-18 09:52:00,2023-01-25 09:52:00,closed,USER00110,44327,39,sealed
AUC00172,ITEM01828,2022-11-14 03:09:00,2022-11-16 03:09:00,cancelled,,0,50,reverse
AUC00173,ITEM00885,2025-02-12 09:35:00,2025-02-17 09:35:00,closed,USER02177,54190,16,reverse
AUC00174,ITEM00921,2023-11-16 21:31:00,2023-11-22 21:31:00,closed,USER02392,72492,46,standard
AUC00175,ITEM00894,2023-01-14 03:47:00,2023-01-20 03:47:00,active,,0,47,sealed
AUC00176,ITEM00662,2024-01-27 05:41:00,2024-01-28 05:41:00,closed,USER02005,62753,36,standard
AUC00177,ITEM01207,2022-09-09 12:27:00,2022-09-12 12:27:00,closed,USER01546,13707,24,standard
AUC00178,ITEM00545,2024-01-11 12:50:00,2024-01-20 12:50:00,active,,0,15,standard
AUC00179,ITEM01726,2024-09-19 21:35:00,2024-09-24 21:35:00,cancelled,,0,42,standard
AUC00180,ITEM01987,2025-01-24 23:31:00,2025-01-26 23:31:00,active,,0,29,sealed
AUC00181,ITEM00181,2025-03-25 21:30:00,2025-04-01 21:30:00,closed,USER00322,82855,4,reverse
AUC00182,ITEM01014,2025-01-28 10:15:00,2025-02-07 10:15:00,active,,0,39,standard
AUC00183,ITEM01205,2024-07-19 18:36:00,2024-07-22 18:36:00,closed,USER01300,89811,13,standard
AUC00184,ITEM00266,2024-12-22 23:48:00,2024-12-29 23:48:00,cancelled,,0,38,sealed
AUC00185,ITEM01395,2025-08-19 04:06:00,2025-08-25 04:06:00,cancelled,,0,37,sealed
AUC00186,ITEM00693,2024-10-19 09:30:00,2024-10-24 09:30:00,closed,USER00009,88295,22,sealed
AUC00187,ITEM00670,2023-09-10 22:36:00,2023-09-17 22:36:00,closed,USER02373,20088,18,sealed
AUC00188,ITEM00157,2025-11-24 04:49:00,2025-12-02 04:49:00,active,,0,10,sealed
AUC00189,ITEM00369,2024-12-31 02:55:00,2025-01-10 02:55:00,closed,,0,0,sealed
AUC00190,ITEM01511,2024-10-07 15:05:00,2024-10-12 15:05:00,closed,USER01806,72545,30,reverse
AUC00191,ITEM00885,2023-10-21 12:05:00,2023-10-22 12:05:00,closed,USER02602,95472,9,sealed
AUC00192,ITEM00829,2024-08-31 10:39:00,2024-09-02 10:39:00,closed,USER02321,2667,9,reverse
AUC00193,ITEM00023,2024-01-22 03:53:00,2024-01-27 03:53:00,closed,USER00172,79098,11,sealed
AUC00194,ITEM01927,2022-11-14 22:03:00,2022-11-16 22:03:00,closed,USER01758,21016,5,standard
AUC00195,ITEM00427,2024-06-03 06:03:00,2024-06-06 06:03:00,closed,USER02147,34744,14,reverse
AUC00196,ITEM00909,2024-02-24 09:32:00,2024-03-02 09:32:00,closed,USER00035,94337,35,sealed
AUC00197,ITEM01413,2025-12-05 10:09:00,2025-12-13 10:09:00,closed,USER01127,7006,38,standard
AUC00198,ITEM01881,2022-08-05 09:05:00,2022-08-06 09:05:00,closed,USER02996,81388,43,reverse
AUC00199,ITEM00248,2022-11-15 16:09:00,2022-11-25 16:09:00,cancelled,,0,39,sealed
AUC00200,ITEM00929,2024-09-19 21:37:00,2024-09-24 21:37:00,closed,USER02957,40201,29,standard
AUC00201,ITEM00490,2024-04-16 01:25:00,2024-04-22 01:25:00,closed,USER01930,24216,11,reverse
AUC00202,ITEM00655,2024-05-26 01:47:00,2024-05-27 01:47:00,closed,USER01350,99652,15,standard
AUC00203,ITEM01844,2022-07-08 05:51:00,2022-07-18 05:51:00,active,,0,23,standard
AUC00204,ITEM01690,2024-04-16 18:15:00,2024-04-17 18:15:00,cancelled,,0,40,standard
AUC00205,ITEM01852,2025-10-14 10:25:00,2025-10-17 10:25:00,active,,0,38,standard
AUC00206,ITEM00664,2022-11-30 06:24:00,2022-12-06 06:24:00,closed,USER02334,18466,40,sealed
AUC00207,ITEM01986,2022-09-10 00:37:00,2022-09-11 00:37:00,cancelled,,0,10,standard
AUC00208,ITEM01419,2022-07-29 08:36:00,2022-08-03 08:36:00,closed,USER00335,43908,6,standard
AUC00209,ITEM01553,2022-04-19 09:30:00,2022-04-21 09:30:00,cancelled,,0,29,reverse
AUC00210,ITEM00233,2023-08-31 12:16:00,2023-09-04 12:16:00,closed,USER02843,20269,12,standard
AUC00211,ITEM01975,2025-12-03 06:48:00,2025-12-12 06:48:00,active,,0,42,reverse
AUC00212,ITEM01309,2023-08-05 22:47:00,2023-08-10 22:47:00,active,,0,3,reverse
AUC00213,ITEM00499,2025-04-17 15:57:00,2025-04-23 15:57:00,closed,USER01065,26530,17,reverse
AUC00214,ITEM00863,2025-12-11 02:58:00,2025-12-21 02:58:00,active,,0,4,reverse
AUC00215,ITEM00308,2024-10-19 10:13:00,2024-10-29 10:13:00,active,,0,17,sealed
AUC00216,ITEM00618,2025-01-26 20:21:00,2025-01-31 20:21:00,cancelled,,0,4,reverse
AUC00217,ITEM00044,2023-06-26 22:29:00,2023-07-06 22:29:00,closed,USER01243,79069,10,sealed
AUC00218,ITEM01880,2025-04-09 18:14:00,2025-04-19 18:14:00,active,,0,37,sealed
AUC00219,ITEM01732,2022-01-04 16:48:00,2022-01-09 16:48:00,active,,0,47,sealed
AUC00220,ITEM00413,2022-02-09 14:45:00,2022-02-17 14:45:00,active,,0,19,standard
AUC00221,ITEM01341,2025-01-10 04:01:00,2025-01-16 04:01:00,cancelled,,0,36,standard
AUC00222,ITEM01640,2024-05-12 18:16:00,2024-05-16 18:16:00,closed,USER00949,73613,31,sealed
AUC00223,ITEM01550,2024-06-07 09:05:00,2024-06-11 09:05:00,active,,0,12,standard
AUC00224,ITEM00450,2022-01-02 20:42:00,2022-01-10 20:42:00,closed,USER00592,77307,10,standard
AUC00225,ITEM01575,2023-02-23 01:25:00,2023-03-04 01:25:00,closed,USER00545,55542,31,sealed
AUC00226,ITEM00888,2025-11-14 13:12:00,2025-11-17 13:12:00,cancelled,,0,32,standard
AUC00227,ITEM01959,2023-02-11 23:06:00,2023-02-14 23:06:00,active,,0,12,reverse
AUC00228,ITEM00067,2024-03-17 02:18:00,2024-03-23 02:18:00,active,,0,23,reverse
AUC00229,ITEM00305,2023-12-26 06:59:00,2024-01-02 06:59:00,closed,USER00330,47681,24,sealed
AUC00230,ITEM00855,2024-07-14 02:43:00,2024-07-20 02:43:00,closed,USER02123,5808,21,sealed
AUC00231,ITEM01445,2023-04-25 21:43:00,2023-04-28 21:43:00,closed,USER00593,41836,29,reverse
AUC00232,ITEM01668,2024-11-27 22:09:00,2024-11-29 22:09:00,closed,USER01543,26428,38,sealed
AUC00233,ITEM00888,2022-10-15 15:35:00,2022-10-19 15:35:00,active,,0,17,reverse
AUC00234,ITEM01623,2023-05-09 08:27:00,2023-05-19 08:27:00,closed,USER01349,40257,46,reverse
AUC00235,ITEM00357,2024-09-22 13:57:00,2024-09-23 13:57:00,active,,0,32,reverse
AUC00236,ITEM01717,2025-08-05 05:15:00,2025-08-11 05:15:00,closed,USER02217,99900,28,reverse
AUC00237,ITEM01186,2024-06-13 09:59:00,2024-06-15 09:59:00,closed,USER01590,94443,17,standard
AUC00238,ITEM00474,2022-12-23 02:03:00,2022-12-28 02:03:00,closed,USER00737,95986,45,sealed
AUC00239,ITEM00560,2025-10-10 01:55:00,2025-10-12 01:55:00,active,,0,17,reverse
AUC00240,ITEM00683,2024-02-07 01:35:00,2024-02-15 01:35:00,closed,USER00901,3562,46,reverse
AUC00241,ITEM01812,2023-03-19 23:36:00,2023-03-21 23:36:00,closed,USER00489,24379,29,reverse
AUC00242,ITEM00768,2022-12-07 09:00:00,2022-12-17 09:00:00,active,,0,28,standard
AUC00243,ITEM00906,2025-10-18 02:29:00,2025-10-20 02:29:00,active,,0,39,standard
AUC00244,ITEM01587,2023-01-18 18:03:00,2023-01-27 18:03:00,active,,0,28,sealed
AUC00245,ITEM01389,2024-12-31 17:02:00,2025-01-09 17:02:00,active,,0,1,sealed
AUC00246,ITEM00789,2022-09-24 17:19:00,2022-09-30 17:19:00,closed,USER01325,53181,28,sealed
AUC00247,ITEM00697,2025-10-02 15:57:00,2025-10-10 15:57:00,active,,0,45,reverse
AUC00248,ITEM01484,2025-11-29 04:17:00,2025-11-30 04:17:00,active,,0,43,standard
AUC00249,ITEM00088,2023-09-07 08:41:00,2023-09-09 08:41:00,active,,0,15,sealed
AUC00250,ITEM01405,2023-04-20 05:34:00,2023-04-29 05:34:00,active,,0,23,reverse
AUC00251,ITEM01253,2025-05-17 18:55:00,2025-05-19 18:55:00,closed,USER01418,59264,39,reverse
AUC00252,ITEM00563,2024-08-22 16:28:00,2024-08-23 16:28:00,closed,USER01624,37623,46,reverse
AUC00253,ITEM00362,2022-08-11 14:49:00,2022-08-14 14:49:00,active,,0,38,standard
AUC00254,ITEM00385,2023-12-26 02:51:00,2024-01-02 02:51:00,active,,0,43,sealed
AUC00255,ITEM01644,2022-03-16 16:07:00,2022-03-25 16:07:00,active,,0,4,standard
AUC00256,ITEM01249,2022-02-24 23:18:00,2022-03-06 23:18:00,closed,USER02192,52647,20,reverse
AUC00257,ITEM01660,2023-12-19 06:24:00,2023-12-21 06:24:00,closed,USER02977,40274,18,reverse
AUC00258,ITEM00928,2023-03-08 06:08:00,2023-03-09 06:08:00,closed,USER00188,37606,7,sealed
AUC00259,ITEM01121,2024-11-10 02:27:00,2024-11-19 02:27:00,active,,0,8,reverse
AUC00260,ITEM01834,2023-11-24 18:37:00,2023-11-28 18:37:00,closed,USER02235,71370,40,sealed
