Payment_ID,Ride_ID,Customer_ID,Payment_Method,Fare_Amount,Surge_Amount,Discount_Amount,Tax_Amount,Total_Amount,Payment_Status,Payment_Time
108,4376,4872,UPI,254.8,0.0,0.0,12.74,267.54,Paid,2025-12-29 13:31:20.153415
109,2821,104,Wallet,125.95,0.0,0.0,6.3,132.25,Paid,2025-11-08 05:14:35.970323
110,3046,310,UPI,313.01,0.0,0.0,15.65,328.66,Paid,2025-12-30 11:35:07.187288
111,3774,2836,Cash,158.53,0.0,0.0,7.93,166.46,Paid,2025-10-19 07:08:59.620902
112,1479,800,Wallet,479.85,220.16,0.0,35.0,735.01,Paid,2026-02-14 03:30:49.030011
113,2688,3440,UPI,310.58,0.0,42.34,13.41,0.0,Failed,2025-11-02 20:10:18.508466
114,3659,2449,UPI,85.92,0.0,0.0,4.3,90.22,Paid,2026-02-01 00:19:41.745242
115,3561,2808,UPI,153.03,0.0,0.0,7.65,160.68,Refunded,2026-01-23 07:28:39.979240
116,2127,3211,Card,428.57,0.0,0.0,21.43,450.0,Paid,2026-03-29 22:45:06.818034
117,312,3472,UPI,422.04,0.0,59.05,18.15,381.14,Paid,2025-11-22 07:07:29.569174
118,2698,4023,Card,218.45,0.0,0.0,10.92,229.37,Paid,2025-10-12 20:09:58.771051
119,3394,2749,Cash,272.52,109.73,0.0,19.11,401.36,Paid,2026-03-13 06:43:56.671540
120,4470,1801,Cash,255.51,0.0,0.0,12.78,268.29,Refunded,2025-12-17 21:30:44.248171
121,4900,3621,UPI,221.23,0.0,0.0,11.06,232.29,Paid,2026-02-25 20:14:26.247321
122,2980,1036,UPI,66.72,9.94,7.3,3.47,72.83,Paid,2026-01-22 21:47:42.491604
123,4158,1515,Wallet,262.43,0.0,0.0,13.12,275.55,Paid,2026-03-14 01:23:51.792422
124,4175,3315,UPI,300.2,0.0,0.0,15.01,315.21,Paid,2025-12-20 07:55:40.573233
125,4104,1339,UPI,310.33,0.0,0.0,15.52,325.85,Paid,2025-12-22 16:46:14.460015
126,2937,2836,UPI,282.62,0.0,0.0,14.13,296.75,Paid,2025-10-09 14:02:21.403784
127,4540,3890,UPI,330.1,0.0,0.0,16.51,346.61,Paid,2026-02-22 04:29:09.215982
128,1266,2743,UPI,393.79,0.0,0.0,19.69,413.48,Paid,2025-12-14 03:36:37.308722
129,4279,768,Wallet,113.33,0.0,11.68,5.08,106.73,Paid,2025-10-18 23:44:52.731485
130,4029,4828,Card,451.52,0.0,0.0,22.58,474.1,Paid,2026-01-12 11:02:55.222253
131,3243,4924,Cash,490.52,0.0,30.03,23.02,483.51,Refunded,2026-01-12 20:33:45.591162
132,378,4034,Card,317.96,0.0,24.72,14.66,307.9,Paid,2026-01-20 04:13:41.076984
133,3098,2321,Wallet,480.17,0.0,0.0,24.01,504.18,Paid,2026-03-30 03:27:29.713097
134,3554,858,UPI,316.55,0.0,0.0,15.83,332.38,Paid,2026-03-25 07:33:56.171651
135,3831,4044,Wallet,79.22,0.0,0.0,3.96,83.18,Paid,2026-01-19 12:22:53.295150
136,2752,2198,UPI,234.76,0.0,0.0,11.74,246.5,Paid,2025-10-26 02:41:56.082146
137,47,697,Card,185.58,50.04,34.44,10.06,211.24,Paid,2025-10-29 07:06:27.122073
138,3706,753,UPI,199.39,0.0,0.0,9.97,209.36,Paid,2025-11-22 16:59:47.778757
139,4541,4795,Card,182.51,0.0,0.0,9.13,191.64,Paid,2026-01-15 21:12:28.204283
140,947,3047,UPI,484.21,0.0,74.32,20.49,430.38,Paid,2026-04-01 21:40:28.390596
141,4883,1582,UPI,160.34,36.36,0.0,9.84,206.54,Paid,2026-02-06 13:05:22.349381
142,1213,4372,UPI,450.72,0.0,0.0,22.54,473.26,Paid,2026-02-25 02:29:36.705524
143,2959,1269,UPI,144.0,34.18,0.0,8.91,187.09,Paid,2025-11-16 10:30:15.951458
144,1842,63,Wallet,245.47,0.0,0.0,12.27,257.74,Paid,2026-01-19 23:00:37.136016
145,3132,2581,UPI,125.82,0.0,20.45,5.27,110.64,Paid,2026-01-18 01:27:24.458630
146,4453,2709,UPI,380.02,0.0,0.0,19.0,399.02,Paid,2026-02-19 23:34:12.486613
147,3549,3203,UPI,129.85,0.0,27.35,5.12,107.62,Paid,2026-01-03 07:25:34.618323
148,748,2824,Wallet,230.58,0.0,0.0,11.53,242.11,Paid,2025-11-07 15:03:46.290635
149,3779,2599,Wallet,398.49,0.0,0.0,19.92,418.41,Paid,2025-11-27 03:24:56.514872
150,2365,1295,UPI,91.28,14.06,8.83,4.83,101.34,Paid,2026-03-07 23:27:40.030644
151,2957,1785,Card,124.51,0.0,34.44,4.5,94.57,Paid,2026-02-12 10:31:34.586759
152,672,1126,UPI,300.51,0.0,56.78,12.19,0.0,Failed,2026-01-15 22:06:51.064059
153,2399,4242,Wallet,248.02,85.11,22.19,15.55,326.49,Paid,2025-10-20 06:17:39.982838
154,2243,648,UPI,454.52,0.0,0.0,22.73,477.25,Paid,2025-12-16 00:01:13.994538
155,2691,1659,Card,480.04,0.0,0.0,24.0,504.04,Paid,2026-02-02 06:21:03.286929
156,4557,140,UPI,148.28,0.0,0.0,7.41,155.69,Paid,2026-03-27 03:15:23.511003
157,1654,723,Card,131.99,29.36,11.39,7.5,0.0,Failed,2025-12-25 07:27:08.188815
158,2024,3629,Card,160.32,0.0,0.0,8.02,168.34,Refunded,2026-02-25 19:19:04.631285
159,2590,4955,UPI,71.51,0.0,4.67,3.34,70.18,Paid,2025-12-10 19:45:42.486553
160,3803,2795,UPI,108.24,0.0,16.82,4.57,95.99,Paid,2025-12-15 17:00:31.690609
161,2933,102,UPI,340.99,70.85,0.0,20.59,432.43,Paid,2026-04-04 20:11:33.285200
162,61,3232,UPI,469.6,185.52,0.0,32.76,687.88,Refunded,2026-03-10 00:18:36.673277
163,875,2730,UPI,81.04,0.0,6.41,3.73,78.36,Paid,2025-10-05 19:47:58.271761
164,3510,2809,UPI,211.82,81.02,0.0,14.64,307.48,Paid,2026-04-02 09:00:42.512681
165,4594,4974,Wallet,453.95,0.0,0.0,22.7,476.65,Paid,2026-01-10 21:26:47.005206
166,4435,1800,Cash,304.39,0.0,0.0,15.22,319.61,Paid,2026-01-28 21:10:31.127920
167,4467,2580,Cash,190.69,56.16,0.0,12.34,259.19,Paid,2025-10-18 04:14:46.457446
168,4954,618,UPI,447.59,82.89,0.0,26.52,557.0,Paid,2025-11-11 23:55:05.807603
169,622,1929,Cash,432.22,141.98,0.0,28.71,602.91,Paid,2025-12-03 05:17:27.256894
170,531,2273,UPI,331.92,0.0,0.0,16.6,348.52,Paid,2025-11-29 13:24:04.705757
171,3521,4798,UPI,315.42,0.0,0.0,15.77,331.19,Paid,2026-03-28 01:32:43.172602
172,1406,628,UPI,455.56,0.0,0.0,22.78,478.34,Paid,2026-03-12 00:41:52.669379
173,1844,4373,UPI,261.45,0.0,0.0,13.07,274.52,Paid,2025-12-29 06:45:25.995197
174,1614,3486,Card,328.44,149.6,19.0,22.95,481.99,Paid,2026-02-07 08:30:46.684184
175,915,4890,Cash,229.54,0.0,0.0,11.48,241.02,Paid,2026-01-09 05:15:28.545557
176,4912,4303,UPI,411.74,0.0,0.0,20.59,432.33,Paid,2026-03-02 10:26:35.485690
177,2696,687,UPI,314.34,0.0,0.0,15.72,330.06,Paid,2025-10-07 05:07:55.745781
178,1114,3788,Cash,223.13,0.0,0.0,11.16,234.29,Paid,2026-03-27 14:42:45.872907
179,644,794,Card,130.62,0.0,0.0,6.53,0.0,Failed,2026-03-17 00:16:08.068977
180,4578,1653,Wallet,331.25,0.0,48.15,14.16,297.26,Paid,2026-03-12 04:00:23.680076
181,940,1993,UPI,448.59,0.0,112.08,16.83,353.34,Paid,2026-03-04 02:35:43.135992
182,3083,2672,UPI,331.46,118.24,0.0,22.48,472.18,Paid,2026-02-14 06:58:52.399599
183,3522,877,Wallet,443.33,0.0,81.49,18.09,379.93,Paid,2026-01-05 20:57:21.124111
184,1591,439,UPI,418.43,0.0,0.0,20.92,439.35,Paid,2025-12-31 00:53:31.293234
185,1751,1936,Cash,333.32,0.0,19.5,15.69,329.51,Paid,2025-12-12 11:04:30.861857
186,2629,205,UPI,183.89,0.0,22.57,8.07,0.0,Failed,2025-10-15 18:38:26.048540
187,3283,381,UPI,262.85,56.11,58.48,13.02,0.0,Failed,2026-01-13 05:55:33.250239
188,267,3357,UPI,111.27,33.4,0.0,7.23,0.0,Failed,2026-02-04 08:29:32.477594
189,554,1768,UPI,324.52,149.32,0.0,23.69,497.53,Paid,2026-03-10 01:51:14.935344
190,3867,4833,UPI,201.71,0.0,0.0,10.09,211.8,Paid,2025-12-14 09:53:57.990112
191,161,3277,Cash,387.48,0.0,76.03,15.57,327.02,Paid,2026-03-09 03:42:33.965811
192,367,3113,Cash,143.6,0.0,0.0,7.18,150.78,Paid,2025-11-04 15:40:58.668022
193,3939,2784,UPI,455.21,167.37,51.08,28.57,600.07,Paid,2026-03-18 18:38:12.126844
194,3831,348,Card,246.37,52.75,57.31,12.09,253.9,Refunded,2026-02-13 06:19:54.589145
195,2227,4460,Cash,85.66,11.04,0.0,4.83,101.53,Paid,2026-01-12 16:32:46.732234
196,3784,4261,UPI,416.16,0.0,0.0,20.81,436.97,Paid,2025-10-06 11:48:51.758006
197,697,4630,Wallet,227.63,39.73,0.0,13.37,280.73,Paid,2026-02-28 01:52:42.766242
198,3470,2346,Cash,168.2,0.0,0.0,8.41,176.61,Paid,2026-04-01 21:11:15.731425
199,241,3364,Card,343.37,166.77,74.84,21.77,457.07,Paid,2026-03-12 07:21:38.678974
200,3011,2415,Card,423.4,0.0,45.69,18.89,396.6,Paid,2025-12-22 08:02:35.133143
201,3926,3779,Card,261.46,0.0,0.0,13.07,274.53,Paid,2025-12-02 19:20:49.610928
202,370,2002,UPI,289.06,106.44,0.0,19.78,415.28,Paid,2025-11-02 22:09:36.295706
203,2083,1765,Wallet,376.81,0.0,0.0,18.84,395.65,Paid,2026-01-15 21:38:50.838499
204,1416,2592,Card,486.63,0.0,27.88,22.94,481.69,Paid,2026-04-03 13:26:12.097912
205,3183,315,Card,252.07,0.0,37.13,10.75,225.69,Refunded,2026-03-27 18:07:45.553189
206,1078,611,Wallet,261.47,0.0,0.0,13.07,274.54,Paid,2026-02-08 00:37:34.024547
207,3241,3418,UPI,339.16,0.0,0.0,16.96,356.12,Paid,2026-01-28 05:11:37.908126
208,3173,91,Card,423.05,0.0,0.0,21.15,444.2,Paid,2025-12-12 11:30:24.049283
209,1535,1899,UPI,312.71,0.0,0.0,15.64,328.35,Paid,2026-03-25 17:38:37.620795
210,1477,3048,Card,499.56,93.91,61.09,26.62,559.0,Paid,2025-11-20 07:03:53.438625
211,3415,4291,Cash,313.22,0.0,0.0,15.66,328.88,Paid,2025-11-21 03:49:55.256330
212,3444,101,Wallet,319.66,0.0,0.0,15.98,335.64,Paid,2026-02-27 14:27:59.884526
213,3698,234,Cash,102.52,0.0,0.0,5.13,107.65,Paid,2025-10-30 21:34:08.369852
214,131,4110,UPI,65.23,15.81,0.0,4.05,85.09,Paid,2025-10-14 01:25:55.534770
215,476,1131,UPI,66.53,0.0,0.0,3.33,69.86,Paid,2026-01-25 22:57:40.610064
216,2059,4355,Card,442.34,0.0,0.0,22.12,0.0,Failed,2026-02-22 01:16:38.981074
217,2707,2203,UPI,469.58,55.18,0.0,26.24,551.0,Paid,2026-01-16 15:25:51.394997
218,2421,1673,Cash,453.1,0.0,32.3,21.04,441.84,Paid,2026-03-15 05:45:42.699493
219,1612,2906,UPI,254.51,0.0,0.0,12.73,267.24,Paid,2025-11-19 19:28:38.769813
220,4025,3902,Cash,173.95,0.0,0.0,8.7,182.65,Paid,2025-12-13 22:50:34.412636
221,2333,653,UPI,395.84,0.0,0.0,19.79,415.63,Paid,2025-12-06 11:53:03.024033
222,953,3880,Wallet,135.93,0.0,0.0,6.8,142.73,Paid,2026-02-24 10:12:42.713171
223,4321,571,Wallet,350.93,0.0,0.0,17.55,368.48,Paid,2026-01-17 10:01:20.244722
224,76,2008,UPI,466.74,0.0,41.53,21.26,446.47,Paid,2025-12-17 03:42:58.065190
225,2042,4086,Card,165.95,82.49,0.0,12.42,260.86,Paid,2026-01-09 07:10:47.568036
226,802,4810,UPI,239.68,0.0,0.0,11.98,251.66,Paid,2026-02-28 02:00:31.083913
227,4236,3593,UPI,461.68,0.0,0.0,23.08,484.76,Paid,2026-03-25 02:47:30.670648
228,1019,2431,UPI,203.95,0.0,0.0,10.2,214.15,Paid,2025-11-18 01:44:33.562128
229,1213,2862,UPI,145.92,0.0,28.94,5.85,122.83,Paid,2025-11-06 21:50:15.415207
230,4798,3509,UPI,113.86,0.0,22.43,4.57,96.0,Paid,2025-12-17 03:20:12.417355
231,4996,4512,UPI,119.45,0.0,20.48,4.95,103.92,Paid,2026-03-26 14:31:20.578196
232,3978,760,Card,321.16,101.58,0.0,21.14,443.88,Paid,2026-01-23 23:42:33.188664
233,3998,4270,UPI,493.1,0.0,0.0,24.66,517.76,Paid,2025-11-10 05:34:06.917289
234,4987,193,UPI,330.64,0.0,0.0,16.53,347.17,Refunded,2026-01-05 08:18:47.299204
235,1879,3167,Card,224.73,0.0,0.0,11.24,235.97,Paid,2026-01-27 16:34:14.360044
236,3861,257,Card,100.94,0.0,29.4,3.58,75.12,Paid,2026-03-23 03:35:43.722147
237,4672,3579,UPI,194.05,0.0,0.0,9.7,203.75,Paid,2026-01-12 13:23:17.773412
238,451,4699,Cash,149.02,0.0,0.0,7.45,156.47,Paid,2026-03-03 10:40:25.303627
239,899,3929,UPI,480.33,0.0,0.0,24.02,504.35,Paid,2026-03-14 17:49:15.549392
240,4154,4846,Card,345.46,0.0,0.0,17.27,362.73,Paid,2025-12-24 10:29:30.966703
241,479,2621,Cash,145.68,0.0,0.0,7.28,152.96,Paid,2025-11-17 14:51:17.817341
242,717,67,Card,381.55,0.0,0.0,19.08,400.63,Refunded,2026-02-12 12:21:11.754289
243,1651,2987,UPI,101.74,42.46,0.0,7.21,151.41,Paid,2025-10-14 14:21:49.672872
244,3497,1009,UPI,495.46,0.0,0.0,24.77,520.23,Paid,2026-02-06 18:21:45.771051
245,2926,58,Card,370.35,0.0,68.8,15.08,316.63,Paid,2026-03-07 23:50:55.889209
246,1543,4714,Wallet,127.82,0.0,15.03,5.64,118.43,Paid,2026-02-15 19:57:33.623845
247,501,2453,UPI,358.15,0.0,0.0,17.91,376.06,Paid,2026-03-26 14:07:45.398900
248,2942,832,Cash,389.47,0.0,0.0,19.47,408.94,Refunded,2025-10-07 03:59:25.444195
249,4967,636,UPI,127.47,0.0,0.0,6.37,133.84,Paid,2026-01-11 04:18:01.875737
250,3071,2615,UPI,237.56,65.36,0.0,15.15,318.07,Refunded,2025-11-14 02:46:54.137909
251,2761,1778,Wallet,154.98,22.51,0.0,8.87,186.36,Paid,2025-11-02 20:05:20.113374
252,18,3671,Cash,159.15,0.0,0.0,7.96,167.11,Paid,2025-10-11 05:45:26.077031
253,1827,3345,Cash,399.26,0.0,0.0,19.96,419.22,Paid,2026-04-05 03:54:18.616277
254,1898,2373,UPI,267.18,0.0,0.0,13.36,280.54,Paid,2025-11-29 05:56:08.689235
255,405,4473,Card,464.82,0.0,0.0,23.24,488.06,Paid,2025-10-20 12:09:35.988791
256,4358,2999,UPI,279.01,0.0,0.0,13.95,292.96,Refunded,2025-12-13 00:44:18.703088
257,2405,1250,Cash,494.08,0.0,0.0,24.7,518.78,Paid,2026-02-14 17:00:23.819222
258,4196,1646,UPI,249.6,0.0,32.09,10.88,228.39,Paid,2026-03-21 17:22:14.569576
259,4703,4786,Wallet,493.68,0.0,0.0,24.68,518.36,Paid,2026-02-02 04:53:11.182821
260,941,2337,UPI,252.94,0.0,0.0,12.65,265.59,Paid,2025-11-23 07:42:46.089597
261,838,939,Cash,62.7,9.41,0.0,3.61,75.72,Paid,2025-10-09 08:34:56.602205
262,4904,2514,UPI,343.07,0.0,0.0,17.15,360.22,Paid,2026-01-06 22:52:18.143557
263,1302,880,Cash,226.56,0.0,0.0,11.33,237.89,Paid,2026-02-27 15:01:25.847895
264,774,1823,Wallet,235.69,0.0,0.0,11.78,247.47,Paid,2026-02-09 23:49:37.879569
265,854,4816,Cash,438.65,0.0,0.0,21.93,460.58,Paid,2026-01-25 14:50:48.301977
266,1051,3817,Wallet,85.78,0.0,0.0,4.29,0.0,Failed,2025-11-28 00:15:26.451962
267,32,4706,Cash,470.48,0.0,102.5,18.4,386.38,Paid,2025-11-21 03:48:54.698250
268,2943,2129,Cash,311.6,0.0,70.63,12.05,0.0,Failed,2026-02-11 13:38:26.865997
