Payment_ID,Order_ID,Payment_Date,Payment_Method,Payment_Status,Amount_Paid
341,341,2025-12-16,UPI,Paid,850
342,342,2025-07-11,Cash,Paid,442
343,343,2025-09-02,Cash,Paid,162
344,344,2026-03-08,UPI,Paid,753
345,345,2025-11-14,Cash,Paid,953
346,346,2026-02-07,UPI,Paid,502
347,347,2025-06-29,UPI,Paid,850
348,348,2025-10-04,UPI,Paid,204
349,349,2025-12-05,UPI,Paid,588
350,350,2026-01-29,UPI,Paid,628
351,351,2025-04-11,Cash,Paid,507
352,352,2025-10-12,UPI,Paid,1152
353,353,2025-10-06,Card,Paid,246
354,354,2025-08-27,Card,Paid,188
355,355,2025-06-29,Cash,Paid,1082
356,356,2025-04-17,UPI,Paid,1010
357,357,2025-06-20,UPI,Pending,448
358,358,2025-07-22,Card,Paid,1122
359,359,2025-12-17,Cash,Paid,639
360,360,2026-02-09,Cash,Paid,134
361,361,2025-09-30,UPI,Paid,952
362,362,2026-01-30,UPI,Paid,419
363,363,2026-02-01,Card,Paid,174
364,364,2025-11-27,Card,Paid,892
365,365,2025-09-09,Cash,Paid,723
366,366,2026-02-02,UPI,Pending,220
367,367,2025-12-15,UPI,Paid,1045
368,368,2025-08-14,UPI,Paid,761
369,369,2025-09-25,Card,Paid,1197
370,370,2026-03-03,Cash,Paid,574
371,371,2026-01-26,Cash,Paid,877
372,372,2025-06-20,UPI,Pending,92
373,373,2025-06-14,Card,Paid,506
374,374,2025-05-30,UPI,Paid,661
375,375,2025-04-28,UPI,Paid,1045
376,376,2025-09-22,UPI,Failed,0
377,377,2025-07-11,UPI,Paid,719
378,378,2025-09-05,Card,Paid,690
379,379,2025-06-18,Cash,Paid,1102
380,380,2025-07-01,UPI,Paid,426
381,381,2025-10-02,Cash,Paid,930
382,382,2025-05-12,Cash,Paid,672
383,383,2025-07-21,UPI,Paid,452
384,384,2025-11-16,Card,Paid,259
385,385,2025-04-09,UPI,Paid,951
386,386,2025-10-17,Cash,Paid,1181
387,387,2025-05-10,Card,Paid,685
388,388,2025-06-05,Card,Paid,192
389,389,2025-07-25,UPI,Paid,1001
390,390,2026-02-02,Cash,Paid,405
391,391,2025-07-20,Card,Paid,362
392,392,2026-03-01,UPI,Paid,590
393,393,2026-03-07,UPI,Paid,714
394,394,2025-06-10,Card,Pending,125
395,395,2025-09-15,UPI,Paid,197
396,396,2025-10-16,UPI,Paid,1020
397,397,2025-06-23,UPI,Paid,809
398,398,2025-09-13,Card,Failed,0
399,399,2025-04-06,Cash,Failed,0
400,400,2025-12-13,UPI,Paid,868
401,401,2026-03-10,Card,Paid,318
402,402,2025-10-13,Card,Paid,707
403,403,2025-06-13,UPI,Pending,337
404,404,2025-07-25,Cash,Paid,625
405,405,2025-04-14,UPI,Pending,106
406,406,2025-10-24,Card,Paid,752
407,407,2025-11-27,UPI,Paid,1078
408,408,2025-06-26,Card,Paid,120
409,409,2025-11-11,Cash,Paid,1149
410,410,2025-07-29,Card,Paid,965
411,411,2025-08-07,Cash,Paid,909
412,412,2025-06-27,UPI,Paid,494
413,413,2025-04-27,UPI,Paid,745
414,414,2025-10-10,UPI,Paid,737
415,415,2025-09-13,UPI,Paid,1162
416,416,2026-03-15,UPI,Paid,223
417,417,2025-06-08,Cash,Paid,692
418,418,2025-09-17,Card,Paid,562
419,419,2026-02-23,UPI,Paid,387
420,420,2026-02-06,Cash,Paid,694
421,421,2025-11-11,UPI,Paid,366
422,422,2025-06-27,Cash,Paid,745
423,423,2025-10-19,Card,Paid,401
424,424,2025-11-08,UPI,Failed,0
425,425,2026-01-25,Card,Failed,0
426,426,2026-02-08,Cash,Pending,241
427,427,2025-06-20,UPI,Paid,1196
428,428,2025-11-19,UPI,Paid,275
429,429,2025-06-24,UPI,Paid,573
430,430,2025-05-16,UPI,Paid,264
431,431,2025-04-09,UPI,Paid,668
432,432,2026-01-26,Cash,Paid,626
433,433,2026-01-20,UPI,Paid,805
434,434,2025-10-12,UPI,Paid,953
435,435,2025-05-26,Cash,Paid,591
436,436,2025-06-02,Card,Paid,203
437,437,2025-04-10,UPI,Paid,119
438,438,2025-09-17,Card,Paid,574
439,439,2025-04-14,UPI,Paid,169
440,440,2025-04-19,Cash,Paid,490
441,441,2025-10-31,Card,Paid,736
442,442,2025-04-16,UPI,Paid,476
443,443,2025-12-19,UPI,Paid,107
444,444,2025-08-29,Card,Paid,134
445,445,2025-07-17,UPI,Paid,280
446,446,2025-06-12,UPI,Pending,212
447,447,2025-06-13,Cash,Paid,629
448,448,2026-03-16,UPI,Paid,187
449,449,2025-11-04,Card,Paid,954
450,450,2026-01-22,UPI,Failed,0
451,451,2025-11-07,Cash,Paid,290
452,452,2025-07-14,UPI,Paid,917
453,453,2025-10-13,Cash,Paid,1110
454,454,2025-11-28,Cash,Paid,506
455,455,2026-03-12,UPI,Paid,139
456,456,2026-04-04,Cash,Paid,626
457,457,2025-07-13,Card,Paid,251
458,458,2025-10-08,Card,Failed,0
459,459,2025-05-22,Card,Paid,1179
460,460,2025-05-29,Cash,Pending,438
461,461,2025-11-18,UPI,Pending,98
462,462,2025-12-30,UPI,Paid,113
463,463,2025-04-08,Cash,Paid,310
464,464,2025-09-06,UPI,Paid,373
465,465,2025-04-09,UPI,Paid,886
466,466,2025-10-04,UPI,Pending,446
467,467,2025-05-31,UPI,Paid,982
468,468,2025-08-23,UPI,Paid,741
469,469,2026-01-04,UPI,Pending,429
470,470,2025-05-23,Card,Failed,0
471,471,2025-04-12,Cash,Paid,486
472,472,2025-07-30,Card,Paid,869
473,473,2025-08-07,Card,Paid,102
474,474,2025-06-17,UPI,Paid,326
475,475,2026-02-14,Cash,Paid,774
476,476,2026-03-25,UPI,Paid,283
477,477,2026-01-15,Card,Paid,123
478,478,2025-05-10,Card,Paid,923
479,479,2026-02-26,UPI,Paid,1190
480,480,2025-10-15,UPI,Paid,624
481,481,2025-07-20,Card,Paid,288
482,482,2025-10-06,Card,Paid,563
483,483,2025-07-27,Card,Paid,760
484,484,2025-07-07,Card,Paid,1162
485,485,2025-12-26,Cash,Pending,433
486,486,2025-04-30,UPI,Paid,588
487,487,2025-12-14,UPI,Paid,1149
488,488,2025-05-25,UPI,Pending,224
489,489,2025-05-21,UPI,Paid,710
490,490,2025-10-20,UPI,Paid,332
491,491,2025-08-23,UPI,Paid,405
492,492,2025-07-25,Card,Paid,241
493,493,2025-10-31,Cash,Paid,600
494,494,2025-08-11,Cash,Pending,229
495,495,2025-10-03,Card,Paid,686
496,496,2025-08-13,Card,Paid,1140
497,497,2026-01-30,UPI,Paid,907
498,498,2025-06-22,Cash,Paid,109
499,499,2026-01-01,Card,Paid,365
500,500,2025-08-21,UPI,Paid,854
501,501,2025-10-02,UPI,Paid,1160
502,502,2026-03-25,UPI,Paid,1127
503,503,2025-10-25,UPI,Paid,511
504,504,2025-04-12,Card,Paid,468
505,505,2025-12-15,Card,Paid,969
506,506,2025-12-28,UPI,Paid,536
507,507,2025-08-10,UPI,Paid,446
508,508,2025-08-14,UPI,Paid,438
509,509,2025-08-15,Card,Paid,171
510,510,2026-01-17,Cash,Paid,390
511,511,2025-06-30,UPI,Paid,912
512,512,2025-09-26,UPI,Paid,853
513,513,2025-04-30,Card,Paid,736
514,514,2025-07-23,UPI,Paid,196
515,515,2026-03-05,Cash,Paid,1139
516,516,2025-07-30,UPI,Pending,271
517,517,2026-04-03,Card,Paid,465
518,518,2026-01-22,Cash,Paid,464
519,519,2025-08-27,UPI,Paid,181
520,520,2025-12-12,UPI,Paid,1131
521,521,2025-06-19,UPI,Pending,299
522,522,2025-12-28,UPI,Paid,685
523,523,2025-07-17,UPI,Paid,1076
524,524,2025-06-25,Cash,Paid,468
525,525,2025-07-05,Card,Paid,231
526,526,2026-04-04,Card,Paid,816
527,527,2025-06-27,Card,Paid,419
528,528,2025-05-29,Card,Paid,222
529,529,2025-07-26,UPI,Paid,119
530,530,2025-12-21,UPI,Paid,886
531,531,2025-09-08,UPI,Paid,725
532,532,2025-11-11,Card,Paid,722
533,533,2025-08-10,Card,Paid,1087
534,534,2026-02-19,UPI,Paid,986
535,535,2025-07-24,UPI,Paid,474
536,536,2025-04-18,UPI,Paid,1106
537,537,2025-10-16,UPI,Paid,260
538,538,2026-03-19,Cash,Paid,532
539,539,2025-04-05,Card,Paid,1113
540,540,2025-12-12,Cash,Paid,830
541,541,2025-09-16,UPI,Paid,440
542,542,2025-05-21,Cash,Paid,557
543,543,2025-04-11,UPI,Pending,421
544,544,2025-06-03,UPI,Paid,820
545,545,2025-04-26,UPI,Paid,1078
546,546,2025-07-09,Card,Paid,242
547,547,2025-12-01,UPI,Paid,811
548,548,2025-11-08,Cash,Paid,995
549,549,2026-02-28,Cash,Paid,642
550,550,2025-06-07,UPI,Paid,380
551,551,2025-06-07,UPI,Paid,918
552,552,2025-06-15,Cash,Paid,481
553,553,2025-06-02,UPI,Failed,0
554,554,2025-12-14,UPI,Paid,570
555,555,2025-10-19,Card,Failed,0
556,556,2025-10-08,Cash,Paid,166
557,557,2026-01-08,UPI,Paid,946
558,558,2026-01-09,Cash,Paid,962
559,559,2025-10-21,Card,Paid,1037
560,560,2026-01-18,Cash,Paid,430
561,561,2025-10-09,UPI,Paid,854
562,562,2026-03-31,Card,Failed,0
563,563,2025-09-26,UPI,Failed,0
564,564,2026-02-19,UPI,Paid,532
565,565,2025-05-17,UPI,Pending,282
566,566,2025-09-08,Card,Paid,883
567,567,2025-08-08,UPI,Failed,0
568,568,2026-02-06,UPI,Paid,251
569,569,2026-02-20,Card,Paid,278
570,570,2026-01-15,Card,Paid,1110
571,571,2025-08-06,Cash,Paid,826
572,572,2025-04-18,UPI,Paid,911
573,573,2025-10-28,Cash,Paid,170
574,574,2025-07-01,UPI,Pending,253
575,575,2025-07-13,UPI,Paid,1025
576,576,2026-02-28,Cash,Paid,1063
577,577,2025-11-23,Cash,Paid,121
578,578,2025-09-11,UPI,Paid,1189
579,579,2026-03-13,Cash,Paid,692
580,580,2025-08-09,Card,Paid,594
581,581,2025-09-12,Card,Paid,676
582,582,2025-07-13,Card,Paid,1069
583,583,2025-06-23,Cash,Paid,396
584,584,2026-02-01,Cash,Paid,437
585,585,2025-11-30,Card,Paid,329
586,586,2026-01-26,Cash,Paid,1026
587,587,2025-05-27,Card,Paid,1065
588,588,2025-10-24,Cash,Paid,658
589,589,2025-11-14,Card,Paid,140
590,590,2025-05-06,UPI,Paid,752
591,591,2025-11-06,Card,Paid,621
592,592,2025-09-15,UPI,Paid,310
593,593,2025-09-22,UPI,Paid,837
594,594,2025-12-02,Cash,Paid,778
595,595,2025-06-03,Card,Paid,737
596,596,2025-08-22,Cash,Paid,737
597,597,2025-12-07,Cash,Failed,0
598,598,2025-10-08,Cash,Paid,570
599,599,2025-04-25,UPI,Paid,625
600,600,2025-12-22,UPI,Paid,1043
601,601,2025-04-08,Cash,Paid,150
602,602,2025-06-22,UPI,Paid,276
603,603,2025-04-16,UPI,Paid,121
604,604,2025-07-30,Card,Paid,773
605,605,2025-12-24,Cash,Paid,520
606,606,2025-10-26,Card,Paid,488
607,607,2025-12-21,UPI,Paid,466
608,608,2025-07-11,Cash,Paid,396
609,609,2026-01-01,Card,Paid,843
610,610,2025-09-03,Cash,Paid,414
611,611,2025-11-02,Card,Paid,135
612,612,2025-07-08,UPI,Paid,872
613,613,2026-01-10,UPI,Pending,105
614,614,2025-07-12,Card,Paid,299
615,615,2025-06-19,UPI,Paid,1023
616,616,2025-04-18,UPI,Paid,257
617,617,2026-01-02,UPI,Paid,1174
618,618,2026-01-06,UPI,Paid,420
619,619,2025-12-20,Cash,Paid,953
620,620,2026-04-04,Cash,Paid,744
621,621,2025-04-06,Cash,Paid,931
622,622,2026-01-24,UPI,Paid,1154
623,623,2026-01-03,UPI,Paid,392
624,624,2026-01-15,UPI,Paid,1060
625,625,2025-10-22,UPI,Paid,953
626,626,2025-12-10,Cash,Paid,382
627,627,2026-04-02,UPI,Paid,261
628,628,2026-01-02,UPI,Paid,804
629,629,2025-08-25,UPI,Paid,959
630,630,2025-12-07,UPI,Paid,759
631,631,2025-07-13,Card,Paid,938
632,632,2025-10-02,UPI,Paid,1038
633,633,2025-09-01,UPI,Paid,387
634,634,2026-03-01,Card,Paid,1114
635,635,2025-07-28,UPI,Pending,140
636,636,2025-08-12,UPI,Paid,788
637,637,2025-10-29,UPI,Paid,660
638,638,2025-11-14,UPI,Pending,273
639,639,2025-09-08,UPI,Failed,0
640,640,2025-07-14,UPI,Paid,541
641,641,2026-04-01,Card,Paid,743
642,642,2025-05-27,Card,Paid,582
643,643,2025-09-10,Card,Paid,835
644,644,2025-08-28,Cash,Paid,151
645,645,2025-04-19,UPI,Paid,321
646,646,2026-01-08,Cash,Paid,740
647,647,2026-02-07,UPI,Paid,771
648,648,2025-05-13,UPI,Paid,699
649,649,2025-05-11,Card,Paid,1150
650,650,2026-02-23,UPI,Paid,140
651,651,2026-01-15,Cash,Paid,1019
652,652,2025-08-20,UPI,Paid,656
653,653,2025-12-22,UPI,Paid,311
654,654,2026-02-23,UPI,Paid,1179
655,655,2025-05-25,UPI,Paid,521
656,656,2025-12-24,UPI,Paid,190
657,657,2025-09-05,Card,Paid,636
658,658,2026-03-02,UPI,Paid,637
659,659,2025-09-19,UPI,Paid,655
660,660,2025-11-07,Cash,Paid,1075
661,661,2025-05-11,Cash,Pending,205
662,662,2025-07-25,Card,Paid,509
663,663,2025-04-17,UPI,Paid,702
664,664,2026-01-14,Card,Paid,1117
665,665,2026-03-15,Cash,Paid,537
666,666,2025-07-25,Card,Paid,394
