Order_ID,Customer_ID,Booking_ID,Order_Date,Order_Time,Order_Type,Table_Number,Order_Status,Total_Amount,Discount,Final_Amount
68,305,100.0,2025-07-08,21:45:00.746637,Takeaway,,Completed,1079,0.0,1079.0
69,2836,173.0,2025-09-03,15:15:00.860209,Takeaway,,Completed,835,0.0,835.0
70,3866,2396.0,2026-02-27,15:15:00.943123,Dine-in,19.0,Completed,804,0.0,804.0
71,2368,1269.0,2025-11-08,23:15:00.851076,Takeaway,,Pending,736,0.0,736.0
72,2501,,2026-02-19,21:45:00.509469,Takeaway,,Completed,503,0.0,503.0
73,449,1734.0,2025-08-01,16:30:00.819768,Takeaway,,Completed,342,0.0,342.0
74,4780,,2025-05-25,19:45:00.099401,Dine-in,12.0,Pending,215,34.68,180.32
75,504,3677.0,2026-01-11,19:00:00.563563,Dine-in,18.0,Cancelled,194,0.0,194.0
76,4863,1839.0,2025-09-17,19:45:00.300624,Dine-in,17.0,Completed,755,93.59,661.41
77,3599,,2025-06-28,21:15:00.186776,Dine-in,14.0,Cancelled,1028,0.0,1028.0
78,1931,2311.0,2025-06-19,11:45:00.642546,Dine-in,7.0,Cancelled,590,0.0,590.0
79,2928,,2025-05-01,17:15:00.488911,Takeaway,,Completed,348,0.0,348.0
80,36,1380.0,2025-10-23,12:15:00.086763,Takeaway,,Completed,333,0.0,333.0
81,1490,,2025-09-15,23:30:00.687361,Takeaway,,Completed,601,0.0,601.0
82,1007,1930.0,2025-10-12,22:30:00.698487,Takeaway,,Completed,207,0.0,207.0
83,731,,2025-12-16,14:00:00.797454,Dine-in,19.0,Completed,737,0.0,737.0
84,1699,3511.0,2025-06-05,22:15:00.517583,Dine-in,3.0,Completed,623,0.0,623.0
85,4708,,2026-01-13,20:45:00.678651,Dine-in,17.0,Completed,891,0.0,891.0
86,1205,127.0,2025-10-22,20:30:00.667735,Takeaway,,Completed,707,0.0,707.0
87,673,2062.0,2025-09-14,16:30:00.653087,Takeaway,,Completed,503,67.91,435.09
88,3565,,2026-02-27,20:30:00.752297,Dine-in,12.0,Completed,1077,189.14,887.86
89,1429,748.0,2025-12-18,18:00:00.726881,Takeaway,,Completed,505,0.0,505.0
90,1463,3435.0,2025-10-01,13:45:00.060463,Dine-in,4.0,Pending,773,0.0,773.0
91,4164,44.0,2025-10-20,12:30:00.975623,Takeaway,,Completed,200,16.77,183.23
92,4980,,2025-09-14,19:30:00.825662,Dine-in,13.0,Completed,453,0.0,453.0
93,2611,,2025-05-24,23:30:00.135244,Takeaway,,Completed,306,0.0,306.0
94,441,,2026-03-23,23:45:00.643673,Takeaway,,Completed,1004,144.04,859.96
95,172,2702.0,2025-10-09,09:45:00.096640,Dine-in,10.0,Completed,110,0.0,110.0
96,522,,2025-11-10,16:00:00.148656,Dine-in,6.0,Cancelled,175,0.0,175.0
97,3914,,2025-09-20,21:30:00.438983,Dine-in,8.0,Pending,294,0.0,294.0
98,371,4277.0,2025-10-27,23:15:00.710669,Takeaway,,Completed,923,160.05,762.95
99,1035,,2025-07-21,22:30:00.446273,Takeaway,,Completed,624,0.0,624.0
100,638,3615.0,2025-11-25,12:15:00.764088,Takeaway,,Completed,902,0.0,902.0
101,4963,2608.0,2025-04-30,23:30:00.148380,Dine-in,20.0,Completed,361,32.78,328.22
102,3758,3526.0,2025-08-02,19:15:00.609767,Takeaway,,Completed,852,44.35,807.65
103,1461,4777.0,2025-05-22,18:00:00.343052,Dine-in,19.0,Completed,944,0.0,944.0
104,1667,,2025-10-17,20:30:00.932057,Takeaway,,Pending,993,0.0,993.0
105,434,,2025-11-01,14:45:00.450690,Takeaway,,Completed,991,0.0,991.0
106,1222,36.0,2026-03-01,16:45:00.905163,Dine-in,13.0,Completed,1129,174.86,954.14
107,3713,854.0,2025-07-05,21:30:00.097518,Dine-in,2.0,Cancelled,509,0.0,509.0
108,716,889.0,2025-09-05,18:45:00.960586,Dine-in,19.0,Completed,740,0.0,740.0
109,973,4219.0,2025-11-12,18:30:00.747476,Takeaway,,Completed,523,82.0,441.0
110,4008,404.0,2025-12-26,16:30:00.866401,Dine-in,6.0,Cancelled,1104,0.0,1104.0
111,587,3933.0,2026-01-13,20:00:00.440645,Dine-in,5.0,Completed,134,24.63,109.37
112,1571,2491.0,2026-02-18,17:45:00.912838,Takeaway,,Completed,153,0.0,153.0
113,4667,,2025-11-02,10:30:00.354160,Dine-in,14.0,Completed,503,0.0,503.0
114,2577,,2025-11-29,12:00:00.545779,Dine-in,15.0,Completed,1036,0.0,1036.0
115,809,,2025-06-07,19:00:00.922093,Takeaway,,Completed,887,0.0,887.0
116,1423,4664.0,2025-12-26,16:00:00.868433,Takeaway,,Completed,462,34.97,427.03
117,4063,100.0,2026-04-02,09:00:00.469533,Dine-in,8.0,Completed,1143,0.0,1143.0
118,3578,,2026-01-10,09:45:00.568829,Takeaway,,Completed,930,165.41,764.59
119,3119,,2026-01-03,18:30:00.602385,Dine-in,8.0,Completed,366,0.0,366.0
120,2059,,2026-02-06,18:30:00.987468,Dine-in,12.0,Completed,365,0.0,365.0
121,427,3830.0,2025-04-20,12:15:00.302764,Dine-in,9.0,Completed,785,0.0,785.0
122,2149,4757.0,2025-04-04,09:15:00.833154,Dine-in,16.0,Cancelled,1178,0.0,1178.0
123,2302,,2025-05-23,21:00:00.966342,Takeaway,,Completed,262,0.0,262.0
124,667,,2026-01-04,17:15:00.193067,Takeaway,,Cancelled,881,157.35,723.65
125,3618,1167.0,2026-01-19,11:30:00.637230,Takeaway,,Completed,799,0.0,799.0
126,246,,2025-11-07,23:15:00.570496,Dine-in,15.0,Completed,559,0.0,559.0
127,1927,,2025-11-19,22:45:00.569254,Takeaway,,Completed,861,0.0,861.0
128,3014,4745.0,2025-11-07,14:00:00.640031,Takeaway,,Completed,497,42.19,454.81
129,2381,,2025-05-02,09:15:00.317337,Takeaway,,Completed,1133,0.0,1133.0
130,724,3439.0,2025-05-25,12:30:00.127096,Dine-in,13.0,Completed,727,144.68,582.32
131,1933,,2025-05-16,23:00:00.297467,Dine-in,8.0,Completed,430,0.0,430.0
132,859,,2026-03-28,10:45:00.976459,Dine-in,8.0,Completed,1034,186.74,847.26
133,1114,3954.0,2025-08-28,22:45:00.528129,Dine-in,18.0,Completed,1014,52.65,961.35
134,4168,1725.0,2025-07-17,15:45:00.792877,Dine-in,19.0,Cancelled,317,44.7,272.3
135,1383,,2025-08-16,20:15:00.319706,Dine-in,6.0,Completed,721,0.0,721.0
136,2656,,2025-10-19,21:30:00.729735,Dine-in,3.0,Completed,328,46.97,281.03
137,3852,,2025-04-29,13:30:00.954332,Dine-in,12.0,Completed,727,0.0,727.0
138,2428,126.0,2025-05-11,17:00:00.673411,Dine-in,20.0,Completed,523,0.0,523.0
139,2598,3460.0,2025-07-16,13:30:00.465691,Dine-in,14.0,Completed,1150,135.41,1014.59
140,3384,1582.0,2026-03-11,16:15:00.734656,Takeaway,,Cancelled,1162,0.0,1162.0
141,2473,,2025-09-30,19:00:00.808894,Dine-in,14.0,Cancelled,1117,182.59,934.41
142,958,,2025-11-22,17:45:00.960470,Dine-in,20.0,Completed,256,0.0,256.0
143,3043,6.0,2026-01-25,22:30:00.549137,Dine-in,17.0,Completed,672,108.75,563.25
144,832,,2025-05-15,10:15:00.586410,Dine-in,13.0,Completed,994,82.3,911.7
145,1328,,2025-06-19,22:30:00.563424,Takeaway,,Completed,715,0.0,715.0
146,3603,,2026-02-17,14:15:00.979478,Dine-in,1.0,Completed,653,0.0,653.0
147,340,,2026-02-27,19:00:00.598954,Dine-in,7.0,Completed,821,0.0,821.0
148,4694,,2025-04-07,09:15:00.100089,Takeaway,,Completed,262,0.0,262.0
149,4762,,2025-05-02,11:15:00.684872,Dine-in,4.0,Completed,584,0.0,584.0
150,3413,3607.0,2025-10-15,20:15:00.353339,Takeaway,,Cancelled,1090,207.81,882.19
151,3066,4378.0,2025-09-28,15:00:00.293813,Dine-in,17.0,Completed,102,0.0,102.0
152,1811,,2025-07-13,09:15:00.028885,Dine-in,5.0,Cancelled,589,0.0,589.0
153,2528,1655.0,2025-06-20,15:00:00.520226,Takeaway,,Completed,1196,158.91,1037.09
154,3940,2002.0,2025-05-18,22:15:00.169134,Dine-in,2.0,Pending,285,0.0,285.0
155,1523,4684.0,2026-03-28,09:30:00.019744,Takeaway,,Completed,351,0.0,351.0
156,2316,3586.0,2025-10-07,12:30:00.436906,Dine-in,19.0,Cancelled,505,0.0,505.0
157,1418,277.0,2026-01-06,18:45:00.110315,Dine-in,16.0,Completed,979,0.0,979.0
158,3384,,2025-05-07,11:15:00.837279,Dine-in,7.0,Completed,1119,0.0,1119.0
159,4202,4929.0,2025-11-24,21:00:00.476697,Takeaway,,Pending,181,0.0,181.0
160,595,4806.0,2026-01-27,20:30:00.998076,Takeaway,,Cancelled,555,0.0,555.0
161,2294,4430.0,2025-04-23,11:45:00.739512,Takeaway,,Cancelled,1178,180.3,997.7
162,4181,,2026-01-16,11:45:00.409468,Dine-in,11.0,Completed,258,35.22,222.78
163,3433,,2025-09-30,12:00:00.112826,Dine-in,18.0,Completed,457,0.0,457.0
164,2748,,2026-01-06,18:30:00.796344,Takeaway,,Completed,119,0.0,119.0
165,3475,547.0,2025-12-13,09:15:00.802262,Takeaway,,Completed,1186,0.0,1186.0
166,4761,51.0,2025-04-18,15:30:00.230466,Takeaway,,Completed,563,0.0,563.0
167,4493,1841.0,2025-12-13,15:00:00.599836,Dine-in,19.0,Pending,622,0.0,622.0
168,1706,,2025-11-15,10:15:00.061779,Dine-in,12.0,Completed,296,51.58,244.42
169,149,1050.0,2025-06-28,17:15:00.552088,Dine-in,4.0,Completed,920,0.0,920.0
170,1231,,2026-03-12,12:30:00.255687,Dine-in,1.0,Completed,969,0.0,969.0
171,2518,1975.0,2026-02-08,12:45:00.274569,Takeaway,,Completed,646,35.45,610.55
172,3479,3592.0,2025-04-22,17:00:00.422835,Dine-in,9.0,Pending,915,0.0,915.0
173,4233,1574.0,2026-03-24,18:30:00.201340,Takeaway,,Completed,168,23.23,144.77
174,3787,,2025-08-23,23:15:00.796234,Dine-in,20.0,Completed,1096,0.0,1096.0
175,1577,1775.0,2025-05-09,19:45:00.069551,Dine-in,16.0,Pending,525,0.0,525.0
176,202,,2025-10-12,19:00:00.679093,Dine-in,7.0,Completed,426,77.4,348.6
177,821,1227.0,2025-10-03,15:15:00.320612,Takeaway,,Completed,784,0.0,784.0
178,455,3419.0,2026-02-09,23:15:00.047977,Dine-in,8.0,Completed,1030,0.0,1030.0
179,166,,2025-05-17,21:30:00.786046,Takeaway,,Completed,609,0.0,609.0
180,3208,4163.0,2025-10-05,22:15:00.998630,Takeaway,,Pending,1094,122.21,971.79
181,3341,2960.0,2025-12-09,17:45:00.441668,Dine-in,17.0,Completed,169,9.76,159.24
182,2275,1957.0,2025-11-25,13:45:00.223038,Takeaway,,Completed,911,0.0,911.0
183,2956,,2025-07-20,11:00:00.594083,Dine-in,3.0,Completed,1006,51.97,954.03
184,1833,,2026-02-26,18:00:00.586083,Dine-in,4.0,Completed,371,0.0,371.0
185,277,,2025-05-07,13:30:00.411229,Takeaway,,Pending,645,0.0,645.0
186,1691,,2025-11-26,23:15:00.241337,Takeaway,,Completed,694,0.0,694.0
187,2188,4626.0,2025-10-28,16:00:00.162892,Takeaway,,Cancelled,166,13.85,152.15
188,397,,2026-01-26,21:45:00.249211,Dine-in,3.0,Pending,1031,0.0,1031.0
189,519,3043.0,2026-02-28,09:30:00.244781,Takeaway,,Cancelled,276,0.0,276.0
190,3975,1259.0,2025-06-19,18:15:00.044163,Dine-in,2.0,Pending,512,0.0,512.0
191,2505,4113.0,2026-02-09,17:45:00.585647,Takeaway,,Completed,637,0.0,637.0
192,4166,3754.0,2026-03-31,11:45:00.830779,Dine-in,1.0,Completed,861,98.95,762.05
193,785,254.0,2025-10-16,12:00:00.797847,Dine-in,9.0,Completed,126,22.0,104.0
194,2224,,2025-09-08,18:00:00.795498,Dine-in,5.0,Completed,529,0.0,529.0
195,1749,2355.0,2026-02-11,13:15:00.066091,Takeaway,,Pending,653,0.0,653.0
196,4139,,2026-01-10,16:30:00.356944,Dine-in,8.0,Completed,257,0.0,257.0
197,623,3315.0,2025-06-03,12:30:00.527495,Takeaway,,Completed,668,83.36,584.64
198,4410,2713.0,2025-10-25,12:15:00.761835,Takeaway,,Pending,174,0.0,174.0
199,4158,3606.0,2025-06-18,17:00:00.268512,Takeaway,,Completed,617,0.0,617.0
200,458,,2026-03-20,10:15:00.562688,Takeaway,,Completed,1193,0.0,1193.0
201,2284,3870.0,2025-08-18,17:30:00.039819,Dine-in,15.0,Completed,320,0.0,320.0
202,2004,996.0,2025-09-19,12:45:00.861727,Dine-in,16.0,Completed,103,13.38,89.62
203,4890,,2025-11-26,21:00:00.808664,Dine-in,10.0,Completed,208,0.0,208.0
204,3010,4430.0,2025-10-24,22:30:00.188196,Dine-in,6.0,Completed,293,0.0,293.0
205,4530,,2026-03-31,11:00:00.934238,Dine-in,16.0,Cancelled,265,0.0,265.0
206,188,947.0,2025-04-22,23:00:00.157687,Dine-in,18.0,Cancelled,810,51.13,758.87
207,4374,,2025-06-06,11:45:00.530461,Dine-in,11.0,Completed,490,0.0,490.0
208,3829,1657.0,2025-06-23,12:30:00.368185,Dine-in,8.0,Pending,536,0.0,536.0
209,4043,,2025-05-21,14:00:00.503856,Takeaway,,Pending,1136,0.0,1136.0
210,1943,1211.0,2026-02-09,11:30:00.149254,Takeaway,,Completed,556,0.0,556.0
211,1299,3057.0,2025-05-15,09:45:00.360964,Dine-in,8.0,Cancelled,541,55.37,485.63
212,1730,3639.0,2026-03-19,21:30:00.061543,Dine-in,3.0,Completed,442,0.0,442.0
213,500,3859.0,2025-08-29,18:15:00.558788,Dine-in,16.0,Completed,966,0.0,966.0
214,857,,2025-09-17,21:30:00.006709,Dine-in,18.0,Completed,644,0.0,644.0
215,2996,3351.0,2026-02-02,14:00:00.422334,Takeaway,,Completed,182,0.0,182.0
216,27,1688.0,2026-02-06,23:45:00.735387,Takeaway,,Pending,877,76.99,800.01
217,2999,1339.0,2025-05-06,11:15:00.553702,Dine-in,14.0,Completed,889,0.0,889.0
218,1315,1207.0,2025-10-15,10:30:00.046648,Dine-in,4.0,Completed,751,0.0,751.0
219,4627,,2025-10-24,20:00:00.667148,Dine-in,19.0,Completed,895,0.0,895.0
220,433,,2025-10-26,11:15:00.624312,Takeaway,,Pending,1002,75.94,926.06
221,2474,1291.0,2025-12-10,10:15:00.820210,Takeaway,,Cancelled,754,0.0,754.0
222,4570,,2025-04-08,11:30:00.798048,Takeaway,,Cancelled,926,0.0,926.0
223,3173,2016.0,2026-03-26,15:00:00.384908,Dine-in,12.0,Completed,572,0.0,572.0
224,2205,3443.0,2025-05-03,19:00:00.816079,Dine-in,15.0,Completed,817,0.0,817.0
225,3614,,2025-10-06,09:00:00.651135,Dine-in,16.0,Completed,895,0.0,895.0
226,2496,2661.0,2025-10-19,23:00:00.987331,Dine-in,17.0,Completed,135,0.0,135.0
227,3743,,2025-06-25,13:00:00.426567,Dine-in,5.0,Cancelled,724,0.0,724.0
228,2599,2305.0,2025-04-05,13:15:00.614181,Takeaway,,Completed,208,0.0,208.0
229,4909,1608.0,2025-10-18,15:15:00.719205,Takeaway,,Completed,274,16.2,257.8
230,355,4019.0,2025-12-30,16:45:00.662473,Takeaway,,Completed,355,0.0,355.0
231,3810,,2025-10-26,12:45:00.586842,Takeaway,,Completed,456,0.0,456.0
232,1949,,2026-01-01,19:30:00.681182,Dine-in,4.0,Completed,742,0.0,742.0
233,3650,,2025-04-08,20:45:00.347611,Takeaway,,Pending,518,27.35,490.65
234,3490,1165.0,2026-02-18,22:00:00.324104,Dine-in,4.0,Completed,772,0.0,772.0
235,680,,2025-04-22,17:00:00.948454,Dine-in,3.0,Completed,397,0.0,397.0
236,3479,2156.0,2026-03-28,14:15:00.299699,Dine-in,4.0,Pending,1043,0.0,1043.0
237,4277,,2025-06-29,16:45:00.909645,Takeaway,,Completed,1162,0.0,1162.0
238,1017,,2026-02-15,11:30:00.463314,Dine-in,16.0,Pending,154,10.67,143.33
239,1327,,2026-03-01,14:15:00.494962,Takeaway,,Completed,500,0.0,500.0
240,4364,1898.0,2026-03-19,09:30:00.401976,Takeaway,,Completed,268,0.0,268.0
241,1144,,2025-11-15,10:00:00.325681,Takeaway,,Pending,1161,0.0,1161.0
242,2117,2363.0,2025-11-04,20:00:00.452935,Dine-in,17.0,Completed,860,43.25,816.75
243,3875,,2026-02-28,15:00:00.673091,Takeaway,,Cancelled,552,0.0,552.0
244,4535,3820.0,2025-11-29,17:15:00.548667,Dine-in,9.0,Completed,890,0.0,890.0
245,3256,4180.0,2025-07-07,14:30:00.139765,Dine-in,9.0,Completed,1084,0.0,1084.0
246,1189,226.0,2025-11-02,18:45:00.047939,Dine-in,14.0,Cancelled,383,0.0,383.0
247,1200,,2025-08-16,17:30:00.992491,Takeaway,,Completed,261,14.33,246.67
248,890,2977.0,2025-11-17,09:45:00.454213,Takeaway,,Completed,530,0.0,530.0
249,2569,,2025-06-03,09:45:00.585887,Dine-in,8.0,Completed,851,74.29,776.71
250,2210,524.0,2025-08-11,20:15:00.583563,Takeaway,,Completed,590,0.0,590.0
251,1287,1911.0,2026-04-02,19:00:00.832843,Takeaway,,Completed,343,0.0,343.0
252,2732,,2025-05-04,15:15:00.720940,Takeaway,,Completed,736,0.0,736.0
253,4406,,2025-10-31,11:30:00.593027,Takeaway,,Pending,344,0.0,344.0
254,14,489.0,2025-05-10,15:45:00.622512,Dine-in,20.0,Completed,120,0.0,120.0
255,4376,,2025-07-01,10:00:00.469829,Takeaway,,Pending,229,0.0,229.0
256,2289,,2026-01-23,16:30:00.219395,Takeaway,,Completed,748,0.0,748.0
257,2663,,2026-01-26,21:30:00.402477,Dine-in,20.0,Pending,1009,74.62,934.38
258,2081,2055.0,2025-06-23,13:30:00.669758,Dine-in,8.0,Cancelled,510,0.0,510.0
259,3939,1236.0,2026-03-18,20:00:00.097165,Takeaway,,Completed,100,0.0,100.0
260,3764,2668.0,2025-05-22,22:30:00.623364,Takeaway,,Completed,279,0.0,279.0
261,3158,,2025-05-15,15:15:00.199572,Takeaway,,Completed,328,0.0,328.0
262,3448,1898.0,2025-07-04,14:15:00.759097,Dine-in,2.0,Completed,1096,83.63,1012.37
263,2142,,2025-09-03,22:00:00.147501,Dine-in,13.0,Completed,278,42.08,235.92
264,248,2943.0,2026-01-23,18:45:00.050942,Dine-in,14.0,Cancelled,505,0.0,505.0
265,4246,,2025-08-20,22:00:00.054858,Takeaway,,Pending,887,0.0,887.0
266,720,2845.0,2025-05-15,13:15:00.913939,Takeaway,,Completed,1058,0.0,1058.0
267,2205,3479.0,2025-09-03,21:00:00.787548,Takeaway,,Completed,1187,0.0,1187.0
268,1373,3521.0,2025-06-15,12:30:00.665749,Takeaway,,Completed,983,0.0,983.0
269,4091,4303.0,2025-12-05,09:15:00.720856,Dine-in,15.0,Cancelled,139,8.84,130.16
270,1319,4758.0,2025-10-05,09:00:00.092748,Dine-in,19.0,Completed,422,0.0,422.0
271,4584,,2025-10-30,12:30:00.628276,Dine-in,6.0,Cancelled,154,0.0,154.0
272,1797,1036.0,2025-12-29,09:30:00.047223,Dine-in,18.0,Completed,565,0.0,565.0
273,2727,,2025-12-17,13:00:00.332537,Dine-in,7.0,Completed,463,0.0,463.0
274,2219,2977.0,2025-04-10,16:45:00.318741,Takeaway,,Completed,1148,65.93,1082.07
275,267,1671.0,2025-08-25,14:45:00.766278,Takeaway,,Cancelled,434,0.0,434.0
276,4905,2412.0,2025-12-07,09:15:00.255938,Takeaway,,Completed,446,0.0,446.0
277,1020,,2026-04-04,17:15:00.260114,Takeaway,,Completed,570,87.65,482.35
278,4816,,2025-05-16,20:15:00.166152,Dine-in,10.0,Cancelled,225,0.0,225.0
279,4984,184.0,2025-05-18,14:30:00.114994,Takeaway,,Completed,417,0.0,417.0
280,3719,3490.0,2025-05-13,14:30:00.740781,Dine-in,9.0,Completed,750,0.0,750.0
281,992,3785.0,2026-02-18,18:00:00.806357,Dine-in,2.0,Completed,169,0.0,169.0
282,2619,2121.0,2026-01-15,09:00:00.270303,Takeaway,,Pending,457,0.0,457.0
283,4859,1117.0,2025-09-01,23:00:00.013004,Dine-in,16.0,Completed,324,60.82,263.18
284,69,,2025-05-30,19:00:00.652972,Takeaway,,Pending,115,20.83,94.17
285,115,4298.0,2026-02-24,23:00:00.111020,Dine-in,12.0,Completed,878,0.0,878.0
286,4099,1995.0,2025-08-26,11:45:00.152512,Takeaway,,Completed,104,0.0,104.0
287,3624,,2025-06-14,17:00:00.074945,Dine-in,10.0,Pending,1167,65.05,1101.95
288,4042,,2025-05-29,13:00:00.840695,Takeaway,,Completed,1009,0.0,1009.0
289,3118,,2026-03-26,14:45:00.388411,Dine-in,6.0,Pending,972,0.0,972.0
290,4339,,2025-10-23,09:30:00.376854,Takeaway,,Completed,1158,0.0,1158.0
291,3711,,2025-06-20,11:00:00.455523,Dine-in,2.0,Completed,380,0.0,380.0
292,3766,2214.0,2025-05-01,15:45:00.984229,Takeaway,,Completed,437,0.0,437.0
293,4337,2840.0,2025-06-26,20:00:00.290546,Dine-in,13.0,Completed,152,0.0,152.0
294,3897,3707.0,2025-08-23,15:00:00.087320,Dine-in,20.0,Completed,1039,0.0,1039.0
