Ride_ID,Booking_ID,Customer_ID,Driver_ID,Vehicle_ID,Pickup_Location,Drop_Location,Pickup_Latitude,Pickup_Longitude,Drop_Latitude,Drop_Longitude,Ride_Distance_km,Estimated_Duration_min,Actual_Duration_min,Ride_Status,Cancellation_Reason,Booking_Time,Pickup_Time,Drop_Time
51,32,129,456,511,"Borivali, Mumbai","Viman Nagar, Pune",21.12416,72.881318,21.210485,72.878279,15.17,47,48,Completed,,2026-03-16 23:42:07.495498,2026-03-16 23:47:07.495498,2026-03-17 00:35:07.495498
52,4335,394,702,404,"Viman Nagar, Pune","Katargam, Surat",21.112936,72.757542,21.181172,72.881759,10.27,23,18,Completed,,2025-11-18 11:50:05.001050,2025-11-18 12:04:05.001050,2025-11-18 12:22:05.001050
53,2178,4274,422,352,"Adajan, Surat","Electronic City, Bangalore",21.139439,72.788086,21.201217,72.796479,13.36,50,50,Cancelled,Driver cancelled,2026-03-08 02:08:29.491765,2026-03-08 02:16:29.491765,
54,815,3180,310,513,"Bopal, Ahmedabad","Maninagar, Ahmedabad",21.120937,72.790839,21.101392,72.803104,7.37,16,19,Completed,,2026-02-10 08:05:40.956985,2026-02-10 08:18:40.956985,2026-02-10 08:37:40.956985
55,1703,4238,406,161,"Dwarka, Delhi","Electronic City, Bangalore",21.181959,72.762059,21.149068,72.846625,19.13,51,60,Completed,,2026-02-10 13:08:26.351047,2026-02-10 13:23:26.351047,2026-02-10 14:23:26.351047
56,2412,4207,64,431,"Andheri, Mumbai","Powai, Mumbai",21.215055,72.863418,21.136711,72.788825,15.97,36,37,Completed,,2025-10-29 21:30:16.320913,2025-10-29 21:42:16.320913,2025-10-29 22:19:16.320913
57,2753,651,603,31,"Udhna, Surat","Indiranagar, Bangalore",21.235969,72.885537,21.203684,72.832409,4.21,10,16,Completed,,2025-12-23 01:54:08.427620,2025-12-23 02:05:08.427620,2025-12-23 02:21:08.427620
58,1027,4446,300,292,"Dadar, Mumbai","Borivali, Mumbai",21.127527,72.874589,21.135709,72.776414,9.0,21,24,Completed,,2025-11-08 13:03:31.448867,2025-11-08 13:09:31.448867,2025-11-08 13:33:31.448867
59,4464,4434,930,381,"Andheri, Mumbai","Satellite, Ahmedabad",21.215289,72.894882,21.227444,72.898454,18.64,69,68,No-Show,Driver not available,2025-12-11 15:05:43.851123,2025-12-11 15:09:43.851123,
60,3805,3367,193,376,"Wakad, Pune","Powai, Mumbai",21.197836,72.886137,21.22185,72.843699,6.48,22,25,Completed,,2026-04-01 22:23:12.390860,2026-04-01 22:32:12.390860,2026-04-01 22:57:12.390860
61,1887,1196,469,747,"Katargam, Surat","Katargam, Surat",21.150908,72.805304,21.134542,72.878811,2.09,5,11,Completed,,2026-03-16 22:57:54.308358,2026-03-16 23:00:54.308358,2026-03-16 23:11:54.308358
62,3767,779,548,238,"Dadar, Mumbai","Borivali, Mumbai",21.192745,72.892199,21.201421,72.804902,19.36,56,60,Completed,,2026-03-01 22:11:59.099892,2026-03-01 22:13:59.099892,2026-03-01 23:13:59.099892
63,523,4667,440,363,"Dwarka, Delhi","Bopal, Ahmedabad",21.135047,72.879035,21.194418,72.753416,15.45,40,46,Completed,,2026-03-17 12:09:05.633831,2026-03-17 12:15:05.633831,2026-03-17 13:01:05.633831
64,3255,2267,469,476,"Bandra, Mumbai","Dadar, Mumbai",21.137941,72.894327,21.224835,72.821126,6.32,13,19,Cancelled,Driver not available,2026-03-24 19:58:30.687270,2026-03-24 20:03:30.687270,
65,3464,1126,698,104,"Vesu, Surat","Indiranagar, Bangalore",21.132613,72.859491,21.208819,72.845303,4.43,17,24,Completed,,2026-03-05 14:35:00.803133,2026-03-05 14:41:00.803133,2026-03-05 15:05:00.803133
66,2518,78,973,545,"Whitefield, Bangalore","Whitefield, Bangalore",21.148846,72.783345,21.13009,72.854135,6.26,21,16,Completed,,2026-02-27 21:13:25.308317,2026-02-27 21:16:25.308317,2026-02-27 21:32:25.308317
67,574,2761,579,307,"BTM Layout, Bangalore","Bopal, Ahmedabad",21.104422,72.897997,21.118915,72.791296,13.95,28,31,Completed,,2025-11-27 02:18:24.722723,2025-11-27 02:20:24.722723,2025-11-27 02:51:24.722723
68,2590,4901,732,676,"BTM Layout, Bangalore","Connaught Place, Delhi",21.107625,72.790409,21.16209,72.755085,12.77,35,36,Completed,,2026-03-05 04:31:41.784526,2026-03-05 04:44:41.784526,2026-03-05 05:20:41.784526
69,3339,4453,877,43,"Satellite, Ahmedabad","BTM Layout, Bangalore",21.119595,72.853754,21.186009,72.781881,16.9,59,67,No-Show,Payment issue,2026-03-20 05:40:30.999822,2026-03-20 05:46:30.999822,
70,2344,2545,187,664,"Katargam, Surat","Kothrud, Pune",21.210635,72.804781,21.121299,72.859826,11.15,43,39,Cancelled,Payment issue,2025-11-17 20:46:29.435206,2025-11-17 20:56:29.435206,
71,89,4526,933,199,"Vesu, Surat","Katargam, Surat",21.242969,72.758004,21.242827,72.842075,13.96,32,34,Completed,,2025-12-15 06:29:11.574930,2025-12-15 06:37:11.574930,2025-12-15 07:11:11.574930
72,1496,1484,71,531,"Borivali, Mumbai","Vesu, Surat",21.1653,72.755636,21.181034,72.815535,6.83,14,16,Completed,,2026-03-04 06:51:43.743413,2026-03-04 07:01:43.743413,2026-03-04 07:17:43.743413
73,3899,1833,798,447,"Vesu, Surat","Dadar, Mumbai",21.121474,72.825535,21.174138,72.874782,8.78,25,32,Completed,,2026-02-12 08:36:14.911633,2026-02-12 08:40:14.911633,2026-02-12 09:12:14.911633
74,2101,1447,270,460,"Udhna, Surat","Viman Nagar, Pune",21.185166,72.825636,21.100865,72.881779,6.83,24,31,Completed,,2026-01-18 22:08:09.534950,2026-01-18 22:11:09.534950,2026-01-18 22:42:09.534950
75,3080,1646,963,222,"Bandra, Mumbai","Maninagar, Ahmedabad",21.127318,72.859336,21.11405,72.883877,10.65,34,31,Completed,,2026-02-18 22:10:43.741428,2026-02-18 22:14:43.741428,2026-02-18 22:45:43.741428
76,2139,4751,591,526,"Wakad, Pune","Navrangpura, Ahmedabad",21.139086,72.770972,21.145794,72.80783,19.14,55,54,Completed,,2025-10-10 00:51:30.028766,2025-10-10 00:54:30.028766,2025-10-10 01:48:30.028766
77,2279,3583,864,73,"Bandra, Mumbai","Navrangpura, Ahmedabad",21.235794,72.869968,21.135073,72.837305,16.55,36,35,Cancelled,Payment issue,2026-01-05 09:01:52.702010,2026-01-05 09:15:52.702010,
78,2489,2782,511,601,"Dadar, Mumbai","Navrangpura, Ahmedabad",21.104162,72.859481,21.160448,72.801663,18.74,51,53,Completed,,2026-03-09 11:05:07.539279,2026-03-09 11:20:07.539279,2026-03-09 12:13:07.539279
79,4080,3186,96,682,"Adajan, Surat","Rohini, Delhi",21.192398,72.754337,21.141457,72.84141,19.51,47,55,Completed,,2025-12-13 21:24:48.166930,2025-12-13 21:26:48.166930,2025-12-13 22:21:48.166930
80,21,3096,2,444,"Whitefield, Bangalore","Andheri, Mumbai",21.126489,72.79377,21.21759,72.762654,7.44,23,23,Completed,,2025-11-05 15:54:51.522465,2025-11-05 16:02:51.522465,2025-11-05 16:25:51.522465
81,2248,786,130,631,"Karol Bagh, Delhi","Viman Nagar, Pune",21.111128,72.792029,21.12796,72.82162,15.22,31,29,Completed,,2025-12-14 13:32:56.080229,2025-12-14 13:35:56.080229,2025-12-14 14:04:56.080229
82,4156,1796,209,447,"Satellite, Ahmedabad","Saket, Delhi",21.15595,72.817936,21.157096,72.828652,18.16,38,44,Completed,,2026-01-05 15:50:14.333947,2026-01-05 16:00:14.333947,2026-01-05 16:44:14.333947
83,3414,528,325,293,"Borivali, Mumbai","Dwarka, Delhi",21.125458,72.769852,21.222908,72.783704,8.45,21,19,Completed,,2026-02-13 09:01:45.195911,2026-02-13 09:11:45.195911,2026-02-13 09:30:45.195911
84,4014,2859,242,16,"Rohini, Delhi","Bopal, Ahmedabad",21.117287,72.755286,21.117893,72.826629,19.81,44,44,Completed,,2025-11-26 07:28:57.376759,2025-11-26 07:43:57.376759,2025-11-26 08:27:57.376759
85,4050,3585,613,418,"Udhna, Surat","Saket, Delhi",21.206091,72.889024,21.231124,72.819448,19.12,66,70,Completed,,2025-10-06 21:51:09.248266,2025-10-06 21:59:09.248266,2025-10-06 23:09:09.248266
86,126,1239,305,219,"Maninagar, Ahmedabad","Andheri, Mumbai",21.178622,72.764385,21.107889,72.759482,6.47,21,16,Completed,,2026-03-03 20:40:36.604115,2026-03-03 20:51:36.604115,2026-03-03 21:07:36.604115
87,4082,85,969,656,"Electronic City, Bangalore","Indiranagar, Bangalore",21.108611,72.870834,21.152061,72.838084,7.5,25,35,Cancelled,Long waiting time,2026-02-26 12:21:03.723417,2026-02-26 12:25:03.723417,
88,2422,777,691,646,"Indiranagar, Bangalore","Hinjewadi, Pune",21.159308,72.859751,21.220096,72.785343,8.82,20,28,Completed,,2026-03-24 17:45:28.910143,2026-03-24 17:48:28.910143,2026-03-24 18:16:28.910143
89,3626,4144,523,591,"Saket, Delhi","Dadar, Mumbai",21.135582,72.884384,21.105066,72.888315,10.28,32,35,Completed,,2026-03-17 16:35:28.016833,2026-03-17 16:40:28.016833,2026-03-17 17:15:28.016833
90,514,953,760,265,"Navrangpura, Ahmedabad","Rohini, Delhi",21.142481,72.824617,21.23978,72.87044,13.99,49,52,Completed,,2025-12-05 21:40:22.718627,2025-12-05 21:48:22.718627,2025-12-05 22:40:22.718627
91,4245,174,144,539,"Connaught Place, Delhi","Wakad, Pune",21.235021,72.802691,21.172373,72.892674,17.26,55,65,No-Show,Driver cancelled,2025-11-21 19:44:23.318701,2025-11-21 19:48:23.318701,
92,2311,1648,883,513,"Dwarka, Delhi","BTM Layout, Bangalore",21.138111,72.810355,21.14347,72.800572,2.48,5,6,Completed,,2026-02-02 11:32:20.620046,2026-02-02 11:47:20.620046,2026-02-02 11:53:20.620046
93,2874,4907,358,300,"Navrangpura, Ahmedabad","Hinjewadi, Pune",21.192751,72.804503,21.150207,72.878228,11.99,27,30,Completed,,2026-03-23 15:37:48.154289,2026-03-23 15:45:48.154289,2026-03-23 16:15:48.154289
94,798,1877,172,49,"Udhna, Surat","Wakad, Pune",21.138709,72.843634,21.130488,72.75694,4.04,11,18,Completed,,2026-03-07 07:42:38.252934,2026-03-07 07:53:38.252934,2026-03-07 08:11:38.252934
95,1317,4599,388,12,"Bandra, Mumbai","Andheri, Mumbai",21.150233,72.821548,21.205842,72.889475,15.58,58,58,Completed,,2025-12-27 16:00:33.899404,2025-12-27 16:07:33.899404,2025-12-27 17:05:33.899404
96,4661,2902,982,428,"Borivali, Mumbai","Hinjewadi, Pune",21.238111,72.757183,21.13581,72.823858,1.88,4,6,Completed,,2025-12-23 22:35:53.690645,2025-12-23 22:38:53.690645,2025-12-23 22:44:53.690645
97,547,2869,104,38,"Powai, Mumbai","Whitefield, Bangalore",21.222024,72.806911,21.132155,72.818216,15.88,33,38,Completed,,2025-10-20 21:47:25.746416,2025-10-20 21:55:25.746416,2025-10-20 22:33:25.746416
98,1075,3160,937,42,"Electronic City, Bangalore","Maninagar, Ahmedabad",21.204127,72.781556,21.147731,72.762377,13.0,28,34,Completed,,2025-11-28 08:34:08.618243,2025-11-28 08:37:08.618243,2025-11-28 09:11:08.618243
99,2358,4265,20,545,"Powai, Mumbai","Maninagar, Ahmedabad",21.192732,72.839241,21.192183,72.814,17.95,37,44,Completed,,2025-11-03 08:51:16.429222,2025-11-03 09:01:16.429222,2025-11-03 09:45:16.429222
100,3058,213,965,363,"Kothrud, Pune","Adajan, Surat",21.221533,72.765811,21.199638,72.795883,10.47,31,27,Completed,,2025-11-22 15:33:20.683653,2025-11-22 15:35:20.683653,2025-11-22 16:02:20.683653
101,1692,2897,737,453,"Rohini, Delhi","Maninagar, Ahmedabad",21.172628,72.875791,21.232923,72.886165,13.61,33,28,Completed,,2025-10-14 15:59:27.319610,2025-10-14 16:12:27.319610,2025-10-14 16:40:27.319610
102,3335,979,570,365,"Indiranagar, Bangalore","Borivali, Mumbai",21.24488,72.85128,21.207684,72.872543,18.37,48,49,Cancelled,Driver not available,2026-02-11 16:27:12.221730,2026-02-11 16:36:12.221730,
103,1011,3750,872,161,"Dwarka, Delhi","Wakad, Pune",21.149679,72.857225,21.239588,72.894512,3.04,10,16,Completed,,2026-03-27 23:40:47.028446,2026-03-27 23:47:47.028446,2026-03-28 00:03:47.028446
104,662,447,281,765,"Katargam, Surat","Bandra, Mumbai",21.147596,72.890225,21.212536,72.877873,10.66,34,36,Cancelled,Driver cancelled,2026-02-05 19:00:26.290530,2026-02-05 19:06:26.290530,
105,1293,3887,565,599,"Adajan, Surat","Maninagar, Ahmedabad",21.203528,72.881638,21.195553,72.898307,12.51,39,45,Completed,,2026-01-15 12:45:59.903112,2026-01-15 12:50:59.903112,2026-01-15 13:35:59.903112
106,3053,1013,510,761,"Electronic City, Bangalore","Hinjewadi, Pune",21.226847,72.85569,21.107035,72.857445,14.97,39,44,Completed,,2025-10-12 17:37:31.709774,2025-10-12 17:40:31.709774,2025-10-12 18:24:31.709774
107,689,2003,390,470,"Powai, Mumbai","Viman Nagar, Pune",21.213359,72.776994,21.174238,72.872657,12.47,34,29,Completed,,2025-10-10 19:37:41.153612,2025-10-10 19:47:41.153612,2025-10-10 20:16:41.153612
108,3884,3857,673,13,"Navrangpura, Ahmedabad","Whitefield, Bangalore",21.220082,72.750627,21.129164,72.795572,13.0,51,51,Completed,,2026-01-25 13:14:12.950194,2026-01-25 13:22:12.950194,2026-01-25 14:13:12.950194
109,2832,12,592,600,"Borivali, Mumbai","BTM Layout, Bangalore",21.245006,72.897344,21.103935,72.777353,12.53,45,49,Completed,,2025-12-18 20:58:59.971065,2025-12-18 21:12:59.971065,2025-12-18 22:01:59.971065
110,4558,699,124,78,"Rohini, Delhi","Katargam, Surat",21.187008,72.851066,21.159505,72.851425,8.58,22,24,Completed,,2026-04-04 01:43:54.187557,2026-04-04 01:55:54.187557,2026-04-04 02:19:54.187557
111,2657,133,849,416,"Satellite, Ahmedabad","Adajan, Surat",21.247164,72.785263,21.133051,72.799173,15.67,52,50,No-Show,Driver not available,2025-12-20 22:15:18.887577,2025-12-20 22:24:18.887577,
112,3373,473,356,161,"Maninagar, Ahmedabad","Viman Nagar, Pune",21.172048,72.827189,21.176073,72.767,8.13,21,18,Completed,,2026-03-31 18:48:40.785021,2026-03-31 18:54:40.785021,2026-03-31 19:12:40.785021
113,1347,3740,893,202,"Kothrud, Pune","Bandra, Mumbai",21.157965,72.854715,21.195768,72.874033,14.62,44,44,Completed,,2026-01-26 04:20:12.318097,2026-01-26 04:29:12.318097,2026-01-26 05:13:12.318097
114,4632,1473,435,79,"BTM Layout, Bangalore","Dadar, Mumbai",21.240626,72.893603,21.171705,72.836417,5.07,12,18,No-Show,Payment issue,2026-02-04 18:39:05.344028,2026-02-04 18:42:05.344028,
115,2610,1647,917,254,"Electronic City, Bangalore","Katargam, Surat",21.161997,72.80083,21.163033,72.794157,18.45,72,76,Completed,,2025-12-29 08:16:50.890002,2025-12-29 08:30:50.890002,2025-12-29 09:46:50.890002
116,16,4973,590,195,"Adajan, Surat","Whitefield, Bangalore",21.158191,72.828378,21.200035,72.791111,12.78,39,34,Cancelled,Driver not available,2026-02-22 17:23:21.457189,2026-02-22 17:38:21.457189,
117,338,4605,757,282,"Indiranagar, Bangalore","Vesu, Surat",21.130484,72.804314,21.197028,72.88081,12.84,44,48,Completed,,2026-03-13 17:35:46.521946,2026-03-13 17:39:46.521946,2026-03-13 18:27:46.521946
118,1572,2582,980,317,"Electronic City, Bangalore","Saket, Delhi",21.209597,72.848998,21.218463,72.822877,5.54,21,30,Completed,,2026-02-26 05:57:46.336948,2026-02-26 06:03:46.336948,2026-02-26 06:33:46.336948
119,3008,3288,370,749,"Saket, Delhi","Udhna, Surat",21.139825,72.826839,21.112209,72.811681,12.28,49,53,Completed,,2025-12-29 14:37:03.332124,2025-12-29 14:40:03.332124,2025-12-29 15:33:03.332124
