Booking_ID,Customer_ID,Booking_Time,Ride_Type,Pickup_Location,Drop_Location,Estimated_Fare,Estimated_Distance_km,Estimated_Time_min,Booking_Status,Cancellation_Time,Cancellation_By
36,1091,2026-01-30 18:11:59.192920,Instant,"Indiranagar, Bangalore","Dadar, Mumbai",264.42,18.49,60,Cancelled,2026-01-30 18:15:59.192920,Driver
37,548,2025-12-16 10:28:22.531485,Instant,"Dwarka, Delhi","Indiranagar, Bangalore",91.17,6.66,23,Confirmed,,
38,1075,2025-12-03 13:17:45.684801,Instant,"Dadar, Mumbai","Hinjewadi, Pune",74.44,6.87,19,Completed,,
39,2883,2025-11-22 19:01:15.654933,Instant,"Hinjewadi, Pune","Navrangpura, Ahmedabad",142.1,9.86,24,Completed,,
40,3959,2025-11-20 08:28:16.932115,Instant,"Dwarka, Delhi","Dwarka, Delhi",91.04,5.45,20,Completed,,
41,1658,2026-03-12 16:38:48.524302,Instant,"Bandra, Mumbai","Indiranagar, Bangalore",432.83,24.31,80,Completed,,
42,719,2025-10-25 05:40:34.617824,Instant,"Bandra, Mumbai","Dadar, Mumbai",286.93,15.13,55,Cancelled,2025-10-25 05:50:34.617824,Customer
43,3442,2026-02-28 20:05:31.889309,Scheduled,"Indiranagar, Bangalore","Dwarka, Delhi",333.78,18.92,41,Completed,,
44,3793,2026-02-28 12:03:07.427356,Instant,"Bandra, Mumbai","Adajan, Surat",70.07,3.53,8,Cancelled,2026-02-28 12:06:07.427356,Driver
45,4666,2025-12-24 04:02:53.294560,Scheduled,"Dadar, Mumbai","Satellite, Ahmedabad",31.98,1.8,5,Completed,,
46,3474,2026-02-03 02:09:35.026212,Instant,"Indiranagar, Bangalore","Kothrud, Pune",279.32,16.86,55,Completed,,
47,3108,2026-01-06 23:07:35.685369,Instant,"Kothrud, Pune","Navrangpura, Ahmedabad",144.92,10.3,41,Completed,,
48,1871,2026-01-02 09:46:54.523456,Instant,"Dadar, Mumbai","Dadar, Mumbai",218.56,18.91,57,Cancelled,2026-01-02 09:56:54.523456,Driver
49,671,2026-03-14 20:31:57.552679,Instant,"Dadar, Mumbai","Hinjewadi, Pune",42.05,3.62,7,Completed,,
50,161,2025-10-09 10:52:37.130372,Instant,"Kothrud, Pune","Hinjewadi, Pune",419.36,21.35,82,Completed,,
51,1079,2026-04-01 16:57:26.377670,Scheduled,"Hinjewadi, Pune","Connaught Place, Delhi",103.94,10.25,33,Completed,,
52,2027,2026-04-04 09:01:44.378256,Scheduled,"Kothrud, Pune","Indiranagar, Bangalore",159.1,15.17,34,Completed,,
53,3528,2026-03-23 11:48:26.819233,Instant,"Dadar, Mumbai","Hinjewadi, Pune",268.49,17.95,50,Confirmed,,
54,295,2026-01-17 01:32:11.749414,Scheduled,"Kothrud, Pune","Katargam, Surat",210.59,15.02,39,Confirmed,,
55,1298,2026-02-08 07:07:38.138309,Instant,"Dwarka, Delhi","Katargam, Surat",122.98,8.79,33,Completed,,
56,844,2026-01-31 14:16:23.223268,Scheduled,"Udhna, Surat","Bandra, Mumbai",209.37,16.57,37,Confirmed,,
57,3417,2025-11-05 17:32:11.558197,Scheduled,"Udhna, Surat","Adajan, Surat",270.26,14.51,56,Completed,,
58,1571,2026-02-23 11:54:14.982064,Instant,"Bandra, Mumbai","Bandra, Mumbai",406.24,23.17,68,Confirmed,,
59,1809,2025-12-08 22:38:01.035345,Instant,"Kothrud, Pune","Katargam, Surat",211.64,12.46,33,Completed,,
60,2326,2025-10-27 18:46:57.460699,Instant,"Kothrud, Pune","Udhna, Surat",214.83,18.47,56,Confirmed,,
61,3221,2026-01-30 08:05:45.288300,Instant,"Katargam, Surat","Katargam, Surat",43.33,2.37,5,Confirmed,,
62,3357,2025-12-25 12:45:14.624635,Instant,"Adajan, Surat","Andheri, Mumbai",187.66,12.75,40,Completed,,
63,459,2025-10-07 01:19:51.002434,Instant,"Indiranagar, Bangalore","Hinjewadi, Pune",198.38,11.27,29,Completed,,
64,1134,2026-03-28 04:52:37.855681,Scheduled,"Bandra, Mumbai","Bandra, Mumbai",95.8,4.96,10,Completed,,
65,885,2026-03-22 12:19:36.399139,Scheduled,"Connaught Place, Delhi","Satellite, Ahmedabad",182.92,14.87,59,Completed,,
66,1330,2025-11-13 08:33:56.145994,Instant,"Bandra, Mumbai","Katargam, Surat",143.97,10.61,33,Cancelled,2025-11-13 08:39:56.145994,Customer
67,3921,2026-03-04 14:16:02.435191,Instant,"Adajan, Surat","Indiranagar, Bangalore",291.89,15.86,37,Confirmed,,
68,3534,2026-03-28 06:16:59.743910,Scheduled,"Kothrud, Pune","Whitefield, Bangalore",133.31,9.54,23,Cancelled,2026-03-28 06:21:59.743910,Customer
69,4596,2025-10-20 17:16:16.284128,Instant,"Vesu, Surat","Dadar, Mumbai",92.33,6.93,21,Completed,,
70,623,2025-11-27 23:48:26.394375,Instant,"Adajan, Surat","Satellite, Ahmedabad",94.2,7.25,19,Completed,,
71,3601,2025-12-17 09:23:53.311479,Instant,"Bandra, Mumbai","Dwarka, Delhi",244.73,18.78,54,Completed,,
72,4579,2026-03-20 17:33:20.235127,Instant,"Vesu, Surat","Adajan, Surat",172.92,11.83,33,Cancelled,2026-03-20 17:37:20.235127,System
73,2415,2025-11-11 23:12:06.741736,Instant,"Dwarka, Delhi","Udhna, Surat",120.72,9.01,20,Cancelled,2025-11-11 23:17:06.741736,Customer
74,2738,2026-02-03 19:38:51.852730,Instant,"Indiranagar, Bangalore","Satellite, Ahmedabad",135.95,6.93,24,Completed,,
75,3083,2025-10-13 06:52:19.571973,Instant,"Dwarka, Delhi","Hinjewadi, Pune",221.61,17.24,54,Completed,,
76,1836,2026-03-20 23:19:07.122846,Instant,"Hinjewadi, Pune","Indiranagar, Bangalore",466.33,24.79,56,Completed,,
77,436,2026-01-29 23:01:15.211826,Scheduled,"Katargam, Surat","Navrangpura, Ahmedabad",30.55,1.66,3,Cancelled,2026-01-29 23:02:15.211826,Driver
78,4336,2026-02-12 06:14:15.624524,Scheduled,"Katargam, Surat","Hinjewadi, Pune",228.78,16.01,49,Completed,,
79,3248,2026-02-01 04:21:18.062042,Instant,"Dadar, Mumbai","Udhna, Surat",164.08,14.16,49,Completed,,
80,2568,2026-01-24 17:02:39.957153,Instant,"Bandra, Mumbai","Vesu, Surat",199.28,15.53,48,Completed,,
81,4955,2026-03-25 02:49:35.258727,Instant,"Hinjewadi, Pune","Dwarka, Delhi",103.82,6.97,21,Cancelled,2026-03-25 02:51:35.258727,System
82,1692,2025-12-03 11:05:08.270414,Instant,"Indiranagar, Bangalore","Dwarka, Delhi",480.37,24.27,52,Completed,,
83,3105,2025-12-22 13:43:45.086053,Instant,"Adajan, Surat","Katargam, Surat",279.88,19.69,41,Completed,,
84,68,2025-12-12 01:09:05.826189,Instant,"Andheri, Mumbai","Bandra, Mumbai",184.86,9.29,29,Completed,,
85,232,2025-10-13 18:17:51.335734,Instant,"Kothrud, Pune","Indiranagar, Bangalore",155.71,13.47,37,Completed,,
86,3859,2026-01-23 21:02:26.165643,Instant,"Dadar, Mumbai","Hinjewadi, Pune",251.04,18.44,67,Confirmed,,
87,3997,2026-03-28 11:52:41.144840,Scheduled,"Katargam, Surat","Vesu, Surat",214.68,13.26,32,Completed,,
88,3326,2026-01-26 15:31:51.079363,Instant,"Satellite, Ahmedabad","Udhna, Surat",39.71,2.23,5,Cancelled,2026-01-26 15:41:51.079363,Driver
89,1774,2025-12-07 13:50:54.395920,Instant,"Vesu, Surat","Udhna, Surat",259.65,16.65,38,Completed,,
90,2684,2026-01-21 04:46:34.388164,Scheduled,"Satellite, Ahmedabad","Andheri, Mumbai",296.83,16.5,47,Completed,,
91,4294,2026-02-01 02:20:50.460145,Instant,"Navrangpura, Ahmedabad","Bandra, Mumbai",461.63,23.78,73,Cancelled,2026-02-01 02:26:50.460145,Customer
92,3875,2025-10-14 05:31:29.673960,Instant,"Navrangpura, Ahmedabad","Katargam, Surat",246.53,16.38,62,Cancelled,2025-10-14 05:33:29.673960,System
93,2680,2026-02-15 18:49:35.186932,Instant,"Indiranagar, Bangalore","Dadar, Mumbai",360.97,24.42,63,Completed,,
94,937,2026-02-26 04:22:46.349414,Instant,"Whitefield, Bangalore","Vesu, Surat",52.76,3.54,13,Completed,,
95,1836,2025-11-17 06:19:39.927792,Scheduled,"Andheri, Mumbai","Kothrud, Pune",234.97,22.56,79,Completed,,
96,287,2026-03-15 19:49:59.142370,Scheduled,"Hinjewadi, Pune","Dwarka, Delhi",333.96,24.69,87,Completed,,
97,3032,2026-01-09 17:11:33.963672,Scheduled,"Navrangpura, Ahmedabad","Udhna, Surat",63.47,5.96,17,Completed,,
98,2777,2025-11-09 12:54:07.011498,Instant,"Connaught Place, Delhi","Indiranagar, Bangalore",23.06,1.54,5,Completed,,
99,4013,2026-03-29 01:41:04.207661,Instant,"Indiranagar, Bangalore","Andheri, Mumbai",428.98,22.4,75,Completed,,
100,3126,2025-11-20 10:11:42.137071,Instant,"Andheri, Mumbai","Satellite, Ahmedabad",210.26,20.91,80,Completed,,
101,1734,2026-03-17 08:37:07.369213,Scheduled,"Dwarka, Delhi","Dwarka, Delhi",263.1,23.27,90,Completed,,
102,3010,2025-12-19 05:47:30.259870,Instant,"Adajan, Surat","Dadar, Mumbai",337.6,20.38,55,Confirmed,,
103,4857,2025-11-23 13:32:45.958993,Instant,"Indiranagar, Bangalore","Connaught Place, Delhi",79.51,7.54,28,Cancelled,2025-11-23 13:33:45.958993,System
104,221,2026-02-11 19:12:20.535463,Instant,"Satellite, Ahmedabad","Andheri, Mumbai",328.0,24.46,77,Cancelled,2026-02-11 19:13:20.535463,Driver
105,461,2026-02-12 03:57:32.426134,Instant,"Bandra, Mumbai","Kothrud, Pune",84.16,6.46,16,Completed,,
106,3563,2025-12-13 05:17:17.290754,Instant,"Satellite, Ahmedabad","Katargam, Surat",66.3,5.29,15,Completed,,
107,44,2025-11-25 13:58:55.816965,Scheduled,"Satellite, Ahmedabad","Dadar, Mumbai",355.52,18.54,63,Confirmed,,
108,1560,2026-02-04 23:15:56.174293,Instant,"Andheri, Mumbai","Kothrud, Pune",124.55,6.52,24,Completed,,
109,1859,2025-12-11 20:51:21.082934,Instant,"Satellite, Ahmedabad","Udhna, Surat",161.03,9.0,30,Completed,,
110,4862,2025-11-27 16:34:45.759239,Instant,"Navrangpura, Ahmedabad","Udhna, Surat",260.81,13.69,44,Completed,,
111,2080,2025-12-21 09:19:06.898342,Instant,"Dadar, Mumbai","Adajan, Surat",245.02,17.12,62,Completed,,
112,4490,2025-12-12 05:43:04.717791,Instant,"Navrangpura, Ahmedabad","Dadar, Mumbai",153.52,10.22,35,Completed,,
113,475,2025-11-29 10:35:20.273154,Scheduled,"Satellite, Ahmedabad","Dwarka, Delhi",298.86,24.05,93,Completed,,
114,1592,2026-03-14 20:30:04.991030,Instant,"Navrangpura, Ahmedabad","Navrangpura, Ahmedabad",204.56,16.32,36,Cancelled,2026-03-14 20:34:04.991030,System
115,2085,2026-03-25 02:41:10.176521,Instant,"Hinjewadi, Pune","Dwarka, Delhi",308.44,17.85,40,Completed,,
116,2752,2025-11-21 05:29:52.434091,Instant,"Kothrud, Pune","Whitefield, Bangalore",313.26,21.11,49,Cancelled,2025-11-21 05:34:52.434091,System
117,1032,2026-04-04 19:37:34.597395,Instant,"Bandra, Mumbai","Udhna, Surat",74.64,3.9,9,Completed,,
118,2502,2026-03-10 17:53:16.729746,Scheduled,"Kothrud, Pune","Hinjewadi, Pune",134.58,8.24,17,Completed,,
119,2531,2025-12-27 13:01:03.112251,Instant,"Kothrud, Pune","Connaught Place, Delhi",147.17,12.92,30,Cancelled,2025-12-27 13:04:03.112251,Driver
120,507,2025-10-09 20:12:09.784385,Scheduled,"Andheri, Mumbai","Dadar, Mumbai",57.2,3.57,8,Completed,,
121,1155,2026-01-09 23:23:41.147877,Scheduled,"Adajan, Surat","Kothrud, Pune",154.34,7.85,30,Completed,,
122,2757,2026-01-28 21:53:51.255288,Scheduled,"Indiranagar, Bangalore","Kothrud, Pune",288.9,14.83,39,Cancelled,2026-01-28 22:03:51.255288,Customer
123,288,2026-03-31 11:30:06.713244,Instant,"Udhna, Surat","Andheri, Mumbai",61.52,3.39,8,Cancelled,2026-03-31 11:32:06.713244,Customer
124,4887,2025-11-03 22:19:12.830195,Instant,"Adajan, Surat","Bandra, Mumbai",205.63,13.06,29,Confirmed,,
125,4254,2025-11-11 07:26:25.471953,Instant,"Hinjewadi, Pune","Dadar, Mumbai",348.46,24.31,84,Completed,,
126,2243,2026-03-31 22:53:36.949183,Instant,"Kothrud, Pune","Whitefield, Bangalore",242.38,14.36,31,Completed,,
127,3300,2025-11-11 06:36:53.648140,Instant,"Indiranagar, Bangalore","Andheri, Mumbai",326.83,17.68,58,Completed,,
128,2411,2026-01-01 03:31:53.832871,Instant,"Andheri, Mumbai","Andheri, Mumbai",214.47,10.77,35,Cancelled,2026-01-01 03:38:53.832871,System
129,2913,2026-01-29 18:44:36.043405,Scheduled,"Dwarka, Delhi","Satellite, Ahmedabad",357.85,19.22,56,Completed,,
130,4435,2026-01-30 17:07:12.743865,Instant,"Katargam, Surat","Udhna, Surat",123.29,7.18,19,Completed,,
131,2094,2026-01-02 02:02:14.970781,Instant,"Hinjewadi, Pune","Satellite, Ahmedabad",194.09,10.52,26,Cancelled,2026-01-02 02:03:14.970781,Driver
132,3397,2026-03-12 09:49:58.989219,Instant,"Connaught Place, Delhi","Andheri, Mumbai",172.5,11.35,32,Completed,,
133,2928,2026-02-15 17:39:15.199334,Instant,"Bandra, Mumbai","Whitefield, Bangalore",235.27,15.63,42,Completed,,
134,1206,2026-03-18 00:17:24.336369,Scheduled,"Katargam, Surat","Kothrud, Pune",463.26,24.3,52,Completed,,
135,4953,2026-01-05 22:45:52.709345,Instant,"Satellite, Ahmedabad","Satellite, Ahmedabad",189.64,10.48,27,Cancelled,2026-01-05 22:55:52.709345,System
136,886,2026-01-23 14:57:12.121285,Instant,"Andheri, Mumbai","Vesu, Surat",193.07,13.04,52,Completed,,
137,2776,2025-10-20 09:14:19.367407,Instant,"Vesu, Surat","Whitefield, Bangalore",339.4,17.72,60,Completed,,
138,4656,2026-01-19 15:24:26.990814,Instant,"Adajan, Surat","Whitefield, Bangalore",123.97,10.13,24,Completed,,
139,4768,2026-03-24 11:55:36.146724,Instant,"Connaught Place, Delhi","Katargam, Surat",122.33,10.46,39,Confirmed,,
140,3951,2026-01-29 04:05:53.911181,Instant,"Satellite, Ahmedabad","Vesu, Surat",126.6,10.3,22,Cancelled,2026-01-29 04:09:53.911181,System
141,2039,2025-10-21 18:21:22.541026,Instant,"Connaught Place, Delhi","Navrangpura, Ahmedabad",95.77,7.08,18,Completed,,
142,4564,2026-02-04 15:23:28.527075,Instant,"Andheri, Mumbai","Dwarka, Delhi",312.27,20.74,73,Completed,,
143,1232,2025-12-22 15:22:51.930167,Instant,"Dadar, Mumbai","Katargam, Surat",369.19,24.75,92,Completed,,
144,2818,2025-10-21 15:41:22.971409,Instant,"Dwarka, Delhi","Kothrud, Pune",114.32,7.58,27,Completed,,
145,2528,2026-02-22 05:42:40.850822,Instant,"Katargam, Surat","Hinjewadi, Pune",413.5,24.45,92,Confirmed,,
146,2825,2025-10-11 02:35:53.553331,Scheduled,"Dwarka, Delhi","Dwarka, Delhi",250.4,23.6,67,Completed,,
147,3905,2025-12-12 19:26:14.593742,Scheduled,"Katargam, Surat","Katargam, Surat",212.17,13.06,28,Confirmed,,
148,231,2025-11-13 13:02:43.978772,Scheduled,"Kothrud, Pune","Adajan, Surat",249.1,13.26,32,Confirmed,,
149,2189,2025-12-20 09:48:33.629536,Instant,"Navrangpura, Ahmedabad","Dwarka, Delhi",259.99,18.15,46,Cancelled,2025-12-20 09:57:33.629536,Customer
150,4324,2026-02-01 09:49:10.357627,Scheduled,"Connaught Place, Delhi","Hinjewadi, Pune",94.14,7.84,30,Confirmed,,
151,540,2026-04-03 01:08:58.602238,Scheduled,"Andheri, Mumbai","Kothrud, Pune",217.97,20.22,42,Completed,,
152,3027,2026-02-20 05:38:03.534231,Instant,"Hinjewadi, Pune","Indiranagar, Bangalore",62.23,4.0,15,Completed,,
153,1928,2025-12-09 01:59:35.179587,Instant,"Satellite, Ahmedabad","Indiranagar, Bangalore",289.51,22.04,67,Cancelled,2025-12-09 02:00:35.179587,System
154,2292,2025-10-31 11:54:13.859265,Instant,"Dadar, Mumbai","Connaught Place, Delhi",240.88,19.74,71,Completed,,
155,1828,2026-02-06 15:48:36.099021,Scheduled,"Udhna, Surat","Udhna, Surat",331.37,17.64,44,Cancelled,2026-02-06 15:54:36.099021,Customer
156,4875,2026-02-13 20:23:56.742675,Instant,"Bandra, Mumbai","Connaught Place, Delhi",60.33,3.98,9,Cancelled,2026-02-13 20:30:56.742675,Driver
157,2081,2026-03-28 05:08:19.238534,Instant,"Vesu, Surat","Kothrud, Pune",294.44,22.83,67,Completed,,
158,1837,2025-12-14 23:56:30.245540,Instant,"Satellite, Ahmedabad","Vesu, Surat",307.69,18.56,58,Completed,,
159,3008,2026-02-13 22:36:14.585623,Instant,"Dadar, Mumbai","Indiranagar, Bangalore",66.91,6.19,18,Cancelled,2026-02-13 22:38:14.585623,Customer
160,2618,2025-12-15 15:32:04.885552,Instant,"Udhna, Surat","Dwarka, Delhi",178.88,9.13,25,Confirmed,,
161,3420,2025-12-09 16:52:59.627725,Instant,"Bandra, Mumbai","Whitefield, Bangalore",183.11,13.33,36,Confirmed,,
162,4365,2026-04-01 06:49:11.728167,Instant,"Connaught Place, Delhi","Indiranagar, Bangalore",167.01,15.16,40,Cancelled,2026-04-01 06:50:11.728167,Driver
163,1829,2026-01-15 10:10:38.591455,Instant,"Bandra, Mumbai","Whitefield, Bangalore",39.62,2.46,9,Completed,,
164,3124,2025-11-16 22:39:08.818622,Scheduled,"Andheri, Mumbai","Vesu, Surat",272.54,20.43,67,Confirmed,,
165,2648,2025-10-18 14:18:03.339711,Instant,"Adajan, Surat","Vesu, Surat",171.37,12.72,49,Completed,,
166,3568,2026-02-10 11:40:36.896775,Instant,"Satellite, Ahmedabad","Indiranagar, Bangalore",55.16,3.96,14,Completed,,
167,1467,2026-03-11 03:30:11.595643,Instant,"Andheri, Mumbai","Adajan, Surat",65.39,5.84,12,Completed,,
168,107,2026-02-27 05:01:29.492171,Instant,"Vesu, Surat","Kothrud, Pune",244.65,13.31,46,Completed,,
169,691,2026-01-25 20:32:09.867918,Instant,"Connaught Place, Delhi","Udhna, Surat",203.63,11.34,28,Completed,,
170,3144,2025-11-09 20:39:37.275310,Scheduled,"Vesu, Surat","Andheri, Mumbai",165.56,14.86,57,Confirmed,,
171,597,2026-02-03 23:36:46.180854,Instant,"Indiranagar, Bangalore","Connaught Place, Delhi",130.41,9.25,23,Completed,,
172,3451,2025-12-29 05:50:21.104801,Instant,"Vesu, Surat","Navrangpura, Ahmedabad",387.66,22.24,60,Cancelled,2025-12-29 05:59:21.104801,Customer
173,4614,2026-03-31 03:49:59.798669,Scheduled,"Hinjewadi, Pune","Adajan, Surat",322.6,16.67,40,Confirmed,,
174,1833,2026-03-20 18:11:57.909594,Instant,"Vesu, Surat","Whitefield, Bangalore",380.76,20.32,61,Completed,,
175,2575,2026-03-16 02:05:10.417599,Instant,"Adajan, Surat","Katargam, Surat",141.86,11.96,45,Cancelled,2026-03-16 02:10:10.417599,Driver
176,3437,2026-01-25 15:52:06.211925,Instant,"Navrangpura, Ahmedabad","Vesu, Surat",242.19,15.47,43,Cancelled,2026-01-25 16:00:06.211925,Driver
177,4079,2025-12-11 08:49:51.312485,Instant,"Vesu, Surat","Hinjewadi, Pune",143.17,12.98,36,Completed,,
178,114,2026-02-02 19:01:13.791768,Instant,"Navrangpura, Ahmedabad","Vesu, Surat",308.54,23.0,65,Completed,,
179,4641,2026-02-16 15:59:08.735385,Instant,"Katargam, Surat","Navrangpura, Ahmedabad",242.99,21.7,53,Completed,,
180,2394,2026-02-20 14:51:26.303877,Instant,"Adajan, Surat","Vesu, Surat",308.36,15.82,48,Completed,,
181,1270,2026-01-20 07:04:45.085416,Instant,"Udhna, Surat","Connaught Place, Delhi",349.53,24.99,74,Cancelled,2026-01-20 07:07:45.085416,System
182,4764,2026-02-15 11:02:25.123734,Instant,"Andheri, Mumbai","Andheri, Mumbai",296.13,22.92,67,Confirmed,,
183,938,2026-03-17 19:17:07.888231,Instant,"Dwarka, Delhi","Indiranagar, Bangalore",65.58,4.87,15,Completed,,
184,4661,2026-03-18 05:14:58.786998,Instant,"Satellite, Ahmedabad","Indiranagar, Bangalore",123.85,7.36,16,Cancelled,2026-03-18 05:15:58.786998,System
185,813,2026-03-13 17:06:08.367381,Scheduled,"Udhna, Surat","Adajan, Surat",75.46,5.33,16,Completed,,
186,3962,2025-10-06 13:31:46.719657,Instant,"Indiranagar, Bangalore","Udhna, Surat",303.74,24.57,77,Completed,,
187,2909,2026-02-04 22:59:38.295620,Instant,"Kothrud, Pune","Whitefield, Bangalore",176.73,13.83,53,Cancelled,2026-02-04 23:03:38.295620,Customer
188,1115,2025-11-26 20:27:28.437253,Instant,"Kothrud, Pune","Connaught Place, Delhi",103.26,5.27,18,Completed,,
189,820,2025-10-10 01:20:28.443875,Instant,"Katargam, Surat","Bandra, Mumbai",316.72,20.73,61,Completed,,
190,4576,2025-12-31 14:04:46.638531,Instant,"Vesu, Surat","Vesu, Surat",178.05,12.25,30,Cancelled,2025-12-31 14:14:46.638531,Driver
191,4446,2026-02-18 20:02:28.131507,Instant,"Katargam, Surat","Bandra, Mumbai",140.93,9.63,23,Completed,,
192,1993,2025-11-06 22:05:53.550441,Instant,"Dwarka, Delhi","Indiranagar, Bangalore",97.01,7.94,16,Cancelled,2025-11-06 22:11:53.550441,Driver
193,2331,2025-10-29 16:44:14.043532,Instant,"Indiranagar, Bangalore","Adajan, Surat",45.79,2.38,8,Completed,,
194,1479,2025-11-29 20:44:29.857574,Instant,"Vesu, Surat","Hinjewadi, Pune",117.19,7.0,15,Confirmed,,
195,2368,2026-02-21 05:12:35.306853,Instant,"Satellite, Ahmedabad","Indiranagar, Bangalore",200.52,19.47,66,Completed,,
196,764,2026-03-02 19:30:42.217817,Instant,"Udhna, Surat","Katargam, Surat",244.73,12.77,48,Completed,,
197,2206,2025-10-15 18:48:26.513158,Instant,"Navrangpura, Ahmedabad","Dwarka, Delhi",331.69,17.05,36,Completed,,
198,2219,2026-02-28 04:53:38.856398,Instant,"Navrangpura, Ahmedabad","Kothrud, Pune",352.46,24.3,95,Completed,,
199,2060,2025-12-09 00:43:33.124185,Scheduled,"Dwarka, Delhi","Navrangpura, Ahmedabad",267.9,14.49,56,Completed,,
200,1788,2025-11-26 20:31:42.222291,Instant,"Hinjewadi, Pune","Satellite, Ahmedabad",113.89,8.09,19,Completed,,
