order_id,customer_id,order_date,order_status,payment_mode,total_amount
ORD00112,CUST00031,2021-06-09,Shipped,COD,4881
ORD00113,CUST00031,2022-07-14,Shipped,COD,4050
ORD00114,CUST00031,2021-06-01,Placed,Card,2661
ORD00115,CUST00031,2021-04-24,Cancelled,UPI,2726
ORD00116,CUST00032,2021-08-06,Returned,UPI,2948
ORD00117,CUST00032,2024-04-28,Shipped,Card,1938
ORD00118,CUST00033,2025-10-17,Delivered,UPI,3623
ORD00119,CUST00033,2025-09-04,Delivered,UPI,4261
ORD00120,CUST00033,2023-10-21,Returned,UPI,604
ORD00121,CUST00034,2021-05-02,Placed,UPI,4795
ORD00122,CUST00034,2025-12-16,Placed,UPI,3647
ORD00123,CUST00034,2024-04-10,Delivered,UPI,4175
ORD00124,CUST00034,2021-02-16,Placed,Card,851
ORD00125,CUST00034,2022-02-13,Delivered,Card,2942
ORD00126,CUST00035,2025-08-31,Placed,UPI,692
ORD00127,CUST00035,2021-04-26,Shipped,UPI,4786
ORD00128,CUST00035,2024-09-18,Delivered,UPI,4269
ORD00129,CUST00035,2021-09-06,Cancelled,UPI,808
ORD00130,CUST00036,2024-09-20,Placed,Card,556
ORD00131,CUST00036,2022-09-30,Returned,COD,641
ORD00132,CUST00036,2023-02-26,Placed,UPI,4594
ORD00133,CUST00036,2022-04-04,Placed,UPI,900
ORD00134,CUST00036,2025-11-27,Shipped,COD,3978
ORD00135,CUST00037,2021-10-24,Returned,COD,1675
ORD00136,CUST00037,2023-04-18,Delivered,Card,3395
ORD00137,CUST00037,2025-12-26,Delivered,UPI,2211
ORD00138,CUST00038,2024-07-29,Delivered,UPI,2696
ORD00139,CUST00038,2025-03-02,Delivered,Card,659
ORD00140,CUST00038,2025-09-28,Delivered,Card,2255
ORD00141,CUST00038,2023-06-12,Delivered,Card,671
ORD00142,CUST00038,2021-10-24,Delivered,UPI,4077
ORD00143,CUST00039,2022-03-01,Delivered,UPI,1832
ORD00144,CUST00039,2024-08-30,Delivered,COD,4287
ORD00145,CUST00040,2021-11-05,Delivered,UPI,4530
ORD00146,CUST00040,2024-07-23,Delivered,COD,3913
ORD00147,CUST00040,2025-07-22,Placed,UPI,625
ORD00148,CUST00040,2022-10-19,Shipped,UPI,3552
ORD00149,CUST00040,2023-06-25,Shipped,UPI,1681
ORD00150,CUST00041,2022-01-09,Delivered,COD,991
ORD00151,CUST00041,2023-02-26,Delivered,COD,4628
ORD00152,CUST00041,2024-06-06,Shipped,UPI,4110
ORD00153,CUST00041,2022-09-06,Delivered,Card,3429
ORD00154,CUST00041,2025-10-23,Delivered,Card,1977
ORD00155,CUST00042,2021-03-27,Delivered,UPI,1875
ORD00156,CUST00042,2023-01-24,Delivered,UPI,2686
ORD00157,CUST00042,2023-04-02,Cancelled,COD,3340
ORD00158,CUST00043,2025-05-21,Delivered,UPI,2793
ORD00159,CUST00043,2024-06-18,Delivered,UPI,4268
ORD00160,CUST00044,2023-12-22,Cancelled,UPI,1914
ORD00161,CUST00044,2023-08-29,Delivered,UPI,3353
ORD00162,CUST00044,2021-10-29,Delivered,UPI,2306
ORD00163,CUST00044,2023-08-24,Delivered,UPI,2528
ORD00164,CUST00044,2025-04-11,Shipped,Card,1119
ORD00165,CUST00045,2021-12-19,Delivered,COD,600
ORD00166,CUST00045,2024-07-12,Delivered,UPI,2819
ORD00167,CUST00045,2021-12-31,Shipped,UPI,4806
ORD00168,CUST00046,2022-04-01,Delivered,Card,1363
ORD00169,CUST00046,2024-07-12,Placed,COD,2949
ORD00170,CUST00047,2024-01-05,Shipped,Card,3554
ORD00171,CUST00047,2021-04-28,Delivered,COD,3240
ORD00172,CUST00048,2021-07-04,Delivered,Card,859
ORD00173,CUST00048,2023-01-28,Placed,UPI,4092
ORD00174,CUST00048,2021-02-18,Delivered,COD,3901
ORD00175,CUST00048,2023-01-22,Shipped,UPI,4394
ORD00176,CUST00049,2025-03-30,Shipped,UPI,3876
ORD00177,CUST00049,2025-08-23,Delivered,UPI,1328
ORD00178,CUST00049,2023-08-01,Shipped,UPI,516
ORD00179,CUST00050,2025-05-01,Delivered,Card,864
ORD00180,CUST00050,2022-11-14,Delivered,UPI,1135
ORD00181,CUST00051,2023-04-23,Delivered,Card,815
ORD00182,CUST00051,2024-04-30,Delivered,COD,576
ORD00183,CUST00051,2024-03-19,Shipped,UPI,3722
ORD00184,CUST00051,2023-03-19,Shipped,UPI,2429
ORD00185,CUST00051,2023-02-15,Delivered,UPI,3189
ORD00186,CUST00052,2023-07-01,Returned,COD,4832
ORD00187,CUST00052,2023-02-11,Shipped,Card,899
ORD00188,CUST00052,2021-01-20,Shipped,UPI,2048
ORD00189,CUST00052,2025-03-06,Delivered,UPI,1228
ORD00190,CUST00052,2023-07-24,Returned,COD,1203
ORD00191,CUST00053,2021-03-13,Shipped,UPI,4054
ORD00192,CUST00053,2024-05-12,Shipped,Card,2976
ORD00193,CUST00054,2021-03-23,Shipped,UPI,605
ORD00194,CUST00054,2021-03-30,Delivered,Card,4035
ORD00195,CUST00055,2025-09-17,Delivered,COD,1817
ORD00196,CUST00055,2023-05-15,Placed,COD,2934
ORD00197,CUST00055,2024-04-19,Placed,Card,4051
ORD00198,CUST00055,2022-08-14,Shipped,Card,2012
ORD00199,CUST00056,2022-12-19,Delivered,Card,3590
ORD00200,CUST00056,2021-06-27,Cancelled,UPI,2329
ORD00201,CUST00056,2024-04-01,Shipped,UPI,4835
ORD00202,CUST00056,2021-06-24,Delivered,COD,661
ORD00203,CUST00056,2021-06-24,Delivered,UPI,2843
ORD00204,CUST00057,2024-12-10,Delivered,UPI,3007
ORD00205,CUST00057,2022-05-29,Cancelled,COD,1724
ORD00206,CUST00057,2024-06-21,Shipped,Card,4648
ORD00207,CUST00057,2025-07-31,Shipped,UPI,2790
ORD00208,CUST00058,2023-04-27,Delivered,UPI,4196
ORD00209,CUST00058,2021-08-22,Shipped,UPI,1333
ORD00210,CUST00059,2023-01-25,Placed,Card,4024
ORD00211,CUST00059,2021-05-27,Shipped,UPI,2518
ORD00212,CUST00059,2023-12-22,Delivered,UPI,2803
ORD00213,CUST00059,2022-02-20,Delivered,UPI,3812
ORD00214,CUST00059,2022-08-02,Returned,UPI,4999
ORD00215,CUST00060,2024-08-25,Returned,Card,3810
ORD00216,CUST00060,2023-04-29,Delivered,COD,873
ORD00217,CUST00060,2021-12-15,Placed,COD,3854
ORD00218,CUST00061,2022-09-04,Shipped,UPI,2843
ORD00219,CUST00061,2023-01-14,Delivered,Card,1485
ORD00220,CUST00061,2025-09-21,Delivered,UPI,4486
ORD00221,CUST00061,2021-03-16,Delivered,UPI,795
ORD00222,CUST00062,2022-11-14,Delivered,Card,3580
ORD00223,CUST00062,2022-09-30,Delivered,COD,2555
ORD00224,CUST00062,2024-04-11,Placed,UPI,965
ORD00225,CUST00063,2023-08-06,Delivered,UPI,3940
ORD00226,CUST00063,2021-10-24,Cancelled,UPI,2622
ORD00227,CUST00063,2023-08-22,Delivered,UPI,1821
ORD00228,CUST00063,2021-07-19,Shipped,UPI,4327
ORD00229,CUST00064,2021-03-13,Shipped,Card,4214
ORD00230,CUST00064,2022-10-09,Cancelled,UPI,2333
ORD00231,CUST00064,2023-06-16,Returned,Card,4857
ORD00232,CUST00064,2022-05-17,Delivered,UPI,1718
ORD00233,CUST00064,2022-09-30,Cancelled,COD,2452
ORD00234,CUST00065,2023-09-18,Delivered,COD,3133
ORD00235,CUST00065,2024-12-09,Shipped,Card,3672
ORD00236,CUST00065,2022-08-25,Delivered,Card,1458
ORD00237,CUST00065,2024-12-20,Delivered,Card,2124
ORD00238,CUST00065,2024-02-12,Delivered,UPI,1030
ORD00239,CUST00066,2023-03-04,Delivered,UPI,597
ORD00240,CUST00066,2025-05-09,Delivered,UPI,2935
ORD00241,CUST00066,2025-04-14,Returned,Card,1125
ORD00242,CUST00066,2023-08-19,Delivered,Card,3454
ORD00243,CUST00066,2024-04-04,Placed,COD,2065
ORD00244,CUST00067,2022-04-30,Delivered,UPI,1027
ORD00245,CUST00067,2021-07-27,Placed,Card,3925
ORD00246,CUST00067,2024-06-16,Delivered,Card,2525
ORD00247,CUST00067,2025-05-07,Placed,UPI,4875
ORD00248,CUST00068,2023-02-27,Delivered,Card,2662
ORD00249,CUST00068,2021-07-01,Cancelled,Card,635
ORD00250,CUST00069,2024-04-20,Delivered,UPI,2574
ORD00251,CUST00069,2022-08-01,Placed,Card,4304
ORD00252,CUST00069,2023-08-23,Delivered,UPI,1814
ORD00253,CUST00069,2021-04-06,Shipped,UPI,4761
ORD00254,CUST00070,2025-02-04,Delivered,UPI,4810
ORD00255,CUST00070,2023-05-10,Cancelled,UPI,1004
ORD00256,CUST00071,2025-05-14,Placed,UPI,2267
ORD00257,CUST00071,2025-02-22,Delivered,UPI,3327
ORD00258,CUST00071,2023-08-30,Returned,COD,3928
ORD00259,CUST00071,2021-11-21,Delivered,Card,1323
ORD00260,CUST00071,2022-03-29,Cancelled,UPI,2065
ORD00261,CUST00072,2023-06-18,Shipped,Card,691
ORD00262,CUST00072,2021-02-13,Delivered,Card,879
ORD00263,CUST00072,2024-02-08,Delivered,COD,2334
ORD00264,CUST00073,2021-08-29,Shipped,UPI,2015
ORD00265,CUST00073,2025-08-03,Placed,Card,1328
ORD00266,CUST00073,2025-07-25,Delivered,UPI,3170
ORD00267,CUST00073,2025-07-13,Shipped,COD,3243
ORD00268,CUST00073,2025-04-24,Delivered,UPI,2661
ORD00269,CUST00074,2021-03-15,Placed,Card,1766
ORD00270,CUST00074,2024-12-20,Delivered,UPI,2733
ORD00271,CUST00074,2025-10-10,Shipped,COD,2895
ORD00272,CUST00074,2023-12-02,Delivered,COD,4989
ORD00273,CUST00074,2022-01-22,Delivered,Card,2121
ORD00274,CUST00075,2021-02-09,Delivered,Card,2187
ORD00275,CUST00075,2022-07-02,Shipped,Card,3166
ORD00276,CUST00076,2021-03-15,Shipped,UPI,2060
ORD00277,CUST00076,2025-02-17,Cancelled,COD,3370
ORD00278,CUST00076,2023-12-07,Shipped,Card,1898
ORD00279,CUST00077,2021-06-20,Delivered,Card,4763
ORD00280,CUST00077,2022-08-08,Shipped,UPI,1345
ORD00281,CUST00078,2024-08-23,Cancelled,Card,3561
ORD00282,CUST00078,2024-08-21,Delivered,UPI,2532
ORD00283,CUST00079,2025-10-21,Placed,UPI,4506
ORD00284,CUST00079,2025-10-22,Delivered,Card,2499
ORD00285,CUST00079,2022-11-22,Delivered,UPI,1963
ORD00286,CUST00080,2024-06-19,Placed,Card,4342
ORD00287,CUST00080,2024-12-27,Delivered,Card,4455
ORD00288,CUST00081,2024-10-31,Delivered,UPI,689
ORD00289,CUST00081,2024-08-04,Delivered,UPI,4201
ORD00290,CUST00082,2021-01-24,Delivered,COD,3142
ORD00291,CUST00082,2025-04-25,Delivered,UPI,2341
ORD00292,CUST00082,2022-03-07,Delivered,UPI,4598
ORD00293,CUST00082,2022-08-22,Returned,Card,1276
ORD00294,CUST00083,2022-10-07,Delivered,UPI,2548
ORD00295,CUST00083,2021-01-02,Shipped,Card,3618
ORD00296,CUST00083,2021-08-25,Shipped,UPI,4571
ORD00297,CUST00084,2024-03-01,Returned,COD,1639
ORD00298,CUST00084,2021-05-27,Cancelled,UPI,852
ORD00299,CUST00084,2024-08-12,Delivered,UPI,4058
ORD00300,CUST00084,2024-06-09,Delivered,UPI,3322
ORD00301,CUST00084,2025-12-23,Placed,Card,4627
ORD00302,CUST00085,2023-08-06,Returned,UPI,3348
ORD00303,CUST00085,2021-08-07,Delivered,UPI,4171
ORD00304,CUST00085,2022-03-02,Placed,Card,3223
ORD00305,CUST00085,2022-09-16,Delivered,Card,3305
ORD00306,CUST00085,2023-09-20,Cancelled,UPI,2179
ORD00307,CUST00086,2021-04-09,Delivered,Card,4848
ORD00308,CUST00086,2022-03-24,Delivered,Card,817
ORD00309,CUST00086,2023-09-17,Delivered,UPI,820
ORD00310,CUST00086,2023-02-09,Cancelled,UPI,2112
ORD00311,CUST00087,2021-01-14,Cancelled,UPI,4707
ORD00312,CUST00087,2024-05-06,Delivered,UPI,1923
ORD00313,CUST00088,2021-12-26,Shipped,UPI,1419
ORD00314,CUST00088,2024-02-13,Delivered,Card,946
ORD00315,CUST00088,2025-02-08,Placed,COD,1066
ORD00316,CUST00088,2024-02-19,Shipped,UPI,1827
ORD00317,CUST00088,2025-02-15,Returned,UPI,4538
ORD00318,CUST00089,2025-03-08,Cancelled,UPI,877
ORD00319,CUST00089,2024-08-31,Delivered,Card,2525
ORD00320,CUST00089,2022-04-29,Delivered,UPI,2570
ORD00321,CUST00090,2023-06-12,Delivered,UPI,4584
ORD00322,CUST00090,2024-11-23,Delivered,UPI,3969
ORD00323,CUST00090,2023-09-03,Shipped,UPI,3622
ORD00324,CUST00090,2022-07-15,Cancelled,COD,4646
ORD00325,CUST00091,2024-03-08,Cancelled,UPI,3683
ORD00326,CUST00091,2023-06-22,Delivered,Card,2618
ORD00327,CUST00092,2023-07-13,Delivered,Card,2693
ORD00328,CUST00092,2021-11-24,Delivered,Card,3766
ORD00329,CUST00092,2023-04-08,Delivered,COD,1822
ORD00330,CUST00092,2023-08-20,Delivered,Card,1051
ORD00331,CUST00093,2021-09-07,Cancelled,Card,659
ORD00332,CUST00093,2024-02-19,Delivered,Card,3916
ORD00333,CUST00093,2023-12-13,Delivered,Card,3239
ORD00334,CUST00093,2023-04-18,Cancelled,UPI,3659
ORD00335,CUST00094,2022-10-17,Returned,Card,4772
ORD00336,CUST00094,2022-04-17,Delivered,UPI,4236
ORD00337,CUST00094,2023-02-16,Delivered,UPI,4784
ORD00338,CUST00094,2024-01-12,Returned,UPI,4298
ORD00339,CUST00095,2022-05-27,Delivered,Card,2812
ORD00340,CUST00095,2023-06-05,Delivered,UPI,649
ORD00341,CUST00096,2023-11-05,Returned,COD,3543
ORD00342,CUST00096,2021-01-04,Returned,COD,3453
ORD00343,CUST00096,2025-09-23,Delivered,UPI,3783
ORD00344,CUST00096,2024-02-24,Delivered,Card,1740
ORD00345,CUST00097,2022-05-30,Delivered,UPI,2900
ORD00346,CUST00097,2024-07-04,Delivered,Card,2391
ORD00347,CUST00097,2023-08-02,Returned,UPI,1115
ORD00348,CUST00098,2024-11-17,Delivered,UPI,1574
ORD00349,CUST00098,2025-05-17,Delivered,UPI,2320
ORD00350,CUST00098,2025-04-17,Delivered,COD,1607
ORD00351,CUST00098,2021-04-03,Placed,UPI,2489
ORD00352,CUST00098,2024-10-07,Delivered,Card,1270
ORD00353,CUST00099,2025-03-29,Placed,Card,2427
ORD00354,CUST00099,2021-05-05,Delivered,UPI,1359
ORD00355,CUST00099,2025-05-14,Delivered,COD,640
ORD00356,CUST00099,2021-03-16,Returned,Card,4409
ORD00357,CUST00099,2024-03-30,Placed,COD,3825
ORD00358,CUST00100,2022-03-31,Placed,UPI,3824
ORD00359,CUST00100,2021-01-17,Delivered,UPI,1544
ORD00360,CUST00100,2025-10-24,Returned,COD,2320
ORD00361,CUST00100,2023-04-09,Cancelled,COD,1690
ORD00362,CUST00101,2024-03-01,Returned,Card,1891
ORD00363,CUST00101,2023-04-06,Placed,UPI,4971
ORD00364,CUST00101,2025-10-15,Delivered,UPI,4766
ORD00365,CUST00101,2024-11-25,Placed,UPI,4065
ORD00366,CUST00101,2021-08-31,Delivered,UPI,1928
ORD00367,CUST00102,2021-04-24,Delivered,UPI,690
ORD00368,CUST00102,2021-06-20,Delivered,UPI,1162
ORD00369,CUST00102,2022-06-29,Delivered,UPI,3076
ORD00370,CUST00102,2022-07-14,Placed,Card,708
ORD00371,CUST00102,2024-10-19,Delivered,COD,2170
ORD00372,CUST00103,2023-05-08,Delivered,UPI,883
ORD00373,CUST00103,2021-08-14,Delivered,UPI,3188
ORD00374,CUST00104,2022-07-24,Cancelled,COD,1344
ORD00375,CUST00104,2021-12-29,Delivered,Card,2289
ORD00376,CUST00104,2024-09-10,Delivered,UPI,2853
ORD00377,CUST00104,2023-04-18,Placed,COD,2073
ORD00378,CUST00105,2023-01-28,Shipped,Card,2310
ORD00379,CUST00105,2021-10-27,Delivered,UPI,2978
ORD00380,CUST00105,2022-12-29,Delivered,UPI,3794
ORD00381,CUST00106,2023-08-31,Delivered,Card,2655
ORD00382,CUST00106,2021-07-09,Delivered,UPI,2063
ORD00383,CUST00106,2021-03-06,Delivered,UPI,4648
ORD00384,CUST00107,2022-10-30,Cancelled,UPI,2205
ORD00385,CUST00107,2025-05-20,Shipped,COD,2144
ORD00386,CUST00107,2025-01-02,Placed,UPI,1282
ORD00387,CUST00107,2024-02-04,Cancelled,Card,4621
ORD00388,CUST00107,2023-01-14,Delivered,COD,3212
ORD00389,CUST00108,2022-10-18,Delivered,UPI,1582
ORD00390,CUST00108,2022-04-23,Shipped,Card,1467
ORD00391,CUST00109,2024-11-24,Shipped,UPI,3346
ORD00392,CUST00109,2021-12-04,Shipped,UPI,2199
ORD00393,CUST00109,2023-03-31,Delivered,UPI,4705
ORD00394,CUST00109,2024-02-01,Shipped,COD,1434
ORD00395,CUST00109,2023-02-07,Returned,UPI,3275
ORD00396,CUST00110,2025-01-10,Returned,COD,1111
ORD00397,CUST00110,2025-05-27,Placed,Card,2205
ORD00398,CUST00110,2022-11-18,Delivered,COD,3133
ORD00399,CUST00110,2022-01-31,Cancelled,Card,2868
ORD00400,CUST00110,2021-10-18,Delivered,Card,2442
ORD00401,CUST00111,2022-05-29,Shipped,UPI,3509
ORD00402,CUST00111,2024-09-19,Delivered,Card,513
ORD00403,CUST00111,2021-03-26,Cancelled,Card,852
ORD00404,CUST00111,2024-01-23,Delivered,UPI,2995
ORD00405,CUST00111,2025-02-07,Cancelled,UPI,1956
ORD00406,CUST00112,2021-06-30,Delivered,UPI,1717
ORD00407,CUST00112,2021-01-29,Delivered,Card,3695
ORD00408,CUST00112,2022-05-08,Returned,Card,4396
ORD00409,CUST00112,2023-03-18,Shipped,UPI,927
ORD00410,CUST00112,2022-07-08,Delivered,COD,1060
ORD00411,CUST00113,2023-03-10,Shipped,Card,2362
ORD00412,CUST00113,2022-02-25,Delivered,UPI,2937
ORD00413,CUST00113,2021-10-01,Delivered,COD,550
ORD00414,CUST00114,2022-11-21,Delivered,Card,2062
ORD00415,CUST00114,2021-06-19,Returned,UPI,4430
ORD00416,CUST00114,2023-11-16,Delivered,UPI,4340
ORD00417,CUST00114,2024-08-18,Returned,UPI,2642
ORD00418,CUST00114,2023-01-25,Delivered,Card,4410
ORD00419,CUST00115,2024-03-19,Delivered,COD,2663
ORD00420,CUST00115,2022-11-26,Shipped,COD,2169
ORD00421,CUST00116,2025-12-24,Shipped,COD,1837
ORD00422,CUST00116,2021-02-22,Delivered,Card,683
ORD00423,CUST00116,2021-06-06,Shipped,COD,1147
ORD00424,CUST00117,2023-04-12,Delivered,Card,1573
ORD00425,CUST00117,2021-01-04,Shipped,COD,1000
ORD00426,CUST00117,2024-02-22,Delivered,Card,619
ORD00427,CUST00118,2021-10-20,Shipped,COD,833
ORD00428,CUST00118,2025-05-23,Delivered,Card,728
ORD00429,CUST00118,2021-10-10,Delivered,UPI,4962
ORD00430,CUST00119,2021-12-14,Delivered,Card,4550
ORD00431,CUST00119,2021-05-31,Delivered,UPI,3581
ORD00432,CUST00120,2023-07-03,Returned,Card,818
ORD00433,CUST00120,2022-06-13,Delivered,UPI,3610
ORD00434,CUST00120,2023-10-28,Delivered,UPI,3840
ORD00435,CUST00120,2021-01-31,Delivered,UPI,2217
ORD00436,CUST00121,2024-10-29,Cancelled,COD,2223
ORD00437,CUST00121,2024-11-28,Returned,UPI,3066
ORD00438,CUST00121,2021-11-19,Delivered,UPI,999
ORD00439,CUST00121,2022-03-29,Placed,UPI,2098
ORD00440,CUST00122,2024-07-20,Returned,UPI,3877
ORD00441,CUST00122,2025-03-26,Returned,UPI,2684
ORD00442,CUST00122,2021-10-09,Delivered,UPI,2636
ORD00443,CUST00123,2025-07-19,Shipped,UPI,3985
ORD00444,CUST00123,2025-03-28,Delivered,Card,888
ORD00445,CUST00123,2023-06-22,Shipped,COD,2024
ORD00446,CUST00124,2025-11-04,Placed,Card,1493
ORD00447,CUST00124,2021-02-12,Cancelled,UPI,1180
ORD00448,CUST00125,2025-04-13,Placed,UPI,1143
ORD00449,CUST00125,2023-07-03,Cancelled,UPI,4892
ORD00450,CUST00125,2025-12-27,Delivered,Card,878
ORD00451,CUST00125,2025-08-16,Delivered,Card,3705
ORD00452,CUST00125,2025-05-28,Delivered,UPI,4045
ORD00453,CUST00126,2021-10-07,Delivered,UPI,3203
ORD00454,CUST00126,2021-04-24,Delivered,COD,4852
ORD00455,CUST00127,2023-07-06,Delivered,Card,4711
ORD00456,CUST00127,2021-08-13,Delivered,UPI,4756
ORD00457,CUST00128,2023-03-25,Delivered,UPI,1939
ORD00458,CUST00128,2023-03-14,Delivered,Card,2006
ORD00459,CUST00128,2021-02-02,Delivered,Card,3072
ORD00460,CUST00129,2022-08-08,Returned,Card,1843
