return_id,order_id,product_id,return_date,return_reason,refund_amount
RET000049,ORD00159,PROD00242,2022-08-03,Size Issue,1251
RET000050,ORD00159,PROD02349,2024-01-18,Quality Not Good,1109
RET000051,ORD00161,PROD03503,2025-10-03,Defective Product,4922
RET000052,ORD00166,PROD04243,2025-04-17,Quality Not Good,1242
RET000053,ORD00166,PROD02119,2023-06-24,Defective Product,1839
RET000054,ORD00166,PROD02416,2025-09-16,Defective Product,6762
RET000055,ORD00167,PROD01881,2022-01-19,Late Delivery,582
RET000056,ORD00170,PROD01301,2025-06-20,Quality Not Good,4252
RET000057,ORD00173,PROD03078,2023-02-12,Size Issue,1062
RET000058,ORD00175,PROD04519,2025-09-08,Size Issue,689
RET000059,ORD00176,PROD04117,2022-11-14,Size Issue,1430
RET000060,ORD00177,PROD02228,2025-10-20,Defective Product,2566
RET000061,ORD00178,PROD00700,2022-07-14,Changed Mind,1473
RET000062,ORD00186,PROD01344,2024-09-21,Size Issue,4048
RET000063,ORD00188,PROD00737,2022-08-10,Size Issue,2157
RET000064,ORD00189,PROD04745,2024-08-06,Wrong Item Delivered,3324
RET000065,ORD00197,PROD02549,2023-08-03,Defective Product,3690
RET000066,ORD00198,PROD01600,2025-05-06,Late Delivery,950
RET000067,ORD00199,PROD00976,2022-03-04,Size Issue,6107
RET000068,ORD00205,PROD03526,2025-04-24,Quality Not Good,6159
RET000069,ORD00213,PROD04488,2024-07-03,Wrong Item Delivered,1065
RET000070,ORD00214,PROD02291,2022-07-16,Wrong Item Delivered,2556
RET000071,ORD00226,PROD01396,2024-12-27,Wrong Item Delivered,4746
RET000072,ORD00227,PROD01179,2022-07-06,Defective Product,1114
RET000073,ORD00228,PROD02772,2022-11-20,Defective Product,2078
RET000074,ORD00234,PROD01036,2024-02-20,Changed Mind,1901
RET000075,ORD00235,PROD04046,2022-10-26,Defective Product,2504
RET000076,ORD00238,PROD04191,2024-03-23,Size Issue,2294
RET000077,ORD00248,PROD00163,2025-06-28,Size Issue,1622
RET000078,ORD00248,PROD02725,2024-09-27,Wrong Item Delivered,3720
RET000079,ORD00248,PROD01999,2024-09-06,Changed Mind,4492
RET000080,ORD00250,PROD04306,2023-06-28,Wrong Item Delivered,2515
RET000081,ORD00250,PROD03633,2022-08-21,Defective Product,607
RET000082,ORD00252,PROD03382,2023-01-10,Quality Not Good,5698
RET000083,ORD00254,PROD03701,2025-04-04,Defective Product,5434
RET000084,ORD00256,PROD03117,2022-07-28,Wrong Item Delivered,5546
RET000085,ORD00258,PROD02715,2025-04-14,Defective Product,1937
RET000086,ORD00261,PROD01491,2025-09-27,Quality Not Good,2090
RET000087,ORD00267,PROD00819,2023-12-07,Size Issue,724
RET000088,ORD00276,PROD04444,2024-11-30,Size Issue,1251
RET000089,ORD00277,PROD00353,2024-04-03,Quality Not Good,1483
RET000090,ORD00277,PROD03601,2022-10-30,Wrong Item Delivered,876
RET000091,ORD00278,PROD00492,2024-01-31,Size Issue,2152
RET000092,ORD00282,PROD04811,2025-07-24,Quality Not Good,1170
RET000093,ORD00285,PROD00279,2024-04-08,Defective Product,3308
RET000094,ORD00290,PROD00798,2025-10-27,Quality Not Good,3322
RET000095,ORD00295,PROD01831,2025-03-01,Changed Mind,1304
RET000096,ORD00299,PROD04345,2025-09-30,Changed Mind,1113
RET000097,ORD00299,PROD00133,2024-03-20,Wrong Item Delivered,2798
RET000098,ORD00303,PROD01404,2024-04-25,Size Issue,2885
RET000099,ORD00304,PROD00707,2024-09-26,Wrong Item Delivered,3106
RET000100,ORD00307,PROD04492,2025-10-05,Defective Product,2068
RET000101,ORD00307,PROD02212,2024-01-02,Quality Not Good,3794
RET000102,ORD00310,PROD02212,2025-02-15,Changed Mind,4440
RET000103,ORD00312,PROD01513,2022-03-31,Wrong Item Delivered,6045
RET000104,ORD00313,PROD04198,2023-06-22,Changed Mind,1013
RET000105,ORD00314,PROD01870,2023-09-16,Size Issue,2105
RET000106,ORD00314,PROD03962,2023-10-05,Wrong Item Delivered,2312
RET000107,ORD00318,PROD04750,2022-04-12,Changed Mind,741
RET000108,ORD00321,PROD02046,2025-01-23,Size Issue,4803
RET000109,ORD00324,PROD03084,2024-10-02,Quality Not Good,2502
RET000110,ORD00330,PROD00622,2022-02-03,Quality Not Good,4786
RET000111,ORD00331,PROD01591,2023-09-04,Size Issue,641
RET000112,ORD00334,PROD03381,2024-08-16,Size Issue,1173
RET000113,ORD00336,PROD02272,2023-01-21,Quality Not Good,1078
RET000114,ORD00346,PROD01697,2024-02-19,Changed Mind,1802
RET000115,ORD00349,PROD03970,2022-11-20,Size Issue,2922
RET000116,ORD00357,PROD03682,2025-02-11,Late Delivery,444
RET000117,ORD00358,PROD04618,2022-05-19,Defective Product,1827
RET000118,ORD00363,PROD02861,2024-10-24,Changed Mind,1126
RET000119,ORD00366,PROD04701,2023-11-13,Size Issue,3821
RET000120,ORD00367,PROD01661,2024-11-11,Size Issue,3125
RET000121,ORD00369,PROD03496,2023-08-30,Wrong Item Delivered,4008
RET000122,ORD00370,PROD04410,2023-11-02,Wrong Item Delivered,657
RET000123,ORD00371,PROD04658,2022-04-29,Size Issue,746
RET000124,ORD00382,PROD01801,2022-07-29,Wrong Item Delivered,6069
RET000125,ORD00383,PROD00191,2023-04-30,Defective Product,4520
RET000126,ORD00385,PROD01360,2025-03-09,Size Issue,2703
RET000127,ORD00388,PROD01110,2023-08-01,Wrong Item Delivered,6984
RET000128,ORD00391,PROD03902,2022-10-25,Defective Product,3303
RET000129,ORD00393,PROD03384,2022-08-14,Defective Product,2118
RET000130,ORD00395,PROD01543,2022-08-18,Size Issue,4150
RET000131,ORD00397,PROD03983,2022-01-30,Size Issue,2001
RET000132,ORD00399,PROD03760,2025-03-22,Late Delivery,1743
RET000133,ORD00400,PROD00470,2024-10-07,Size Issue,2124
RET000134,ORD00403,PROD00664,2025-02-08,Size Issue,1021
RET000135,ORD00404,PROD03232,2022-07-13,Defective Product,632
RET000136,ORD00405,PROD04762,2023-12-30,Quality Not Good,2657
RET000137,ORD00405,PROD01950,2023-05-22,Changed Mind,3701
RET000138,ORD00406,PROD01769,2023-07-17,Size Issue,4212
RET000139,ORD00412,PROD04771,2023-06-09,Late Delivery,3432
RET000140,ORD00413,PROD01880,2025-06-25,Quality Not Good,3077
RET000141,ORD00415,PROD00945,2025-10-14,Size Issue,2020
RET000142,ORD00418,PROD01825,2023-12-22,Size Issue,1214
RET000143,ORD00418,PROD03259,2024-09-10,Size Issue,1922
RET000144,ORD00427,PROD04206,2023-10-06,Size Issue,3753
RET000145,ORD00428,PROD03023,2025-02-16,Size Issue,1402
RET000146,ORD00431,PROD01805,2023-01-04,Wrong Item Delivered,5016
RET000147,ORD00436,PROD01135,2023-12-02,Quality Not Good,1618
RET000148,ORD00436,PROD02565,2022-10-20,Size Issue,873
RET000149,ORD00438,PROD01989,2023-09-05,Changed Mind,5524
RET000150,ORD00439,PROD04262,2023-02-16,Defective Product,5784
RET000151,ORD00439,PROD02862,2025-08-21,Size Issue,2760
RET000152,ORD00444,PROD03017,2024-04-11,Wrong Item Delivered,2344
RET000153,ORD00446,PROD04980,2024-02-15,Quality Not Good,1874
RET000154,ORD00450,PROD03619,2025-05-05,Wrong Item Delivered,4796
RET000155,ORD00450,PROD02711,2025-02-06,Changed Mind,2684
RET000156,ORD00452,PROD00236,2023-07-09,Defective Product,5514
RET000157,ORD00458,PROD00562,2025-10-22,Defective Product,2454
RET000158,ORD00461,PROD03064,2023-02-12,Defective Product,4252
RET000159,ORD00466,PROD00666,2022-07-14,Wrong Item Delivered,2178
RET000160,ORD00466,PROD01067,2024-02-13,Size Issue,3603
RET000161,ORD00474,PROD00234,2022-05-15,Size Issue,3088
RET000162,ORD00475,PROD04841,2025-10-08,Size Issue,761
RET000163,ORD00479,PROD02372,2025-08-30,Late Delivery,1206
RET000164,ORD00480,PROD02679,2022-02-10,Quality Not Good,6538
RET000165,ORD00484,PROD03593,2024-12-14,Quality Not Good,3213
RET000166,ORD00487,PROD00003,2024-06-12,Changed Mind,2046
RET000167,ORD00488,PROD01143,2023-06-04,Changed Mind,4686
RET000168,ORD00497,PROD02806,2022-03-19,Wrong Item Delivered,2492
RET000169,ORD00506,PROD03818,2024-02-17,Size Issue,237
RET000170,ORD00509,PROD01022,2025-12-17,Changed Mind,1314
RET000171,ORD00511,PROD02731,2023-12-21,Quality Not Good,1452
RET000172,ORD00513,PROD02764,2024-07-18,Size Issue,3094
RET000173,ORD00514,PROD04646,2023-06-29,Size Issue,1696
RET000174,ORD00515,PROD04648,2025-08-10,Quality Not Good,1399
RET000175,ORD00516,PROD03595,2024-05-01,Wrong Item Delivered,885
RET000176,ORD00519,PROD02786,2025-11-23,Changed Mind,3741
RET000177,ORD00522,PROD02811,2023-10-18,Size Issue,3405
RET000178,ORD00524,PROD01486,2025-04-21,Quality Not Good,4946
RET000179,ORD00525,PROD00629,2025-07-08,Changed Mind,2738
RET000180,ORD00534,PROD04457,2024-03-31,Size Issue,4870
RET000181,ORD00536,PROD00591,2023-08-15,Size Issue,2739
RET000182,ORD00536,PROD00123,2024-08-13,Quality Not Good,1333
RET000183,ORD00539,PROD02012,2024-08-20,Changed Mind,2289
RET000184,ORD00542,PROD04459,2022-05-06,Changed Mind,998
RET000185,ORD00543,PROD04998,2024-02-04,Size Issue,1761
RET000186,ORD00548,PROD01107,2023-03-01,Size Issue,627
RET000187,ORD00550,PROD01125,2023-09-28,Quality Not Good,794
RET000188,ORD00553,PROD03721,2023-02-26,Wrong Item Delivered,6699
RET000189,ORD00554,PROD03142,2023-02-14,Quality Not Good,4412
RET000190,ORD00559,PROD00838,2023-09-05,Defective Product,1320
RET000191,ORD00563,PROD01361,2025-01-28,Late Delivery,2339
RET000192,ORD00564,PROD01876,2022-07-09,Quality Not Good,2192
RET000193,ORD00568,PROD03146,2025-07-13,Late Delivery,1491
RET000194,ORD00570,PROD04859,2024-09-21,Defective Product,1421
RET000195,ORD00573,PROD01072,2025-06-10,Defective Product,606
RET000196,ORD00579,PROD03793,2024-06-25,Size Issue,1673
RET000197,ORD00582,PROD04392,2024-03-21,Size Issue,4761
RET000198,ORD00583,PROD02640,2022-01-06,Quality Not Good,589
RET000199,ORD00586,PROD01974,2025-11-29,Wrong Item Delivered,4032
RET000200,ORD00588,PROD04151,2025-11-24,Quality Not Good,5176
RET000201,ORD00590,PROD00188,2023-08-28,Quality Not Good,5398
RET000202,ORD00592,PROD03458,2025-09-02,Defective Product,7965
RET000203,ORD00596,PROD01212,2022-06-07,Changed Mind,1129
RET000204,ORD00599,PROD02431,2025-05-23,Changed Mind,2738
RET000205,ORD00605,PROD00895,2022-04-09,Size Issue,609
RET000206,ORD00607,PROD00760,2022-07-30,Quality Not Good,847
RET000207,ORD00607,PROD00691,2025-03-10,Wrong Item Delivered,1460
RET000208,ORD00612,PROD00122,2025-08-17,Quality Not Good,706
RET000209,ORD00616,PROD00809,2024-04-03,Changed Mind,1596
RET000210,ORD00618,PROD03930,2024-03-26,Late Delivery,3509
RET000211,ORD00618,PROD03755,2024-02-29,Quality Not Good,446
RET000212,ORD00623,PROD02278,2023-09-05,Changed Mind,1298
RET000213,ORD00629,PROD03545,2022-10-17,Defective Product,2542
RET000214,ORD00629,PROD02952,2022-10-27,Size Issue,1194
RET000215,ORD00638,PROD02660,2024-09-25,Defective Product,1368
RET000216,ORD00638,PROD00420,2023-11-06,Size Issue,1442
RET000217,ORD00640,PROD00714,2024-03-20,Size Issue,3429
RET000218,ORD00642,PROD01022,2023-01-08,Wrong Item Delivered,1583
RET000219,ORD00643,PROD00536,2023-03-27,Defective Product,1532
RET000220,ORD00644,PROD03476,2024-08-07,Size Issue,876
RET000221,ORD00646,PROD01721,2022-02-20,Quality Not Good,1986
RET000222,ORD00653,PROD02436,2024-03-30,Size Issue,1967
RET000223,ORD00653,PROD02124,2024-01-27,Wrong Item Delivered,1914
RET000224,ORD00655,PROD02369,2025-02-20,Late Delivery,3334
RET000225,ORD00656,PROD02147,2024-09-17,Defective Product,3234
RET000226,ORD00656,PROD03684,2025-08-16,Wrong Item Delivered,1652
RET000227,ORD00659,PROD04761,2022-03-24,Late Delivery,4474
RET000228,ORD00661,PROD04802,2024-03-07,Changed Mind,2140
RET000229,ORD00665,PROD00055,2022-04-06,Changed Mind,4259
RET000230,ORD00674,PROD04225,2024-08-26,Defective Product,5535
RET000231,ORD00676,PROD03147,2022-11-23,Quality Not Good,3070
RET000232,ORD00678,PROD04709,2022-09-21,Late Delivery,5563
RET000233,ORD00678,PROD03494,2023-05-13,Size Issue,724
RET000234,ORD00682,PROD04111,2024-09-04,Size Issue,4007
RET000235,ORD00686,PROD00594,2025-05-17,Quality Not Good,3474
RET000236,ORD00687,PROD02105,2024-05-27,Late Delivery,2849
RET000237,ORD00687,PROD01089,2023-01-01,Changed Mind,2694
RET000238,ORD00688,PROD02538,2025-06-23,Late Delivery,5856
RET000239,ORD00688,PROD02861,2023-06-08,Size Issue,1047
RET000240,ORD00690,PROD04350,2025-11-28,Size Issue,1500
RET000241,ORD00692,PROD02261,2025-09-06,Quality Not Good,1148
RET000242,ORD00693,PROD02637,2022-03-15,Changed Mind,2453
RET000243,ORD00696,PROD01190,2025-04-06,Wrong Item Delivered,1846
RET000244,ORD00699,PROD04741,2024-10-05,Defective Product,3495
RET000245,ORD00700,PROD00331,2025-05-01,Size Issue,1897
RET000246,ORD00700,PROD03673,2025-11-04,Changed Mind,3273
RET000247,ORD00702,PROD00608,2024-05-21,Wrong Item Delivered,834
RET000248,ORD00704,PROD02244,2024-10-12,Size Issue,568
RET000249,ORD00704,PROD04381,2022-08-20,Defective Product,2488
RET000250,ORD00706,PROD03908,2025-01-07,Defective Product,4860
RET000251,ORD00707,PROD03275,2025-07-03,Size Issue,8141
RET000252,ORD00707,PROD02257,2025-01-14,Defective Product,1568
RET000253,ORD00710,PROD03970,2024-10-03,Changed Mind,674
RET000254,ORD00710,PROD03164,2022-11-06,Defective Product,7596
RET000255,ORD00711,PROD00911,2025-01-05,Wrong Item Delivered,6870
RET000256,ORD00713,PROD00391,2024-09-04,Late Delivery,616
RET000257,ORD00719,PROD04809,2024-06-17,Defective Product,955
RET000258,ORD00720,PROD04921,2024-06-28,Late Delivery,1694
RET000259,ORD00721,PROD00771,2025-08-31,Wrong Item Delivered,1511
RET000260,ORD00721,PROD03982,2024-10-21,Late Delivery,2118
RET000261,ORD00723,PROD02902,2022-09-25,Late Delivery,648
RET000262,ORD00725,PROD03711,2025-06-09,Quality Not Good,665
RET000263,ORD00728,PROD03937,2024-11-16,Size Issue,1429
RET000264,ORD00734,PROD02157,2024-03-30,Defective Product,2419
RET000265,ORD00740,PROD01731,2025-07-01,Wrong Item Delivered,926
RET000266,ORD00741,PROD01188,2024-12-31,Defective Product,1824
RET000267,ORD00743,PROD00088,2025-04-17,Defective Product,1224
RET000268,ORD00744,PROD02013,2022-10-17,Late Delivery,3320
RET000269,ORD00748,PROD03125,2022-12-30,Quality Not Good,1214
RET000270,ORD00749,PROD01849,2022-07-03,Defective Product,4136
RET000271,ORD00749,PROD02997,2024-07-09,Size Issue,2455
RET000272,ORD00750,PROD04155,2024-01-28,Wrong Item Delivered,7191
RET000273,ORD00750,PROD02800,2024-02-10,Size Issue,7798
RET000274,ORD00751,PROD00961,2022-08-06,Wrong Item Delivered,1778
RET000275,ORD00752,PROD04224,2025-01-06,Wrong Item Delivered,1733
RET000276,ORD00761,PROD02163,2023-07-20,Quality Not Good,300
RET000277,ORD00763,PROD03394,2025-02-02,Size Issue,3636
RET000278,ORD00764,PROD03883,2024-07-15,Size Issue,1038
RET000279,ORD00766,PROD00051,2023-11-14,Defective Product,523
RET000280,ORD00768,PROD03678,2022-04-09,Late Delivery,1173
RET000281,ORD00775,PROD02758,2022-02-21,Size Issue,324
RET000282,ORD00776,PROD02537,2025-01-01,Quality Not Good,1136
RET000283,ORD00778,PROD01347,2024-11-25,Defective Product,2594
RET000284,ORD00780,PROD03891,2024-09-27,Size Issue,3610
RET000285,ORD00780,PROD01400,2024-06-24,Size Issue,2166
RET000286,ORD00780,PROD02907,2024-02-01,Size Issue,1454
RET000287,ORD00782,PROD01195,2022-05-23,Quality Not Good,4282
RET000288,ORD00782,PROD04001,2025-12-04,Defective Product,1670
RET000289,ORD00783,PROD00871,2022-04-14,Wrong Item Delivered,2058
RET000290,ORD00783,PROD04578,2024-05-10,Defective Product,872
RET000291,ORD00787,PROD03007,2023-12-29,Defective Product,3844
RET000292,ORD00793,PROD04406,2023-12-15,Changed Mind,1310
RET000293,ORD00794,PROD04086,2022-12-25,Size Issue,2164
RET000294,ORD00794,PROD04562,2023-02-15,Quality Not Good,3917
RET000295,ORD00797,PROD01770,2025-08-02,Quality Not Good,3732
RET000296,ORD00800,PROD04322,2023-03-24,Size Issue,2135
RET000297,ORD00802,PROD03189,2022-04-22,Quality Not Good,271
RET000298,ORD00807,PROD03547,2022-03-03,Size Issue,1187
RET000299,ORD00809,PROD01567,2025-12-10,Quality Not Good,1008
RET000300,ORD00812,PROD01555,2024-10-09,Size Issue,1123
RET000301,ORD00812,PROD01889,2022-09-23,Wrong Item Delivered,4704
RET000302,ORD00814,PROD00926,2022-07-08,Defective Product,1676
RET000303,ORD00815,PROD01901,2022-11-08,Late Delivery,1032
RET000304,ORD00816,PROD00403,2023-04-24,Size Issue,4900
RET000305,ORD00816,PROD02513,2022-03-06,Defective Product,1737
RET000306,ORD00818,PROD04489,2023-10-21,Size Issue,3674
RET000307,ORD00820,PROD04584,2022-05-13,Size Issue,1629
RET000308,ORD00823,PROD02855,2025-10-29,Changed Mind,645
RET000309,ORD00824,PROD02711,2025-09-18,Wrong Item Delivered,3472
RET000310,ORD00827,PROD01748,2023-09-05,Size Issue,1861
RET000311,ORD00828,PROD02715,2023-04-02,Changed Mind,3738
RET000312,ORD00832,PROD01571,2025-10-25,Defective Product,7320
RET000313,ORD00834,PROD02517,2023-06-02,Late Delivery,2126
RET000314,ORD00842,PROD03719,2023-01-27,Changed Mind,5024
RET000315,ORD00842,PROD04891,2023-09-04,Quality Not Good,4331
RET000316,ORD00846,PROD03435,2023-04-28,Defective Product,1304
RET000317,ORD00850,PROD04409,2024-07-19,Quality Not Good,1945
RET000318,ORD00854,PROD01876,2025-07-02,Late Delivery,3261
RET000319,ORD00855,PROD01250,2024-03-13,Changed Mind,1458
RET000320,ORD00856,PROD02621,2023-01-12,Size Issue,1443
RET000321,ORD00856,PROD01409,2023-10-27,Quality Not Good,1504
RET000322,ORD00857,PROD01066,2025-11-24,Changed Mind,6639
RET000323,ORD00860,PROD02412,2022-02-22,Defective Product,2067
RET000324,ORD00865,PROD00609,2025-06-01,Quality Not Good,2713
RET000325,ORD00869,PROD02196,2023-08-03,Wrong Item Delivered,1440
RET000326,ORD00871,PROD02054,2023-10-26,Wrong Item Delivered,3720
RET000327,ORD00875,PROD02958,2023-04-13,Defective Product,2144
RET000328,ORD00880,PROD04825,2022-12-26,Quality Not Good,1852
RET000329,ORD00881,PROD02058,2024-12-09,Late Delivery,641
RET000330,ORD00886,PROD02031,2024-11-24,Wrong Item Delivered,4160
RET000331,ORD00887,PROD04919,2023-07-22,Defective Product,3032
RET000332,ORD00887,PROD04880,2023-10-10,Late Delivery,1948
RET000333,ORD00889,PROD03485,2023-08-16,Defective Product,1326
RET000334,ORD00894,PROD03925,2025-08-12,Changed Mind,767
RET000335,ORD00894,PROD02561,2023-12-23,Size Issue,4242
RET000336,ORD00902,PROD03833,2025-03-19,Wrong Item Delivered,2706
RET000337,ORD00904,PROD00331,2024-07-04,Quality Not Good,2104
RET000338,ORD00907,PROD03247,2022-01-30,Defective Product,2920
RET000339,ORD00908,PROD00981,2022-11-19,Defective Product,4752
RET000340,ORD00908,PROD02939,2025-04-16,Changed Mind,3463
RET000341,ORD00908,PROD04624,2024-06-02,Wrong Item Delivered,1024
RET000342,ORD00910,PROD01353,2023-04-18,Wrong Item Delivered,2106
RET000343,ORD00915,PROD03521,2023-02-24,Quality Not Good,1725
RET000344,ORD00918,PROD01232,2023-05-08,Size Issue,3066
RET000345,ORD00924,PROD04484,2025-07-25,Changed Mind,1523
RET000346,ORD00924,PROD01673,2025-11-18,Quality Not Good,950
RET000347,ORD00926,PROD03966,2023-11-21,Quality Not Good,2101
RET000348,ORD00927,PROD04993,2023-10-04,Defective Product,3450
RET000349,ORD00929,PROD00834,2025-04-14,Size Issue,2056
RET000350,ORD00930,PROD01847,2025-01-19,Changed Mind,2970
RET000351,ORD00931,PROD02761,2024-11-22,Changed Mind,2932
RET000352,ORD00933,PROD03425,2025-08-13,Wrong Item Delivered,4874
RET000353,ORD00934,PROD04886,2023-10-31,Size Issue,2090
RET000354,ORD00937,PROD01095,2025-07-29,Size Issue,353
RET000355,ORD00940,PROD00767,2023-01-29,Size Issue,4533
RET000356,ORD00953,PROD01377,2023-11-03,Defective Product,994
RET000357,ORD00956,PROD00414,2022-11-13,Wrong Item Delivered,3572
RET000358,ORD00958,PROD02938,2023-09-16,Wrong Item Delivered,4210
RET000359,ORD00961,PROD00317,2024-04-22,Wrong Item Delivered,4378
RET000360,ORD00963,PROD00571,2023-07-15,Changed Mind,1949
RET000361,ORD00965,PROD02210,2024-04-07,Quality Not Good,1184
RET000362,ORD00970,PROD03393,2025-06-29,Wrong Item Delivered,3600
RET000363,ORD00974,PROD01253,2024-05-08,Wrong Item Delivered,2235
RET000364,ORD00977,PROD02632,2023-08-03,Changed Mind,4111
RET000365,ORD00983,PROD02327,2023-02-01,Wrong Item Delivered,1312
RET000366,ORD00984,PROD02168,2022-10-02,Defective Product,3000
RET000367,ORD00984,PROD03308,2024-01-19,Quality Not Good,1499
RET000368,ORD00990,PROD02394,2025-08-18,Quality Not Good,1342
RET000369,ORD00990,PROD04984,2025-10-10,Changed Mind,2169
RET000370,ORD00992,PROD03044,2025-02-10,Wrong Item Delivered,2473
RET000371,ORD00993,PROD01685,2024-03-05,Size Issue,4251
RET000372,ORD00995,PROD01438,2025-04-13,Size Issue,503
RET000373,ORD00997,PROD00215,2025-04-01,Changed Mind,875
RET000374,ORD00999,PROD03418,2022-09-24,Quality Not Good,1280
RET000375,ORD01003,PROD02394,2022-11-21,Defective Product,1644
RET000376,ORD01004,PROD04418,2025-10-01,Defective Product,1683
RET000377,ORD01009,PROD04176,2024-07-06,Defective Product,855
RET000378,ORD01011,PROD03643,2022-04-21,Changed Mind,955
RET000379,ORD01012,PROD03481,2023-02-16,Quality Not Good,2932
RET000380,ORD01012,PROD01236,2025-10-16,Size Issue,1773
RET000381,ORD01014,PROD03849,2025-12-28,Defective Product,2007
RET000382,ORD01022,PROD00052,2024-06-08,Defective Product,1734
RET000383,ORD01022,PROD04351,2024-01-30,Changed Mind,3291
RET000384,ORD01025,PROD01561,2025-09-01,Changed Mind,608
RET000385,ORD01026,PROD00029,2024-03-20,Changed Mind,759
RET000386,ORD01031,PROD03212,2025-01-05,Wrong Item Delivered,2209
RET000387,ORD01034,PROD02600,2022-07-09,Size Issue,1244
RET000388,ORD01039,PROD01708,2022-05-12,Changed Mind,2243
RET000389,ORD01042,PROD03521,2022-01-03,Wrong Item Delivered,4965
RET000390,ORD01045,PROD03304,2025-11-14,Defective Product,5967
RET000391,ORD01045,PROD03655,2023-11-01,Late Delivery,2298
RET000392,ORD01046,PROD02311,2022-06-21,Defective Product,5247
RET000393,ORD01046,PROD02558,2024-01-24,Changed Mind,4096
RET000394,ORD01047,PROD04387,2023-07-31,Defective Product,2726
RET000395,ORD01048,PROD02707,2023-07-14,Changed Mind,6213
RET000396,ORD01049,PROD01342,2022-03-31,Size Issue,446
RET000397,ORD01049,PROD01494,2023-11-28,Changed Mind,1136
RET000398,ORD01051,PROD04805,2024-12-21,Size Issue,3863
RET000399,ORD01055,PROD02052,2023-09-02,Wrong Item Delivered,8187
RET000400,ORD01057,PROD02126,2025-01-03,Quality Not Good,2184
RET000401,ORD01059,PROD02041,2024-07-18,Size Issue,619
RET000402,ORD01063,PROD03371,2022-04-29,Defective Product,2249
RET000403,ORD01069,PROD02593,2025-09-16,Size Issue,4193
RET000404,ORD01073,PROD03965,2022-01-10,Size Issue,4416
RET000405,ORD01083,PROD02637,2024-03-11,Size Issue,1295
RET000406,ORD01084,PROD01090,2025-04-22,Defective Product,5100
RET000407,ORD01090,PROD03324,2022-10-19,Late Delivery,3881
