payment_id,order_id,payment_date,payment_method,payment_status,amount
PAY000063,ORD00041,2023-06-09,UPI,Success,4604
PAY000064,ORD00041,2023-06-10,COD,Success,4604
PAY000065,ORD00042,2022-10-30,Card,Success,3065
PAY000066,ORD00043,2023-01-14,Card,Failed,2135
PAY000067,ORD00044,2022-01-27,UPI,Success,2642
PAY000068,ORD00045,2025-12-01,Card,Failed,4342
PAY000069,ORD00046,2022-04-29,UPI,Success,3104
PAY000070,ORD00047,2024-01-31,UPI,Pending,1767
PAY000071,ORD00048,2022-11-06,COD,Failed,1710
PAY000072,ORD00049,2021-11-29,UPI,Success,1661
PAY000073,ORD00049,2021-12-02,UPI,Success,1661
PAY000074,ORD00050,2023-10-04,COD,Failed,3471
PAY000075,ORD00050,2023-09-30,UPI,Success,3471
PAY000076,ORD00051,2023-10-17,UPI,Failed,723
PAY000077,ORD00052,2025-08-20,Card,Success,2638
PAY000078,ORD00053,2023-01-19,UPI,Success,3462
PAY000079,ORD00053,2023-01-19,UPI,Success,3462
PAY000080,ORD00054,2025-12-10,COD,Success,2125
PAY000081,ORD00055,2022-02-20,UPI,Success,2249
PAY000082,ORD00055,2022-02-20,UPI,Failed,2249
PAY000083,ORD00056,2025-07-12,UPI,Success,4162
PAY000084,ORD00057,2021-04-22,UPI,Failed,3889
PAY000085,ORD00058,2022-04-11,UPI,Success,1153
PAY000086,ORD00059,2024-04-03,UPI,Success,3604
PAY000087,ORD00059,2024-03-29,COD,Success,3604
PAY000088,ORD00060,2021-04-09,COD,Failed,2706
PAY000089,ORD00061,2021-12-15,UPI,Success,686
PAY000090,ORD00062,2022-01-05,Card,Failed,3637
PAY000091,ORD00063,2024-01-03,COD,Success,3100
PAY000092,ORD00063,2024-01-01,Card,Success,3100
PAY000093,ORD00064,2023-06-10,Card,Failed,2856
PAY000094,ORD00064,2023-06-06,UPI,Failed,2856
PAY000095,ORD00065,2024-09-11,Card,Failed,3905
PAY000096,ORD00066,2022-01-04,UPI,Success,4726
PAY000097,ORD00066,2022-01-02,UPI,Success,4726
PAY000098,ORD00067,2022-04-29,UPI,Success,3634
PAY000099,ORD00068,2022-11-17,COD,Success,3414
PAY000100,ORD00069,2021-05-25,UPI,Pending,3798
PAY000101,ORD00069,2021-05-24,UPI,Success,3798
PAY000102,ORD00070,2023-06-10,UPI,Success,3078
PAY000103,ORD00070,2023-06-10,UPI,Failed,3078
PAY000104,ORD00071,2024-06-28,UPI,Success,3707
PAY000105,ORD00072,2022-11-22,Card,Failed,797
PAY000106,ORD00073,2023-10-14,Card,Pending,4042
PAY000107,ORD00073,2023-10-19,COD,Failed,4042
PAY000108,ORD00074,2025-01-13,COD,Success,2636
PAY000109,ORD00075,2021-01-28,UPI,Success,3405
PAY000110,ORD00075,2021-01-23,UPI,Success,3405
PAY000111,ORD00076,2021-11-29,Card,Success,3197
PAY000112,ORD00076,2021-11-30,UPI,Success,3197
PAY000113,ORD00077,2024-01-18,Card,Success,868
PAY000114,ORD00078,2021-10-03,COD,Success,844
PAY000115,ORD00079,2022-10-15,UPI,Success,2153
PAY000116,ORD00079,2022-10-12,UPI,Success,2153
PAY000117,ORD00080,2021-10-01,UPI,Success,4613
PAY000118,ORD00081,2025-06-04,Card,Success,2835
PAY000119,ORD00082,2025-10-19,UPI,Failed,2792
PAY000120,ORD00082,2025-10-18,UPI,Failed,2792
PAY000121,ORD00083,2024-05-04,UPI,Success,3855
PAY000122,ORD00084,2022-09-01,UPI,Success,1364
PAY000123,ORD00085,2025-04-11,Card,Success,2844
PAY000124,ORD00085,2025-04-12,UPI,Success,2844
PAY000125,ORD00086,2022-06-22,UPI,Success,4411
PAY000126,ORD00087,2021-01-29,COD,Success,1608
PAY000127,ORD00087,2021-01-29,UPI,Success,1608
PAY000128,ORD00088,2025-03-05,UPI,Failed,3046
PAY000129,ORD00089,2023-04-07,Card,Failed,2488
PAY000130,ORD00089,2023-04-02,COD,Success,2488
PAY000131,ORD00090,2023-11-20,Card,Success,2835
PAY000132,ORD00091,2025-07-27,UPI,Success,3935
PAY000133,ORD00091,2025-07-27,Card,Success,3935
PAY000134,ORD00092,2025-12-11,UPI,Failed,1848
PAY000135,ORD00093,2024-08-29,COD,Failed,737
PAY000136,ORD00094,2022-09-24,COD,Failed,2516
PAY000137,ORD00094,2022-09-28,UPI,Success,2516
PAY000138,ORD00095,2025-12-10,COD,Success,1877
PAY000139,ORD00096,2025-03-09,UPI,Success,1864
PAY000140,ORD00096,2025-03-11,COD,Success,1864
PAY000141,ORD00097,2023-04-06,COD,Success,3267
PAY000142,ORD00098,2024-02-23,UPI,Pending,4864
PAY000143,ORD00099,2023-05-11,UPI,Success,2893
PAY000144,ORD00100,2023-02-15,Card,Success,2020
PAY000145,ORD00101,2025-09-14,COD,Success,2151
PAY000146,ORD00101,2025-09-16,UPI,Success,2151
PAY000147,ORD00102,2021-03-21,UPI,Success,4793
PAY000148,ORD00102,2021-03-25,UPI,Failed,4793
PAY000149,ORD00103,2025-05-08,UPI,Success,2704
PAY000150,ORD00104,2025-11-18,UPI,Success,3857
PAY000151,ORD00105,2025-03-24,Card,Success,1132
PAY000152,ORD00105,2025-03-22,Card,Success,1132
PAY000153,ORD00106,2022-02-13,Card,Success,1911
PAY000154,ORD00107,2021-10-18,COD,Success,2420
PAY000155,ORD00107,2021-10-17,UPI,Success,2420
PAY000156,ORD00108,2023-05-07,UPI,Success,1768
PAY000157,ORD00108,2023-05-09,COD,Success,1768
PAY000158,ORD00109,2022-08-13,Card,Success,678
PAY000159,ORD00110,2021-01-05,UPI,Success,2792
PAY000160,ORD00111,2024-05-29,COD,Success,2832
PAY000161,ORD00112,2021-06-09,Card,Success,4881
PAY000162,ORD00112,2021-06-12,Card,Failed,4881
PAY000163,ORD00113,2022-07-15,UPI,Success,4050
PAY000164,ORD00114,2021-06-01,UPI,Pending,2661
PAY000165,ORD00114,2021-06-01,COD,Success,2661
PAY000166,ORD00115,2021-04-27,COD,Success,2726
PAY000167,ORD00116,2021-08-08,UPI,Failed,2948
PAY000168,ORD00117,2024-04-28,Card,Success,1938
PAY000169,ORD00117,2024-05-02,COD,Success,1938
PAY000170,ORD00118,2025-10-21,UPI,Success,3623
PAY000171,ORD00119,2025-09-04,UPI,Success,4261
PAY000172,ORD00119,2025-09-07,UPI,Failed,4261
PAY000173,ORD00120,2023-10-26,COD,Success,604
PAY000174,ORD00120,2023-10-23,UPI,Success,604
PAY000175,ORD00121,2021-05-07,UPI,Pending,4795
PAY000176,ORD00121,2021-05-02,UPI,Failed,4795
PAY000177,ORD00122,2025-12-21,COD,Success,3647
PAY000178,ORD00123,2024-04-14,Card,Success,4175
PAY000179,ORD00123,2024-04-15,UPI,Success,4175
PAY000180,ORD00124,2021-02-16,UPI,Success,851
PAY000181,ORD00124,2021-02-19,UPI,Failed,851
PAY000182,ORD00125,2022-02-16,UPI,Success,2942
PAY000183,ORD00126,2025-09-01,Card,Success,692
PAY000184,ORD00127,2021-04-30,UPI,Success,4786
PAY000185,ORD00127,2021-04-26,Card,Success,4786
PAY000186,ORD00128,2024-09-21,UPI,Failed,4269
PAY000187,ORD00128,2024-09-20,UPI,Success,4269
PAY000188,ORD00129,2021-09-10,UPI,Success,808
PAY000189,ORD00129,2021-09-08,Card,Success,808
PAY000190,ORD00130,2024-09-24,UPI,Success,556
PAY000191,ORD00131,2022-10-03,UPI,Success,641
PAY000192,ORD00131,2022-09-30,COD,Success,641
PAY000193,ORD00132,2023-03-01,COD,Success,4594
PAY000194,ORD00132,2023-03-01,Card,Failed,4594
PAY000195,ORD00133,2022-04-04,UPI,Success,900
PAY000196,ORD00134,2025-11-29,COD,Success,3978
PAY000197,ORD00135,2021-10-25,UPI,Success,1675
PAY000198,ORD00136,2023-04-19,Card,Failed,3395
PAY000199,ORD00136,2023-04-22,UPI,Success,3395
PAY000200,ORD00137,2025-12-31,UPI,Success,2211
PAY000201,ORD00138,2024-08-01,UPI,Pending,2696
PAY000202,ORD00139,2025-03-05,UPI,Success,659
PAY000203,ORD00139,2025-03-03,UPI,Success,659
PAY000204,ORD00140,2025-10-01,COD,Pending,2255
PAY000205,ORD00141,2023-06-13,UPI,Pending,671
PAY000206,ORD00141,2023-06-14,Card,Success,671
PAY000207,ORD00142,2021-10-27,Card,Failed,4077
PAY000208,ORD00142,2021-10-24,COD,Success,4077
PAY000209,ORD00143,2022-03-03,UPI,Success,1832
PAY000210,ORD00143,2022-03-01,COD,Success,1832
PAY000211,ORD00144,2024-09-04,Card,Success,4287
PAY000212,ORD00144,2024-08-30,UPI,Failed,4287
PAY000213,ORD00145,2021-11-09,UPI,Success,4530
PAY000214,ORD00146,2024-07-24,UPI,Success,3913
PAY000215,ORD00147,2025-07-24,Card,Success,625
PAY000216,ORD00147,2025-07-25,UPI,Success,625
PAY000217,ORD00148,2022-10-23,UPI,Pending,3552
PAY000218,ORD00149,2023-06-26,UPI,Success,1681
PAY000219,ORD00150,2022-01-10,Card,Success,991
PAY000220,ORD00150,2022-01-11,UPI,Success,991
PAY000221,ORD00151,2023-03-02,UPI,Success,4628
PAY000222,ORD00152,2024-06-10,UPI,Success,4110
PAY000223,ORD00152,2024-06-07,UPI,Failed,4110
PAY000224,ORD00153,2022-09-11,COD,Success,3429
PAY000225,ORD00153,2022-09-06,UPI,Failed,3429
PAY000226,ORD00154,2025-10-25,COD,Success,1977
PAY000227,ORD00154,2025-10-25,Card,Success,1977
PAY000228,ORD00155,2021-04-01,Card,Success,1875
PAY000229,ORD00156,2023-01-24,UPI,Failed,2686
PAY000230,ORD00157,2023-04-04,UPI,Success,3340
PAY000231,ORD00157,2023-04-04,Card,Failed,3340
PAY000232,ORD00158,2025-05-21,COD,Success,2793
PAY000233,ORD00158,2025-05-24,UPI,Failed,2793
PAY000234,ORD00159,2024-06-22,COD,Success,4268
PAY000235,ORD00160,2023-12-24,UPI,Success,1914
PAY000236,ORD00161,2023-09-02,Card,Success,3353
PAY000237,ORD00161,2023-08-29,UPI,Success,3353
PAY000238,ORD00162,2021-10-30,UPI,Success,2306
PAY000239,ORD00163,2023-08-25,UPI,Failed,2528
PAY000240,ORD00164,2025-04-13,COD,Success,1119
PAY000241,ORD00165,2021-12-23,UPI,Success,600
PAY000242,ORD00165,2021-12-24,UPI,Success,600
PAY000243,ORD00166,2024-07-15,Card,Success,2819
PAY000244,ORD00167,2021-12-31,UPI,Success,4806
PAY000245,ORD00167,2022-01-03,UPI,Failed,4806
PAY000246,ORD00168,2022-04-05,UPI,Success,1363
PAY000247,ORD00168,2022-04-02,COD,Success,1363
PAY000248,ORD00169,2024-07-12,UPI,Success,2949
PAY000249,ORD00170,2024-01-10,UPI,Success,3554
PAY000250,ORD00170,2024-01-06,UPI,Success,3554
PAY000251,ORD00171,2021-04-28,Card,Success,3240
PAY000252,ORD00172,2021-07-06,COD,Success,859
PAY000253,ORD00173,2023-01-29,Card,Success,4092
PAY000254,ORD00173,2023-01-31,Card,Success,4092
PAY000255,ORD00174,2021-02-19,COD,Success,3901
PAY000256,ORD00175,2023-01-23,Card,Success,4394
PAY000257,ORD00175,2023-01-24,Card,Success,4394
PAY000258,ORD00176,2025-03-31,COD,Failed,3876
PAY000259,ORD00176,2025-04-01,COD,Success,3876
PAY000260,ORD00177,2025-08-27,UPI,Failed,1328
PAY000261,ORD00178,2023-08-02,COD,Success,516
PAY000262,ORD00179,2025-05-02,UPI,Failed,864
PAY000263,ORD00179,2025-05-01,UPI,Success,864
PAY000264,ORD00180,2022-11-16,UPI,Success,1135
PAY000265,ORD00181,2023-04-27,COD,Pending,815
PAY000266,ORD00182,2024-05-04,UPI,Success,576
PAY000267,ORD00183,2024-03-21,UPI,Success,3722
PAY000268,ORD00183,2024-03-20,UPI,Success,3722
PAY000269,ORD00184,2023-03-20,Card,Success,2429
PAY000270,ORD00185,2023-02-19,COD,Success,3189
PAY000271,ORD00185,2023-02-20,UPI,Success,3189
PAY000272,ORD00186,2023-07-02,UPI,Success,4832
PAY000273,ORD00186,2023-07-01,Card,Success,4832
PAY000274,ORD00187,2023-02-11,Card,Success,899
PAY000275,ORD00188,2021-01-25,UPI,Success,2048
PAY000276,ORD00188,2021-01-21,COD,Success,2048
PAY000277,ORD00189,2025-03-10,Card,Failed,1228
PAY000278,ORD00190,2023-07-29,UPI,Success,1203
PAY000279,ORD00190,2023-07-27,Card,Success,1203
PAY000280,ORD00191,2021-03-13,UPI,Success,4054
PAY000281,ORD00191,2021-03-18,Card,Success,4054
PAY000282,ORD00192,2024-05-16,COD,Success,2976
PAY000283,ORD00193,2021-03-24,Card,Success,605
PAY000284,ORD00193,2021-03-27,UPI,Success,605
PAY000285,ORD00194,2021-04-01,UPI,Success,4035
PAY000286,ORD00195,2025-09-22,COD,Success,1817
PAY000287,ORD00195,2025-09-17,UPI,Success,1817
PAY000288,ORD00196,2023-05-16,Card,Success,2934
PAY000289,ORD00197,2024-04-22,Card,Success,4051
PAY000290,ORD00197,2024-04-23,COD,Failed,4051
PAY000291,ORD00198,2022-08-14,Card,Pending,2012
PAY000292,ORD00199,2022-12-19,COD,Success,3590
PAY000293,ORD00199,2022-12-23,UPI,Success,3590
PAY000294,ORD00200,2021-06-28,Card,Success,2329
PAY000295,ORD00201,2024-04-03,UPI,Success,4835
PAY000296,ORD00201,2024-04-06,UPI,Failed,4835
PAY000297,ORD00202,2021-06-25,UPI,Failed,661
PAY000298,ORD00202,2021-06-29,UPI,Success,661
PAY000299,ORD00203,2021-06-24,COD,Success,2843
PAY000300,ORD00203,2021-06-28,UPI,Success,2843
PAY000301,ORD00204,2024-12-10,Card,Pending,3007
PAY000302,ORD00204,2024-12-11,Card,Success,3007
PAY000303,ORD00205,2022-05-30,Card,Success,1724
PAY000304,ORD00205,2022-06-02,Card,Success,1724
PAY000305,ORD00206,2024-06-26,UPI,Success,4648
PAY000306,ORD00207,2025-08-01,UPI,Success,2790
PAY000307,ORD00207,2025-08-02,UPI,Success,2790
PAY000308,ORD00208,2023-05-02,COD,Success,4196
PAY000309,ORD00209,2021-08-24,UPI,Failed,1333
PAY000310,ORD00210,2023-01-25,COD,Success,4024
PAY000311,ORD00210,2023-01-29,COD,Success,4024
PAY000312,ORD00211,2021-05-28,UPI,Success,2518
PAY000313,ORD00212,2023-12-22,Card,Success,2803
PAY000314,ORD00212,2023-12-23,UPI,Failed,2803
PAY000315,ORD00213,2022-02-22,Card,Success,3812
PAY000316,ORD00213,2022-02-21,Card,Success,3812
PAY000317,ORD00214,2022-08-06,UPI,Pending,4999
PAY000318,ORD00214,2022-08-05,UPI,Success,4999
PAY000319,ORD00215,2024-08-26,UPI,Success,3810
PAY000320,ORD00215,2024-08-27,UPI,Success,3810
PAY000321,ORD00216,2023-05-01,COD,Pending,873
PAY000322,ORD00217,2021-12-15,UPI,Success,3854
PAY000323,ORD00218,2022-09-07,UPI,Success,2843
PAY000324,ORD00219,2023-01-16,Card,Success,1485
PAY000325,ORD00220,2025-09-25,UPI,Success,4486
PAY000326,ORD00221,2021-03-18,UPI,Success,795
PAY000327,ORD00221,2021-03-19,UPI,Success,795
PAY000328,ORD00222,2022-11-15,UPI,Success,3580
PAY000329,ORD00223,2022-10-05,Card,Success,2555
PAY000330,ORD00223,2022-09-30,UPI,Success,2555
PAY000331,ORD00224,2024-04-15,UPI,Success,965
PAY000332,ORD00224,2024-04-12,Card,Success,965
PAY000333,ORD00225,2023-08-09,UPI,Success,3940
PAY000334,ORD00225,2023-08-10,Card,Success,3940
PAY000335,ORD00226,2021-10-26,UPI,Success,2622
PAY000336,ORD00227,2023-08-24,UPI,Failed,1821
PAY000337,ORD00227,2023-08-26,UPI,Success,1821
PAY000338,ORD00228,2021-07-19,Card,Success,4327
PAY000339,ORD00228,2021-07-24,UPI,Success,4327
PAY000340,ORD00229,2021-03-16,Card,Pending,4214
PAY000341,ORD00229,2021-03-15,COD,Success,4214
PAY000342,ORD00230,2022-10-10,UPI,Success,2333
PAY000343,ORD00231,2023-06-17,Card,Success,4857
PAY000344,ORD00231,2023-06-18,Card,Success,4857
PAY000345,ORD00232,2022-05-19,Card,Success,1718
PAY000346,ORD00233,2022-10-04,UPI,Success,2452
PAY000347,ORD00234,2023-09-21,UPI,Success,3133
PAY000348,ORD00235,2024-12-10,UPI,Success,3672
PAY000349,ORD00236,2022-08-26,COD,Success,1458
PAY000350,ORD00236,2022-08-28,UPI,Success,1458
PAY000351,ORD00237,2024-12-21,UPI,Success,2124
PAY000352,ORD00238,2024-02-12,UPI,Success,1030
PAY000353,ORD00238,2024-02-13,Card,Failed,1030
PAY000354,ORD00239,2023-03-06,COD,Failed,597
PAY000355,ORD00239,2023-03-06,Card,Failed,597
PAY000356,ORD00240,2025-05-12,UPI,Success,2935
PAY000357,ORD00240,2025-05-09,Card,Success,2935
PAY000358,ORD00241,2025-04-15,Card,Success,1125
PAY000359,ORD00241,2025-04-14,UPI,Success,1125
PAY000360,ORD00242,2023-08-24,Card,Success,3454
PAY000361,ORD00242,2023-08-23,UPI,Success,3454
PAY000362,ORD00243,2024-04-09,Card,Failed,2065
PAY000363,ORD00244,2022-04-30,COD,Failed,1027
PAY000364,ORD00244,2022-05-02,COD,Success,1027
PAY000365,ORD00245,2021-07-28,COD,Success,3925
PAY000366,ORD00245,2021-07-27,COD,Failed,3925
PAY000367,ORD00246,2024-06-19,UPI,Success,2525
PAY000368,ORD00246,2024-06-20,COD,Success,2525
PAY000369,ORD00247,2025-05-12,Card,Success,4875
PAY000370,ORD00248,2023-02-28,UPI,Success,2662
PAY000371,ORD00248,2023-03-01,Card,Failed,2662
PAY000372,ORD00249,2021-07-01,Card,Failed,635
PAY000373,ORD00250,2024-04-20,UPI,Failed,2574
PAY000374,ORD00251,2022-08-01,Card,Success,4304
PAY000375,ORD00252,2023-08-25,COD,Failed,1814
PAY000376,ORD00252,2023-08-25,UPI,Failed,1814
PAY000377,ORD00253,2021-04-06,Card,Failed,4761
PAY000378,ORD00253,2021-04-09,Card,Failed,4761
PAY000379,ORD00254,2025-02-06,Card,Failed,4810
PAY000380,ORD00254,2025-02-04,Card,Success,4810
PAY000381,ORD00255,2023-05-10,Card,Success,1004
PAY000382,ORD00256,2025-05-19,COD,Success,2267
PAY000383,ORD00256,2025-05-18,COD,Success,2267
PAY000384,ORD00257,2025-02-26,Card,Success,3327
PAY000385,ORD00258,2023-09-03,UPI,Success,3928
PAY000386,ORD00258,2023-09-02,UPI,Success,3928
PAY000387,ORD00259,2021-11-23,UPI,Success,1323
PAY000388,ORD00259,2021-11-23,UPI,Success,1323
PAY000389,ORD00260,2022-04-02,UPI,Success,2065
PAY000390,ORD00261,2023-06-19,UPI,Pending,691
PAY000391,ORD00262,2021-02-13,UPI,Success,879
PAY000392,ORD00263,2024-02-13,UPI,Failed,2334
PAY000393,ORD00263,2024-02-08,UPI,Success,2334
PAY000394,ORD00264,2021-09-01,UPI,Failed,2015
PAY000395,ORD00264,2021-08-31,Card,Success,2015
PAY000396,ORD00265,2025-08-08,Card,Success,1328
PAY000397,ORD00266,2025-07-28,COD,Success,3170
PAY000398,ORD00267,2025-07-14,Card,Failed,3243
PAY000399,ORD00268,2025-04-25,UPI,Success,2661
PAY000400,ORD00269,2021-03-17,UPI,Pending,1766
PAY000401,ORD00269,2021-03-17,UPI,Success,1766
PAY000402,ORD00270,2024-12-21,COD,Failed,2733
PAY000403,ORD00271,2025-10-10,UPI,Success,2895
PAY000404,ORD00272,2023-12-03,UPI,Success,4989
PAY000405,ORD00273,2022-01-24,Card,Success,2121
PAY000406,ORD00274,2021-02-09,COD,Success,2187
PAY000407,ORD00275,2022-07-05,COD,Success,3166
PAY000408,ORD00276,2021-03-16,UPI,Success,2060
PAY000409,ORD00276,2021-03-15,Card,Success,2060
PAY000410,ORD00277,2025-02-20,UPI,Success,3370
PAY000411,ORD00278,2023-12-07,UPI,Failed,1898
PAY000412,ORD00278,2023-12-10,Card,Success,1898
PAY000413,ORD00279,2021-06-21,UPI,Pending,4763
PAY000414,ORD00280,2022-08-08,Card,Failed,1345
PAY000415,ORD00281,2024-08-25,UPI,Failed,3561
PAY000416,ORD00282,2024-08-26,COD,Success,2532
PAY000417,ORD00282,2024-08-21,UPI,Success,2532
PAY000418,ORD00283,2025-10-24,UPI,Failed,4506
PAY000419,ORD00283,2025-10-22,UPI,Success,4506
PAY000420,ORD00284,2025-10-23,Card,Success,2499
PAY000421,ORD00285,2022-11-24,COD,Success,1963
PAY000422,ORD00285,2022-11-23,UPI,Success,1963
PAY000423,ORD00286,2024-06-24,Card,Success,4342
PAY000424,ORD00287,2024-12-28,UPI,Pending,4455
PAY000425,ORD00288,2024-10-31,Card,Success,689
PAY000426,ORD00289,2024-08-04,UPI,Success,4201
PAY000427,ORD00290,2021-01-28,Card,Failed,3142
PAY000428,ORD00290,2021-01-29,Card,Success,3142
PAY000429,ORD00291,2025-04-30,Card,Success,2341
PAY000430,ORD00292,2022-03-12,UPI,Success,4598
PAY000431,ORD00293,2022-08-27,UPI,Success,1276
PAY000432,ORD00294,2022-10-08,COD,Success,2548
PAY000433,ORD00295,2021-01-06,UPI,Success,3618
PAY000434,ORD00295,2021-01-07,COD,Failed,3618
PAY000435,ORD00296,2021-08-29,Card,Success,4571
PAY000436,ORD00296,2021-08-25,UPI,Success,4571
PAY000437,ORD00297,2024-03-05,COD,Success,1639
PAY000438,ORD00298,2021-05-27,UPI,Success,852
PAY000439,ORD00299,2024-08-16,COD,Success,4058
PAY000440,ORD00299,2024-08-15,UPI,Success,4058
PAY000441,ORD00300,2024-06-10,UPI,Pending,3322
PAY000442,ORD00300,2024-06-10,Card,Success,3322
PAY000443,ORD00301,2025-12-26,COD,Pending,4627
PAY000444,ORD00301,2025-12-28,UPI,Success,4627
PAY000445,ORD00302,2023-08-08,UPI,Success,3348
PAY000446,ORD00302,2023-08-09,UPI,Success,3348
PAY000447,ORD00303,2021-08-11,Card,Success,4171
PAY000448,ORD00303,2021-08-09,COD,Success,4171
PAY000449,ORD00304,2022-03-02,Card,Success,3223
PAY000450,ORD00304,2022-03-02,UPI,Success,3223
PAY000451,ORD00305,2022-09-16,COD,Failed,3305
PAY000452,ORD00305,2022-09-21,COD,Success,3305
PAY000453,ORD00306,2023-09-23,Card,Success,2179
PAY000454,ORD00307,2021-04-09,COD,Success,4848
PAY000455,ORD00307,2021-04-12,Card,Success,4848
PAY000456,ORD00308,2022-03-25,UPI,Success,817
PAY000457,ORD00309,2023-09-22,UPI,Failed,820
PAY000458,ORD00310,2023-02-11,UPI,Success,2112
PAY000459,ORD00310,2023-02-14,COD,Success,2112
PAY000460,ORD00311,2021-01-15,Card,Success,4707
PAY000461,ORD00312,2024-05-08,COD,Failed,1923
PAY000462,ORD00312,2024-05-10,Card,Success,1923
PAY000463,ORD00313,2021-12-31,UPI,Failed,1419
PAY000464,ORD00314,2024-02-17,COD,Success,946
PAY000465,ORD00314,2024-02-16,Card,Success,946
PAY000466,ORD00315,2025-02-13,Card,Success,1066
PAY000467,ORD00315,2025-02-11,Card,Success,1066
PAY000468,ORD00316,2024-02-24,UPI,Success,1827
PAY000469,ORD00316,2024-02-22,COD,Success,1827
PAY000470,ORD00317,2025-02-17,UPI,Success,4538
PAY000471,ORD00317,2025-02-17,UPI,Success,4538
PAY000472,ORD00318,2025-03-12,Card,Success,877
PAY000473,ORD00319,2024-08-31,Card,Success,2525
PAY000474,ORD00320,2022-04-30,UPI,Success,2570
PAY000475,ORD00320,2022-05-03,UPI,Success,2570
PAY000476,ORD00321,2023-06-13,UPI,Success,4584
PAY000477,ORD00322,2024-11-28,Card,Success,3969
PAY000478,ORD00323,2023-09-07,UPI,Failed,3622
PAY000479,ORD00323,2023-09-05,UPI,Failed,3622
PAY000480,ORD00324,2022-07-17,UPI,Failed,4646
PAY000481,ORD00324,2022-07-17,Card,Success,4646
PAY000482,ORD00325,2024-03-08,Card,Success,3683
PAY000483,ORD00325,2024-03-12,COD,Success,3683
PAY000484,ORD00326,2023-06-27,Card,Success,2618
PAY000485,ORD00326,2023-06-27,Card,Success,2618
PAY000486,ORD00327,2023-07-18,UPI,Failed,2693
PAY000487,ORD00328,2021-11-27,COD,Success,3766
