status_id,application_id,status,updated_at
ST00084,APP00021,Approved,2022-09-22
ST00085,APP00022,Submitted,2022-09-03
ST00086,APP00022,Under Review,2022-09-07
ST00087,APP00022,Embassy Review,2022-09-10
ST00088,APP00022,Rejected,2022-09-18
ST00089,APP00023,Submitted,2025-08-02
ST00090,APP00023,Under Review,2025-08-06
ST00091,APP00023,Embassy Review,2025-08-12
ST00092,APP00023,Approved,2025-08-16
ST00093,APP00024,Submitted,2022-12-01
ST00094,APP00024,Under Review,2022-12-04
ST00095,APP00024,Embassy Review,2022-12-09
ST00096,APP00024,Rejected,2022-12-13
ST00097,APP00025,Submitted,2022-05-15
ST00098,APP00025,Under Review,2022-05-22
ST00099,APP00025,Embassy Review,2022-05-26
ST00100,APP00025,Approved,2022-06-02
ST00101,APP00026,Submitted,2023-01-20
ST00102,APP00026,Under Review,2023-01-23
ST00103,APP00026,Embassy Review,2023-01-26
ST00104,APP00026,Rejected,2023-02-03
ST00105,APP00027,Submitted,2023-06-10
ST00106,APP00027,Under Review,2023-06-14
ST00107,APP00027,Embassy Review,2023-06-19
ST00108,APP00027,Rejected,2023-06-29
ST00109,APP00028,Submitted,2022-09-15
ST00110,APP00028,Under Review,2022-09-18
ST00111,APP00028,Embassy Review,2022-09-21
ST00112,APP00028,Approved,2022-09-26
ST00113,APP00029,Submitted,2022-09-22
ST00114,APP00029,Under Review,2022-09-29
ST00115,APP00029,Embassy Review,2022-10-06
ST00116,APP00029,Rejected,2022-10-13
ST00117,APP00030,Submitted,2024-06-30
ST00118,APP00030,Under Review,2024-07-04
ST00119,APP00030,Embassy Review,2024-07-09
ST00120,APP00030,Approved,2024-07-15
ST00121,APP00031,Submitted,2022-08-18
ST00122,APP00031,Under Review,2022-08-24
ST00123,APP00031,Embassy Review,2022-08-28
ST00124,APP00031,Approved,2022-09-05
ST00125,APP00032,Submitted,2022-11-29
ST00126,APP00032,Under Review,2022-12-01
ST00127,APP00032,Embassy Review,2022-12-05
ST00128,APP00032,Rejected,2022-12-15
ST00129,APP00033,Submitted,2022-10-13
ST00130,APP00033,Under Review,2022-10-18
ST00131,APP00033,Embassy Review,2022-10-21
ST00132,APP00033,Approved,2022-10-25
ST00133,APP00034,Submitted,2024-02-09
ST00134,APP00034,Under Review,2024-02-11
ST00135,APP00034,Embassy Review,2024-02-15
ST00136,APP00034,Rejected,2024-02-19
ST00137,APP00035,Submitted,2025-06-16
ST00138,APP00035,Under Review,2025-06-18
ST00139,APP00035,Embassy Review,2025-06-20
ST00140,APP00035,Rejected,2025-06-30
ST00141,APP00036,Submitted,2022-03-11
ST00142,APP00036,Under Review,2022-03-14
ST00143,APP00036,Embassy Review,2022-03-16
ST00144,APP00036,Rejected,2022-03-22
ST00145,APP00037,Submitted,2025-11-19
ST00146,APP00037,Under Review,2025-11-26
ST00147,APP00037,Embassy Review,2025-12-01
ST00148,APP00037,Rejected,2025-12-04
ST00149,APP00038,Submitted,2024-09-24
ST00150,APP00038,Under Review,2024-09-29
ST00151,APP00038,Embassy Review,2024-10-01
ST00152,APP00038,Approved,2024-10-08
ST00153,APP00039,Submitted,2024-01-20
ST00154,APP00039,Under Review,2024-01-22
ST00155,APP00039,Embassy Review,2024-01-27
ST00156,APP00039,Approved,2024-02-01
ST00157,APP00040,Submitted,2025-06-12
ST00158,APP00040,Under Review,2025-06-14
ST00159,APP00040,Embassy Review,2025-06-18
ST00160,APP00040,Approved,2025-06-23
ST00161,APP00041,Submitted,2024-12-22
ST00162,APP00041,Under Review,2024-12-24
ST00163,APP00041,Embassy Review,2024-12-28
ST00164,APP00041,Rejected,2025-01-07
ST00165,APP00042,Submitted,2022-07-27
ST00166,APP00042,Under Review,2022-07-30
ST00167,APP00042,Embassy Review,2022-08-03
ST00168,APP00042,Approved,2022-08-11
ST00169,APP00043,Submitted,2022-08-22
ST00170,APP00043,Under Review,2022-08-27
ST00171,APP00043,Embassy Review,2022-08-29
ST00172,APP00043,Rejected,2022-09-04
ST00173,APP00044,Submitted,2023-03-04
ST00174,APP00044,Under Review,2023-03-08
ST00175,APP00044,Embassy Review,2023-03-15
ST00176,APP00044,Rejected,2023-03-18
ST00177,APP00045,Submitted,2022-05-17
ST00178,APP00045,Under Review,2022-05-22
ST00179,APP00045,Embassy Review,2022-05-28
ST00180,APP00045,Rejected,2022-06-04
ST00181,APP00046,Submitted,2023-06-26
ST00182,APP00046,Under Review,2023-07-01
ST00183,APP00046,Embassy Review,2023-07-05
ST00184,APP00046,Approved,2023-07-14
ST00185,APP00047,Submitted,2024-07-15
ST00186,APP00047,Under Review,2024-07-20
ST00187,APP00047,Embassy Review,2024-07-23
ST00188,APP00047,Approved,2024-08-02
ST00189,APP00048,Submitted,2025-07-25
ST00190,APP00048,Under Review,2025-08-01
ST00191,APP00048,Embassy Review,2025-08-05
ST00192,APP00048,Approved,2025-08-09
ST00193,APP00049,Submitted,2025-02-17
ST00194,APP00049,Under Review,2025-02-21
ST00195,APP00049,Embassy Review,2025-02-27
ST00196,APP00049,Approved,2025-03-03
ST00197,APP00050,Submitted,2022-05-09
ST00198,APP00050,Under Review,2022-05-15
ST00199,APP00050,Embassy Review,2022-05-17
ST00200,APP00050,Rejected,2022-05-24
ST00201,APP00051,Submitted,2024-07-24
ST00202,APP00051,Under Review,2024-07-26
ST00203,APP00051,Embassy Review,2024-08-01
ST00204,APP00051,Rejected,2024-08-05
ST00205,APP00052,Submitted,2022-03-10
ST00206,APP00052,Under Review,2022-03-15
ST00207,APP00052,Embassy Review,2022-03-22
ST00208,APP00052,Approved,2022-03-26
ST00209,APP00053,Submitted,2024-03-27
ST00210,APP00053,Under Review,2024-04-02
ST00211,APP00053,Embassy Review,2024-04-08
ST00212,APP00053,Approved,2024-04-17
ST00213,APP00054,Submitted,2025-04-18
ST00214,APP00054,Under Review,2025-04-21
ST00215,APP00054,Embassy Review,2025-04-23
ST00216,APP00054,Rejected,2025-05-01
ST00217,APP00055,Submitted,2024-11-06
ST00218,APP00055,Under Review,2024-11-09
ST00219,APP00055,Embassy Review,2024-11-14
ST00220,APP00055,Rejected,2024-11-19
ST00221,APP00056,Submitted,2024-06-02
ST00222,APP00056,Under Review,2024-06-05
ST00223,APP00056,Embassy Review,2024-06-10
ST00224,APP00056,Approved,2024-06-14
ST00225,APP00057,Submitted,2025-11-18
ST00226,APP00057,Under Review,2025-11-24
ST00227,APP00057,Embassy Review,2025-11-29
ST00228,APP00057,Rejected,2025-12-03
ST00229,APP00058,Submitted,2023-04-03
ST00230,APP00058,Under Review,2023-04-06
ST00231,APP00058,Embassy Review,2023-04-10
ST00232,APP00058,Rejected,2023-04-14
ST00233,APP00059,Submitted,2023-11-13
ST00234,APP00059,Under Review,2023-11-17
ST00235,APP00059,Embassy Review,2023-11-22
ST00236,APP00059,Rejected,2023-12-01
ST00237,APP00060,Submitted,2025-03-16
ST00238,APP00060,Under Review,2025-03-20
ST00239,APP00060,Embassy Review,2025-03-25
ST00240,APP00060,Rejected,2025-04-02
ST00241,APP00061,Submitted,2022-12-13
ST00242,APP00061,Under Review,2022-12-15
ST00243,APP00061,Embassy Review,2022-12-18
ST00244,APP00061,Approved,2022-12-26
ST00245,APP00062,Submitted,2025-12-23
ST00246,APP00062,Under Review,2025-12-26
ST00247,APP00062,Embassy Review,2026-01-02
ST00248,APP00062,Approved,2026-01-06
ST00249,APP00063,Submitted,2022-12-31
ST00250,APP00063,Under Review,2023-01-03
ST00251,APP00063,Embassy Review,2023-01-06
ST00252,APP00063,Approved,2023-01-15
ST00253,APP00064,Submitted,2024-05-18
ST00254,APP00064,Under Review,2024-05-20
ST00255,APP00064,Embassy Review,2024-05-22
ST00256,APP00064,Rejected,2024-05-27
ST00257,APP00065,Submitted,2025-08-13
ST00258,APP00065,Under Review,2025-08-17
ST00259,APP00065,Embassy Review,2025-08-21
ST00260,APP00065,Approved,2025-08-27
ST00261,APP00066,Submitted,2025-12-03
ST00262,APP00066,Under Review,2025-12-08
ST00263,APP00066,Embassy Review,2025-12-10
ST00264,APP00066,Approved,2025-12-15
ST00265,APP00067,Submitted,2025-05-16
ST00266,APP00067,Under Review,2025-05-23
ST00267,APP00067,Embassy Review,2025-05-29
ST00268,APP00067,Approved,2025-06-02
ST00269,APP00068,Submitted,2022-08-13
ST00270,APP00068,Under Review,2022-08-18
ST00271,APP00068,Embassy Review,2022-08-20
ST00272,APP00068,Rejected,2022-08-26
ST00273,APP00069,Submitted,2023-08-16
ST00274,APP00069,Under Review,2023-08-21
ST00275,APP00069,Embassy Review,2023-08-27
ST00276,APP00069,Approved,2023-09-03
ST00277,APP00070,Submitted,2023-03-07
ST00278,APP00070,Under Review,2023-03-14
ST00279,APP00070,Embassy Review,2023-03-21
ST00280,APP00070,Approved,2023-03-31
ST00281,APP00071,Submitted,2024-12-07
ST00282,APP00071,Under Review,2024-12-14
ST00283,APP00071,Embassy Review,2024-12-20
ST00284,APP00071,Rejected,2024-12-24
ST00285,APP00072,Submitted,2022-11-17
ST00286,APP00072,Under Review,2022-11-22
ST00287,APP00072,Embassy Review,2022-11-27
ST00288,APP00072,Rejected,2022-12-03
ST00289,APP00073,Submitted,2024-06-16
ST00290,APP00073,Under Review,2024-06-20
ST00291,APP00073,Embassy Review,2024-06-26
ST00292,APP00073,Approved,2024-07-04
ST00293,APP00074,Submitted,2025-08-09
ST00294,APP00074,Under Review,2025-08-14
ST00295,APP00074,Embassy Review,2025-08-20
ST00296,APP00074,Approved,2025-08-27
ST00297,APP00075,Submitted,2025-05-22
ST00298,APP00075,Under Review,2025-05-25
ST00299,APP00075,Embassy Review,2025-05-28
ST00300,APP00075,Rejected,2025-06-07
ST00301,APP00076,Submitted,2024-09-30
ST00302,APP00076,Under Review,2024-10-04
ST00303,APP00076,Embassy Review,2024-10-10
ST00304,APP00076,Rejected,2024-10-19
ST00305,APP00077,Submitted,2023-12-25
ST00306,APP00077,Under Review,2023-12-30
ST00307,APP00077,Embassy Review,2024-01-05
ST00308,APP00077,Approved,2024-01-13
ST00309,APP00078,Submitted,2024-06-01
ST00310,APP00078,Under Review,2024-06-06
ST00311,APP00078,Embassy Review,2024-06-11
ST00312,APP00078,Rejected,2024-06-19
ST00313,APP00079,Submitted,2022-09-08
ST00314,APP00079,Under Review,2022-09-14
ST00315,APP00079,Embassy Review,2022-09-19
ST00316,APP00079,Approved,2022-09-28
ST00317,APP00080,Submitted,2025-04-29
ST00318,APP00080,Under Review,2025-05-05
ST00319,APP00080,Embassy Review,2025-05-09
ST00320,APP00080,Approved,2025-05-12
ST00321,APP00081,Submitted,2023-08-30
ST00322,APP00081,Under Review,2023-09-02
ST00323,APP00081,Embassy Review,2023-09-04
ST00324,APP00081,Rejected,2023-09-13
ST00325,APP00082,Submitted,2024-11-12
ST00326,APP00082,Under Review,2024-11-17
ST00327,APP00082,Embassy Review,2024-11-20
ST00328,APP00082,Rejected,2024-11-27
ST00329,APP00083,Submitted,2023-12-31
ST00330,APP00083,Under Review,2024-01-06
ST00331,APP00083,Embassy Review,2024-01-12
ST00332,APP00083,Rejected,2024-01-18
ST00333,APP00084,Submitted,2025-07-15
ST00334,APP00084,Under Review,2025-07-20
ST00335,APP00084,Embassy Review,2025-07-26
ST00336,APP00084,Rejected,2025-07-30
ST00337,APP00085,Submitted,2025-12-02
ST00338,APP00085,Under Review,2025-12-09
ST00339,APP00085,Embassy Review,2025-12-14
ST00340,APP00085,Rejected,2025-12-22
ST00341,APP00086,Submitted,2025-07-09
ST00342,APP00086,Under Review,2025-07-16
ST00343,APP00086,Embassy Review,2025-07-18
ST00344,APP00086,Rejected,2025-07-28
ST00345,APP00087,Submitted,2022-03-20
ST00346,APP00087,Under Review,2022-03-23
ST00347,APP00087,Embassy Review,2022-03-30
ST00348,APP00087,Rejected,2022-04-03
ST00349,APP00088,Submitted,2023-06-06
ST00350,APP00088,Under Review,2023-06-11
ST00351,APP00088,Embassy Review,2023-06-16
ST00352,APP00088,Approved,2023-06-26
ST00353,APP00089,Submitted,2024-01-13
ST00354,APP00089,Under Review,2024-01-18
ST00355,APP00089,Embassy Review,2024-01-25
ST00356,APP00089,Rejected,2024-02-03
ST00357,APP00090,Submitted,2025-11-29
ST00358,APP00090,Under Review,2025-12-03
ST00359,APP00090,Embassy Review,2025-12-06
ST00360,APP00090,Rejected,2025-12-14
ST00361,APP00091,Submitted,2022-09-21
ST00362,APP00091,Under Review,2022-09-27
ST00363,APP00091,Embassy Review,2022-09-29
ST00364,APP00091,Rejected,2022-10-05
ST00365,APP00092,Submitted,2023-05-08
ST00366,APP00092,Under Review,2023-05-10
ST00367,APP00092,Embassy Review,2023-05-13
ST00368,APP00092,Approved,2023-05-16
ST00369,APP00093,Submitted,2022-10-06
ST00370,APP00093,Under Review,2022-10-12
ST00371,APP00093,Embassy Review,2022-10-19
ST00372,APP00093,Rejected,2022-10-29
ST00373,APP00094,Submitted,2025-04-24
ST00374,APP00094,Under Review,2025-05-01
ST00375,APP00094,Embassy Review,2025-05-03
ST00376,APP00094,Rejected,2025-05-10
ST00377,APP00095,Submitted,2025-11-10
ST00378,APP00095,Under Review,2025-11-16
ST00379,APP00095,Embassy Review,2025-11-21
ST00380,APP00095,Rejected,2025-11-24
ST00381,APP00096,Submitted,2023-05-31
ST00382,APP00096,Under Review,2023-06-07
ST00383,APP00096,Embassy Review,2023-06-10
ST00384,APP00096,Rejected,2023-06-17
ST00385,APP00097,Submitted,2025-08-11
ST00386,APP00097,Under Review,2025-08-14
ST00387,APP00097,Embassy Review,2025-08-21
ST00388,APP00097,Approved,2025-08-24
ST00389,APP00098,Submitted,2024-08-28
ST00390,APP00098,Under Review,2024-09-01
ST00391,APP00098,Embassy Review,2024-09-03
ST00392,APP00098,Rejected,2024-09-09
ST00393,APP00099,Submitted,2023-06-05
ST00394,APP00099,Under Review,2023-06-07
ST00395,APP00099,Embassy Review,2023-06-14
ST00396,APP00099,Approved,2023-06-20
ST00397,APP00100,Submitted,2023-01-03
ST00398,APP00100,Under Review,2023-01-10
ST00399,APP00100,Embassy Review,2023-01-13
ST00400,APP00100,Rejected,2023-01-17
ST00401,APP00101,Submitted,2023-02-12
ST00402,APP00101,Under Review,2023-02-17
ST00403,APP00101,Embassy Review,2023-02-20
ST00404,APP00101,Approved,2023-03-01
ST00405,APP00102,Submitted,2025-01-01
ST00406,APP00102,Under Review,2025-01-06
ST00407,APP00102,Embassy Review,2025-01-12
ST00408,APP00102,Rejected,2025-01-20
ST00409,APP00103,Submitted,2023-08-10
ST00410,APP00103,Under Review,2023-08-17
ST00411,APP00103,Embassy Review,2023-08-22
ST00412,APP00103,Approved,2023-08-27
ST00413,APP00104,Submitted,2024-02-20
ST00414,APP00104,Under Review,2024-02-24
ST00415,APP00104,Embassy Review,2024-02-27
ST00416,APP00104,Rejected,2024-03-02
ST00417,APP00105,Submitted,2022-07-09
ST00418,APP00105,Under Review,2022-07-13
ST00419,APP00105,Embassy Review,2022-07-16
ST00420,APP00105,Rejected,2022-07-19
ST00421,APP00106,Submitted,2023-12-09
ST00422,APP00106,Under Review,2023-12-15
ST00423,APP00106,Embassy Review,2023-12-19
ST00424,APP00106,Approved,2023-12-24
ST00425,APP00107,Submitted,2022-10-11
ST00426,APP00107,Under Review,2022-10-14
ST00427,APP00107,Embassy Review,2022-10-18
ST00428,APP00107,Approved,2022-10-23
ST00429,APP00108,Submitted,2022-01-21
ST00430,APP00108,Under Review,2022-01-23
ST00431,APP00108,Embassy Review,2022-01-28
ST00432,APP00108,Approved,2022-02-03
ST00433,APP00109,Submitted,2022-12-03
ST00434,APP00109,Under Review,2022-12-10
ST00435,APP00109,Embassy Review,2022-12-14
ST00436,APP00109,Rejected,2022-12-20
ST00437,APP00110,Submitted,2024-02-15
ST00438,APP00110,Under Review,2024-02-20
ST00439,APP00110,Embassy Review,2024-02-22
ST00440,APP00110,Rejected,2024-02-25
ST00441,APP00111,Submitted,2022-01-25
ST00442,APP00111,Under Review,2022-01-27
ST00443,APP00111,Embassy Review,2022-01-30
ST00444,APP00111,Approved,2022-02-05
ST00445,APP00112,Submitted,2023-06-01
ST00446,APP00112,Under Review,2023-06-05
ST00447,APP00112,Embassy Review,2023-06-08
ST00448,APP00112,Approved,2023-06-14
ST00449,APP00113,Submitted,2022-05-04
ST00450,APP00113,Under Review,2022-05-09
ST00451,APP00113,Embassy Review,2022-05-13
ST00452,APP00113,Rejected,2022-05-17
ST00453,APP00114,Submitted,2022-10-13
ST00454,APP00114,Under Review,2022-10-20
ST00455,APP00114,Embassy Review,2022-10-22
ST00456,APP00114,Approved,2022-10-27
ST00457,APP00115,Submitted,2022-04-07
ST00458,APP00115,Under Review,2022-04-10
ST00459,APP00115,Embassy Review,2022-04-17
ST00460,APP00115,Approved,2022-04-21
ST00461,APP00116,Submitted,2024-03-18
ST00462,APP00116,Under Review,2024-03-21
ST00463,APP00116,Embassy Review,2024-03-24
ST00464,APP00116,Rejected,2024-03-29
ST00465,APP00117,Submitted,2023-05-07
ST00466,APP00117,Under Review,2023-05-11
ST00467,APP00117,Embassy Review,2023-05-13
ST00468,APP00117,Approved,2023-05-23
ST00469,APP00118,Submitted,2022-02-11
ST00470,APP00118,Under Review,2022-02-15
ST00471,APP00118,Embassy Review,2022-02-20
ST00472,APP00118,Approved,2022-03-02
ST00473,APP00119,Submitted,2024-12-03
ST00474,APP00119,Under Review,2024-12-10
ST00475,APP00119,Embassy Review,2024-12-13
ST00476,APP00119,Approved,2024-12-21
ST00477,APP00120,Submitted,2024-04-04
ST00478,APP00120,Under Review,2024-04-09
ST00479,APP00120,Embassy Review,2024-04-11
ST00480,APP00120,Rejected,2024-04-20
ST00481,APP00121,Submitted,2024-01-27
ST00482,APP00121,Under Review,2024-01-29
ST00483,APP00121,Embassy Review,2024-02-01
ST00484,APP00121,Rejected,2024-02-11
ST00485,APP00122,Submitted,2022-11-25
ST00486,APP00122,Under Review,2022-11-28
ST00487,APP00122,Embassy Review,2022-12-02
ST00488,APP00122,Approved,2022-12-05
ST00489,APP00123,Submitted,2022-04-05
ST00490,APP00123,Under Review,2022-04-12
ST00491,APP00123,Embassy Review,2022-04-16
ST00492,APP00123,Approved,2022-04-25
ST00493,APP00124,Submitted,2022-11-10
ST00494,APP00124,Under Review,2022-11-14
ST00495,APP00124,Embassy Review,2022-11-18
ST00496,APP00124,Approved,2022-11-24
ST00497,APP00125,Submitted,2022-11-27
ST00498,APP00125,Under Review,2022-12-03
ST00499,APP00125,Embassy Review,2022-12-06
ST00500,APP00125,Approved,2022-12-16
ST00501,APP00126,Submitted,2025-12-07
ST00502,APP00126,Under Review,2025-12-12
ST00503,APP00126,Embassy Review,2025-12-16
ST00504,APP00126,Rejected,2025-12-19
ST00505,APP00127,Submitted,2024-09-19
ST00506,APP00127,Under Review,2024-09-24
ST00507,APP00127,Embassy Review,2024-09-30
ST00508,APP00127,Approved,2024-10-09
ST00509,APP00128,Submitted,2025-01-09
ST00510,APP00128,Under Review,2025-01-13
ST00511,APP00128,Embassy Review,2025-01-18
ST00512,APP00128,Approved,2025-01-22
ST00513,APP00129,Submitted,2024-05-26
ST00514,APP00129,Under Review,2024-06-02
ST00515,APP00129,Embassy Review,2024-06-08
ST00516,APP00129,Rejected,2024-06-15
ST00517,APP00130,Submitted,2024-09-21
ST00518,APP00130,Under Review,2024-09-25
ST00519,APP00130,Embassy Review,2024-10-01
ST00520,APP00130,Rejected,2024-10-07
ST00521,APP00131,Submitted,2025-10-11
ST00522,APP00131,Under Review,2025-10-13
ST00523,APP00131,Embassy Review,2025-10-20
ST00524,APP00131,Approved,2025-10-27
ST00525,APP00132,Submitted,2024-05-08
ST00526,APP00132,Under Review,2024-05-11
ST00527,APP00132,Embassy Review,2024-05-13
ST00528,APP00132,Rejected,2024-05-16
ST00529,APP00133,Submitted,2022-05-08
ST00530,APP00133,Under Review,2022-05-13
ST00531,APP00133,Embassy Review,2022-05-16
ST00532,APP00133,Approved,2022-05-21
ST00533,APP00134,Submitted,2024-10-10
ST00534,APP00134,Under Review,2024-10-16
ST00535,APP00134,Embassy Review,2024-10-21
ST00536,APP00134,Rejected,2024-10-24
ST00537,APP00135,Submitted,2024-01-23
ST00538,APP00135,Under Review,2024-01-26
ST00539,APP00135,Embassy Review,2024-02-02
ST00540,APP00135,Approved,2024-02-08
ST00541,APP00136,Submitted,2025-03-20
ST00542,APP00136,Under Review,2025-03-24
ST00543,APP00136,Embassy Review,2025-03-28
ST00544,APP00136,Rejected,2025-03-31
ST00545,APP00137,Submitted,2022-02-14
ST00546,APP00137,Under Review,2022-02-18
ST00547,APP00137,Embassy Review,2022-02-20
ST00548,APP00137,Rejected,2022-02-28
ST00549,APP00138,Submitted,2022-08-22
ST00550,APP00138,Under Review,2022-08-26
ST00551,APP00138,Embassy Review,2022-09-01
ST00552,APP00138,Rejected,2022-09-05
ST00553,APP00139,Submitted,2022-02-07
ST00554,APP00139,Under Review,2022-02-12
ST00555,APP00139,Embassy Review,2022-02-18
ST00556,APP00139,Rejected,2022-02-24
ST00557,APP00140,Submitted,2023-05-07
ST00558,APP00140,Under Review,2023-05-10
ST00559,APP00140,Embassy Review,2023-05-16
ST00560,APP00140,Rejected,2023-05-22
ST00561,APP00141,Submitted,2023-08-13
ST00562,APP00141,Under Review,2023-08-17
ST00563,APP00141,Embassy Review,2023-08-22
ST00564,APP00141,Approved,2023-08-30
ST00565,APP00142,Submitted,2023-06-30
ST00566,APP00142,Under Review,2023-07-03
ST00567,APP00142,Embassy Review,2023-07-10
ST00568,APP00142,Rejected,2023-07-20
ST00569,APP00143,Submitted,2022-04-12
ST00570,APP00143,Under Review,2022-04-17
ST00571,APP00143,Embassy Review,2022-04-24
ST00572,APP00143,Approved,2022-05-01
ST00573,APP00144,Submitted,2023-07-16
ST00574,APP00144,Under Review,2023-07-20
ST00575,APP00144,Embassy Review,2023-07-25
ST00576,APP00144,Approved,2023-07-29
ST00577,APP00145,Submitted,2023-09-19
ST00578,APP00145,Under Review,2023-09-24
ST00579,APP00145,Embassy Review,2023-09-30
ST00580,APP00145,Rejected,2023-10-10
ST00581,APP00146,Submitted,2025-06-07
ST00582,APP00146,Under Review,2025-06-14
ST00583,APP00146,Embassy Review,2025-06-17
ST00584,APP00146,Approved,2025-06-25
ST00585,APP00147,Submitted,2024-03-31
ST00586,APP00147,Under Review,2024-04-06
ST00587,APP00147,Embassy Review,2024-04-11
ST00588,APP00147,Rejected,2024-04-15
ST00589,APP00148,Submitted,2025-02-13
ST00590,APP00148,Under Review,2025-02-16
ST00591,APP00148,Embassy Review,2025-02-19
ST00592,APP00148,Rejected,2025-02-24
ST00593,APP00149,Submitted,2025-12-26
ST00594,APP00149,Under Review,2025-12-31
ST00595,APP00149,Embassy Review,2026-01-02
ST00596,APP00149,Rejected,2026-01-10
ST00597,APP00150,Submitted,2024-01-09
ST00598,APP00150,Under Review,2024-01-13
ST00599,APP00150,Embassy Review,2024-01-18
ST00600,APP00150,Rejected,2024-01-25
ST00601,APP00151,Submitted,2025-11-05
ST00602,APP00151,Under Review,2025-11-09
ST00603,APP00151,Embassy Review,2025-11-14
ST00604,APP00151,Approved,2025-11-17
ST00605,APP00152,Submitted,2022-10-11
ST00606,APP00152,Under Review,2022-10-13
ST00607,APP00152,Embassy Review,2022-10-15
ST00608,APP00152,Approved,2022-10-20
ST00609,APP00153,Submitted,2023-12-28
ST00610,APP00153,Under Review,2024-01-03
ST00611,APP00153,Embassy Review,2024-01-05
ST00612,APP00153,Rejected,2024-01-10
ST00613,APP00154,Submitted,2024-06-22
ST00614,APP00154,Under Review,2024-06-27
ST00615,APP00154,Embassy Review,2024-07-04
ST00616,APP00154,Rejected,2024-07-11
ST00617,APP00155,Submitted,2024-12-10
ST00618,APP00155,Under Review,2024-12-12
ST00619,APP00155,Embassy Review,2024-12-15
ST00620,APP00155,Approved,2024-12-24
ST00621,APP00156,Submitted,2022-01-20
ST00622,APP00156,Under Review,2022-01-26
ST00623,APP00156,Embassy Review,2022-02-02
ST00624,APP00156,Rejected,2022-02-11
