application_id,applicant_id,visa_type,destination_country,application_date,travel_date,duration_days,application_status
APP00027,A0012,Business,France,2023-06-10,2023-08-09,46,Approved
APP00028,A0012,Student,Canada,2022-09-15,2022-11-14,634,Approved
APP00029,A0012,Student,USA,2022-09-22,2022-10-22,593,Approved
APP00030,A0012,Tourist,Belgium,2024-06-30,2024-08-29,25,Approved
APP00031,A0013,Student,South Korea,2022-08-18,2022-09-02,222,Approved
APP00032,A0013,Work,USA,2022-11-29,2023-01-28,267,Pending
APP00033,A0013,Work,Singapore,2022-10-13,2022-10-28,299,Pending
APP00034,A0013,Student,Japan,2024-02-09,2024-03-25,461,Approved
APP00035,A0014,Student,Spain,2025-06-16,2025-07-01,550,Pending
APP00036,A0014,Student,UAE,2022-03-11,2022-04-10,447,Rejected
APP00037,A0015,Transit,New Zealand,2025-11-19,2026-02-17,4,Pending
APP00038,A0015,Business,Belgium,2024-09-24,2024-10-09,58,Approved
APP00039,A0015,Tourist,USA,2024-01-20,2024-03-05,20,Pending
APP00040,A0016,Tourist,South Korea,2025-06-12,2025-08-11,15,Pending
APP00041,A0016,Student,Australia,2024-12-22,2025-03-22,237,Approved
APP00042,A0016,Tourist,Japan,2022-07-27,2022-08-26,26,Approved
APP00043,A0016,Student,Switzerland,2022-08-22,2022-09-06,202,Approved
APP00044,A0017,Student,Belgium,2023-03-04,2023-06-02,224,Pending
APP00045,A0017,Transit,Switzerland,2022-05-17,2022-06-01,3,Rejected
APP00046,A0017,Work,New Zealand,2023-06-26,2023-08-25,357,Rejected
APP00047,A0017,Student,Netherlands,2024-07-15,2024-10-13,472,Approved
APP00048,A0018,Transit,Denmark,2025-07-25,2025-08-09,5,Pending
APP00049,A0018,Business,Spain,2025-02-17,2025-03-04,28,Pending
APP00050,A0018,Transit,UK,2022-05-09,2022-05-24,2,Rejected
APP00051,A0018,Work,Canada,2024-07-24,2024-09-07,193,Rejected
APP00052,A0019,Student,Spain,2022-03-10,2022-04-09,679,Rejected
APP00053,A0020,Tourist,Germany,2024-03-27,2024-04-11,15,Approved
APP00054,A0020,Student,Germany,2025-04-18,2025-05-18,569,Rejected
APP00055,A0021,Work,Germany,2024-11-06,2025-02-04,111,Rejected
APP00056,A0021,Tourist,Sweden,2024-06-02,2024-08-01,21,Approved
APP00057,A0022,Work,Sweden,2025-11-18,2026-01-17,186,Rejected
APP00058,A0022,Student,Netherlands,2023-04-03,2023-05-03,667,Approved
APP00059,A0023,Work,Belgium,2023-11-13,2023-12-13,181,Pending
APP00060,A0023,Tourist,South Korea,2025-03-16,2025-05-15,26,Approved
APP00061,A0023,Student,France,2022-12-13,2023-02-11,456,Approved
APP00062,A0024,Business,Sweden,2025-12-23,2026-01-07,33,Pending
APP00063,A0025,Student,New Zealand,2022-12-31,2023-01-30,455,Approved
APP00064,A0025,Work,Netherlands,2024-05-18,2024-07-02,355,Approved
APP00065,A0026,Transit,Austria,2025-08-13,2025-09-27,2,Pending
APP00066,A0026,Tourist,New Zealand,2025-12-03,2025-12-18,23,Approved
APP00067,A0027,Student,Japan,2025-05-16,2025-07-15,432,Rejected
APP00068,A0027,Student,South Korea,2022-08-13,2022-08-28,456,Pending
APP00069,A0027,Business,Austria,2023-08-16,2023-10-15,20,Approved
APP00070,A0028,Business,South Korea,2023-03-07,2023-04-21,12,Approved
APP00071,A0028,Student,Switzerland,2024-12-07,2025-02-05,340,Rejected
APP00072,A0028,Transit,UAE,2022-11-17,2023-01-16,2,Rejected
APP00073,A0028,Work,Japan,2024-06-16,2024-07-31,307,Rejected
APP00074,A0029,Business,USA,2025-08-09,2025-10-08,55,Pending
APP00075,A0029,Tourist,Spain,2025-05-22,2025-06-21,26,Rejected
APP00076,A0029,Tourist,Netherlands,2024-09-30,2024-11-14,8,Approved
APP00077,A0029,Student,USA,2023-12-25,2024-02-08,531,Approved
APP00078,A0030,Transit,Sweden,2024-06-01,2024-07-01,5,Approved
APP00079,A0030,Business,Japan,2022-09-08,2022-12-07,10,Approved
APP00080,A0030,Student,Australia,2025-04-29,2025-05-29,589,Pending
APP00081,A0030,Business,Austria,2023-08-30,2023-11-28,44,Rejected
APP00082,A0031,Student,USA,2024-11-12,2025-02-10,591,Approved
APP00083,A0031,Work,Italy,2023-12-31,2024-03-30,332,Approved
APP00084,A0031,Work,Canada,2025-07-15,2025-10-13,221,Rejected
APP00085,A0031,Transit,Italy,2025-12-02,2026-01-01,3,Approved
APP00086,A0032,Tourist,Italy,2025-07-09,2025-07-24,20,Approved
APP00087,A0032,Transit,Switzerland,2022-03-20,2022-04-19,5,Rejected
APP00088,A0033,Student,Switzerland,2023-06-06,2023-09-04,399,Pending
APP00089,A0033,Work,South Korea,2024-01-13,2024-01-28,99,Rejected
APP00090,A0033,Work,South Korea,2025-11-29,2026-02-27,321,Approved
APP00091,A0033,Student,South Korea,2022-09-21,2022-12-20,191,Approved
APP00092,A0034,Tourist,Italy,2023-05-08,2023-06-22,17,Approved
APP00093,A0034,Student,Singapore,2022-10-06,2022-12-05,188,Approved
APP00094,A0034,Business,New Zealand,2025-04-24,2025-07-23,27,Rejected
APP00095,A0034,Tourist,New Zealand,2025-11-10,2026-02-08,6,Rejected
APP00096,A0035,Work,Belgium,2023-05-31,2023-06-30,247,Pending
APP00097,A0035,Transit,Norway,2025-08-11,2025-09-25,2,Approved
APP00098,A0036,Business,South Korea,2024-08-28,2024-11-26,53,Approved
APP00099,A0036,Transit,Australia,2023-06-05,2023-08-04,3,Rejected
APP00100,A0036,Transit,Germany,2023-01-03,2023-04-03,5,Pending
APP00101,A0036,Transit,Singapore,2023-02-12,2023-05-13,5,Approved
APP00102,A0037,Work,Austria,2025-01-01,2025-01-16,347,Approved
APP00103,A0037,Tourist,Norway,2023-08-10,2023-09-09,27,Approved
APP00104,A0037,Transit,UAE,2024-02-20,2024-03-06,4,Approved
APP00105,A0037,Student,USA,2022-07-09,2022-08-23,303,Rejected
APP00106,A0038,Business,Germany,2023-12-09,2024-03-08,45,Pending
APP00107,A0038,Business,UK,2022-10-11,2022-11-25,41,Pending
APP00108,A0038,Student,Netherlands,2022-01-21,2022-04-21,544,Rejected
APP00109,A0039,Work,UAE,2022-12-03,2023-01-02,165,Approved
APP00110,A0039,Work,South Korea,2024-02-15,2024-03-16,188,Approved
APP00111,A0039,Tourist,Spain,2022-01-25,2022-04-25,12,Approved
APP00112,A0039,Business,Netherlands,2023-06-01,2023-08-30,60,Rejected
APP00113,A0040,Tourist,Spain,2022-05-04,2022-06-18,30,Approved
APP00114,A0040,Student,Germany,2022-10-13,2022-12-12,636,Rejected
APP00115,A0040,Business,Germany,2022-04-07,2022-05-22,46,Approved
APP00116,A0041,Transit,Singapore,2024-03-18,2024-06-16,2,Rejected
APP00117,A0041,Work,Singapore,2023-05-07,2023-05-22,264,Rejected
APP00118,A0042,Business,USA,2022-02-11,2022-04-12,7,Rejected
APP00119,A0043,Work,Canada,2024-12-03,2025-02-01,358,Rejected
APP00120,A0043,Transit,Switzerland,2024-04-04,2024-06-03,1,Approved
APP00121,A0043,Business,Denmark,2024-01-27,2024-04-26,32,Rejected
APP00122,A0043,Tourist,South Korea,2022-11-25,2023-02-23,12,Approved
APP00123,A0044,Transit,South Korea,2022-04-05,2022-05-05,3,Approved
APP00124,A0044,Business,UK,2022-11-10,2022-12-25,43,Rejected
APP00125,A0045,Business,USA,2022-11-27,2022-12-27,40,Pending
APP00126,A0045,Business,Japan,2025-12-07,2026-02-05,17,Pending
APP00127,A0045,Business,Spain,2024-09-19,2024-11-03,20,Approved
APP00128,A0046,Transit,Switzerland,2025-01-09,2025-02-08,5,Approved
APP00129,A0046,Tourist,Italy,2024-05-26,2024-07-25,6,Pending
APP00130,A0046,Student,South Korea,2024-09-21,2024-10-06,208,Rejected
APP00131,A0046,Tourist,UK,2025-10-11,2025-11-25,26,Approved
APP00132,A0047,Student,New Zealand,2024-05-08,2024-06-22,480,Rejected
APP00133,A0047,Tourist,Sweden,2022-05-08,2022-05-23,22,Pending
APP00134,A0048,Transit,UK,2024-10-10,2024-10-25,2,Rejected
APP00135,A0049,Tourist,Singapore,2024-01-23,2024-02-07,10,Rejected
APP00136,A0049,Work,Canada,2025-03-20,2025-06-18,315,Approved
APP00137,A0050,Tourist,Denmark,2022-02-14,2022-03-31,8,Pending
APP00138,A0051,Transit,Germany,2022-08-22,2022-10-21,5,Rejected
APP00139,A0051,Student,Norway,2022-02-07,2022-05-08,384,Approved
APP00140,A0052,Tourist,Netherlands,2023-05-07,2023-08-05,24,Approved
APP00141,A0053,Student,UK,2023-08-13,2023-11-11,396,Approved
APP00142,A0053,Transit,Japan,2023-06-30,2023-07-30,3,Pending
APP00143,A0053,Work,Austria,2022-04-12,2022-04-27,132,Pending
APP00144,A0053,Business,Japan,2023-07-16,2023-09-14,49,Rejected
APP00145,A0054,Business,South Korea,2023-09-19,2023-12-18,60,Rejected
APP00146,A0055,Transit,Sweden,2025-06-07,2025-08-06,5,Rejected
APP00147,A0056,Work,Germany,2024-03-31,2024-06-29,257,Rejected
APP00148,A0057,Tourist,UAE,2025-02-13,2025-02-28,14,Pending
APP00149,A0058,Tourist,Austria,2025-12-26,2026-02-24,7,Pending
APP00150,A0058,Tourist,Germany,2024-01-09,2024-04-08,27,Approved
APP00151,A0058,Tourist,South Korea,2025-11-05,2025-12-05,17,Approved
APP00152,A0058,Tourist,Norway,2022-10-11,2023-01-09,6,Approved
APP00153,A0059,Student,USA,2023-12-28,2024-01-12,300,Rejected
APP00154,A0060,Student,New Zealand,2024-06-22,2024-09-20,655,Rejected
APP00155,A0061,Tourist,Singapore,2024-12-10,2025-01-24,23,Rejected
APP00156,A0061,Transit,UK,2022-01-20,2022-02-19,4,Pending
APP00157,A0061,Transit,Singapore,2024-01-17,2024-02-16,3,Approved
APP00158,A0062,Work,Australia,2022-02-24,2022-05-25,155,Rejected
APP00159,A0062,Student,UAE,2023-09-05,2023-12-04,556,Approved
APP00160,A0063,Transit,UK,2025-06-05,2025-07-05,1,Approved
APP00161,A0063,Business,Australia,2023-11-28,2024-02-26,57,Approved
APP00162,A0063,Student,USA,2022-06-25,2022-08-24,283,Approved
APP00163,A0063,Work,Austria,2023-09-10,2023-10-10,275,Rejected
APP00164,A0064,Tourist,UK,2023-06-10,2023-09-08,28,Approved
APP00165,A0064,Work,Belgium,2025-10-26,2026-01-24,187,Rejected
APP00166,A0065,Work,Australia,2023-05-30,2023-07-14,108,Rejected
APP00167,A0065,Business,Singapore,2024-01-03,2024-04-02,48,Rejected
APP00168,A0065,Transit,Australia,2024-09-29,2024-11-13,5,Approved
APP00169,A0066,Transit,France,2025-05-15,2025-07-14,4,Rejected
APP00170,A0066,Work,Sweden,2025-02-19,2025-04-05,228,Rejected
APP00171,A0066,Work,Singapore,2025-07-18,2025-08-02,118,Approved
APP00172,A0067,Business,Austria,2025-01-14,2025-03-15,45,Pending
APP00173,A0067,Student,New Zealand,2024-06-27,2024-07-12,400,Rejected
APP00174,A0068,Business,Australia,2024-03-02,2024-04-16,57,Rejected
APP00175,A0068,Work,New Zealand,2023-10-11,2023-10-26,112,Pending
APP00176,A0068,Student,Italy,2024-07-31,2024-08-30,509,Rejected
APP00177,A0068,Tourist,Italy,2023-06-17,2023-09-15,12,Approved
APP00178,A0069,Business,Australia,2023-02-02,2023-05-03,56,Rejected
APP00179,A0070,Student,Australia,2023-12-19,2024-03-18,524,Approved
APP00180,A0070,Tourist,Sweden,2025-08-30,2025-11-28,26,Pending
APP00181,A0070,Work,Germany,2025-08-12,2025-09-26,182,Approved
APP00182,A0071,Transit,UAE,2023-10-06,2023-11-20,1,Rejected
APP00183,A0071,Business,Belgium,2022-08-20,2022-10-19,10,Approved
APP00184,A0071,Tourist,UAE,2025-12-31,2026-01-15,10,Approved
APP00185,A0072,Tourist,UK,2023-02-14,2023-04-15,15,Rejected
APP00186,A0072,Business,UAE,2023-12-30,2024-01-14,44,Pending
APP00187,A0073,Tourist,Austria,2022-10-14,2022-11-13,29,Rejected
APP00188,A0073,Transit,New Zealand,2022-12-31,2023-02-14,3,Rejected
APP00189,A0074,Student,Germany,2025-05-04,2025-05-19,434,Approved
APP00190,A0074,Student,New Zealand,2023-08-19,2023-10-03,619,Rejected
APP00191,A0074,Business,Singapore,2023-08-18,2023-10-17,57,Approved
APP00192,A0074,Business,Canada,2024-06-23,2024-07-23,7,Approved
APP00193,A0075,Work,Austria,2024-04-03,2024-05-18,339,Rejected
APP00194,A0075,Work,USA,2024-10-23,2024-11-07,96,Rejected
APP00195,A0075,Work,Belgium,2023-09-16,2023-10-01,168,Approved
APP00196,A0076,Business,Netherlands,2025-05-08,2025-07-07,20,Rejected
APP00197,A0076,Student,Austria,2024-06-27,2024-07-27,259,Pending
APP00198,A0077,Transit,South Korea,2023-02-06,2023-05-07,5,Approved
APP00199,A0078,Business,Spain,2023-07-23,2023-09-06,10,Approved
APP00200,A0079,Transit,USA,2025-01-02,2025-04-02,2,Rejected
APP00201,A0079,Tourist,Switzerland,2024-02-20,2024-04-05,9,Pending
APP00202,A0079,Transit,Belgium,2024-08-16,2024-11-14,3,Approved
APP00203,A0080,Transit,Italy,2024-10-30,2024-11-29,3,Pending
APP00204,A0080,Work,Japan,2023-06-29,2023-07-29,337,Rejected
APP00205,A0081,Work,South Korea,2023-01-10,2023-02-09,361,Rejected
APP00206,A0081,Student,USA,2022-09-15,2022-10-30,609,Approved
APP00207,A0082,Student,Austria,2023-09-25,2023-10-10,293,Pending
APP00208,A0082,Tourist,New Zealand,2024-09-03,2024-09-18,25,Approved
APP00209,A0082,Business,New Zealand,2023-05-08,2023-06-22,59,Rejected
APP00210,A0083,Tourist,Australia,2025-06-25,2025-07-10,13,Approved
APP00211,A0083,Business,Sweden,2025-02-22,2025-05-23,8,Approved
APP00212,A0083,Tourist,Norway,2025-06-16,2025-07-16,12,Pending
APP00213,A0083,Transit,Sweden,2022-06-10,2022-07-10,5,Rejected
APP00214,A0084,Student,Netherlands,2022-11-05,2022-11-20,370,Approved
APP00215,A0085,Work,Italy,2023-03-18,2023-04-02,91,Approved
APP00216,A0085,Transit,Norway,2025-01-06,2025-02-20,4,Rejected
APP00217,A0086,Transit,Norway,2023-10-10,2023-11-09,2,Pending
APP00218,A0086,Work,Belgium,2022-11-05,2022-11-20,137,Approved
APP00219,A0086,Work,UK,2024-04-03,2024-04-18,304,Pending
APP00220,A0086,Business,Spain,2023-03-13,2023-03-28,45,Rejected
APP00221,A0087,Tourist,Australia,2025-05-10,2025-07-09,16,Pending
APP00222,A0087,Transit,UK,2025-05-09,2025-06-08,5,Pending
APP00223,A0087,Student,Norway,2023-06-30,2023-09-28,317,Rejected
APP00224,A0087,Business,UAE,2024-01-11,2024-04-10,7,Rejected
APP00225,A0088,Work,Sweden,2023-05-25,2023-06-09,97,Approved
APP00226,A0088,Business,Denmark,2024-05-31,2024-06-15,11,Pending
APP00227,A0088,Student,Norway,2024-12-17,2025-01-16,561,Rejected
APP00228,A0088,Business,Japan,2024-04-15,2024-06-14,22,Approved
APP00229,A0089,Student,New Zealand,2023-07-22,2023-08-21,641,Approved
APP00230,A0090,Transit,Spain,2024-06-05,2024-06-20,1,Pending
APP00231,A0090,Tourist,UAE,2022-04-15,2022-05-15,9,Approved
APP00232,A0090,Business,South Korea,2023-01-21,2023-03-07,55,Approved
APP00233,A0091,Business,Italy,2022-06-29,2022-07-29,24,Pending
APP00234,A0092,Tourist,France,2023-09-23,2023-12-22,15,Approved
APP00235,A0093,Business,France,2025-02-17,2025-04-03,57,Rejected
APP00236,A0094,Student,Japan,2022-06-17,2022-08-16,257,Rejected
APP00237,A0095,Student,Australia,2023-12-13,2023-12-28,454,Rejected
APP00238,A0095,Business,South Korea,2025-08-28,2025-10-12,49,Rejected
APP00239,A0096,Tourist,Canada,2022-12-26,2023-02-24,12,Approved
APP00240,A0096,Work,South Korea,2025-07-29,2025-09-27,334,Pending
APP00241,A0097,Student,Austria,2024-12-20,2025-01-04,291,Approved
APP00242,A0097,Student,Austria,2025-04-21,2025-06-05,720,Rejected
APP00243,A0097,Business,UK,2024-03-11,2024-06-09,9,Pending
APP00244,A0098,Work,Italy,2024-02-15,2024-04-15,229,Approved
APP00245,A0099,Tourist,Denmark,2024-12-14,2025-01-28,24,Approved
APP00246,A0099,Student,Switzerland,2023-04-21,2023-07-20,425,Pending
APP00247,A0099,Business,Japan,2023-02-20,2023-05-21,52,Pending
APP00248,A0100,Work,Netherlands,2025-12-20,2026-02-18,355,Rejected
APP00249,A0100,Business,Netherlands,2024-10-03,2024-12-02,28,Approved
APP00250,A0101,Work,Belgium,2022-03-10,2022-05-09,214,Pending
APP00251,A0101,Transit,Germany,2022-04-30,2022-05-15,4,Pending
APP00252,A0102,Business,France,2023-01-09,2023-01-24,16,Approved
APP00253,A0102,Work,Australia,2024-06-05,2024-07-20,108,Approved
APP00254,A0103,Student,UAE,2025-01-25,2025-02-09,588,Approved
APP00255,A0104,Business,USA,2024-12-26,2025-02-09,25,Approved
APP00256,A0104,Work,Spain,2023-12-27,2024-02-10,310,Pending
APP00257,A0105,Transit,Netherlands,2024-03-09,2024-06-07,3,Pending
APP00258,A0106,Transit,Italy,2023-10-17,2023-11-16,1,Approved
APP00259,A0106,Student,France,2024-08-30,2024-10-29,372,Approved
APP00260,A0106,Business,France,2022-09-26,2022-10-11,16,Rejected
APP00261,A0107,Business,Japan,2025-07-28,2025-09-26,51,Approved
APP00262,A0108,Work,Germany,2022-02-21,2022-03-23,95,Pending
APP00263,A0108,Work,France,2025-08-20,2025-11-18,114,Approved
APP00264,A0109,Tourist,USA,2022-01-13,2022-03-14,27,Pending
APP00265,A0109,Student,Singapore,2023-03-02,2023-04-16,298,Pending
APP00266,A0110,Student,South Korea,2022-06-12,2022-09-10,260,Approved
APP00267,A0110,Tourist,Switzerland,2022-03-09,2022-04-23,26,Approved
APP00268,A0110,Student,Denmark,2022-04-29,2022-05-14,213,Approved
APP00269,A0110,Tourist,Italy,2022-03-10,2022-05-09,15,Approved
APP00270,A0111,Work,Netherlands,2024-12-31,2025-03-31,305,Approved
APP00271,A0111,Work,Belgium,2025-04-25,2025-06-09,135,Approved
APP00272,A0112,Business,New Zealand,2022-03-23,2022-05-07,47,Rejected
APP00273,A0112,Work,Norway,2023-04-26,2023-05-11,149,Pending
APP00274,A0112,Student,Sweden,2023-12-23,2024-03-22,459,Pending
APP00275,A0113,Work,Italy,2022-11-25,2023-01-24,160,Approved
APP00276,A0113,Business,Australia,2025-09-25,2025-11-09,34,Approved
APP00277,A0113,Work,Japan,2023-10-11,2024-01-09,139,Approved
APP00278,A0114,Tourist,UAE,2025-10-28,2025-12-12,5,Pending
APP00279,A0114,Student,Sweden,2023-02-19,2023-05-20,542,Approved
APP00280,A0115,Work,Norway,2025-12-04,2026-01-18,219,Rejected
APP00281,A0115,Work,Japan,2023-05-18,2023-08-16,345,Approved
APP00282,A0116,Tourist,Netherlands,2025-07-12,2025-07-27,5,Approved
APP00283,A0116,Business,South Korea,2024-12-22,2025-01-21,40,Rejected
APP00284,A0116,Business,Australia,2024-03-28,2024-04-27,10,Rejected
APP00285,A0116,Tourist,UAE,2024-12-14,2024-12-29,13,Pending
APP00286,A0117,Business,Singapore,2025-02-08,2025-03-10,49,Approved
APP00287,A0118,Business,Austria,2025-05-07,2025-06-21,49,Approved
APP00288,A0118,Student,France,2024-11-17,2024-12-02,319,Approved
APP00289,A0118,Student,Italy,2023-03-26,2023-05-10,370,Pending
APP00290,A0118,Transit,Japan,2024-05-31,2024-06-15,4,Pending
APP00291,A0119,Work,South Korea,2022-02-22,2022-05-23,346,Approved
APP00292,A0120,Transit,UAE,2024-03-03,2024-03-18,5,Pending
APP00293,A0120,Transit,France,2025-09-23,2025-10-08,5,Approved
APP00294,A0120,Business,USA,2025-04-15,2025-07-14,49,Rejected
APP00295,A0121,Transit,Belgium,2024-08-05,2024-09-19,5,Pending
APP00296,A0121,Tourist,Spain,2022-07-03,2022-08-17,11,Approved
APP00297,A0121,Student,Italy,2025-01-03,2025-03-04,409,Approved
APP00298,A0122,Student,Switzerland,2022-12-03,2023-01-17,617,Rejected
APP00299,A0122,Transit,New Zealand,2023-11-08,2023-12-08,1,Approved
APP00300,A0123,Work,Sweden,2022-05-04,2022-08-02,322,Approved
APP00301,A0124,Student,Switzerland,2022-10-10,2023-01-08,450,Pending
APP00302,A0124,Work,USA,2024-06-25,2024-08-09,259,Approved
APP00303,A0125,Work,Spain,2022-05-18,2022-07-17,265,Rejected
APP00304,A0125,Tourist,Switzerland,2025-05-09,2025-06-23,22,Approved
APP00305,A0125,Transit,Italy,2022-04-25,2022-06-09,4,Rejected
APP00306,A0126,Transit,France,2022-09-26,2022-11-10,5,Rejected
APP00307,A0126,Student,South Korea,2023-03-28,2023-05-27,181,Approved
APP00308,A0127,Work,Germany,2025-08-25,2025-10-09,121,Approved
APP00309,A0128,Transit,South Korea,2024-08-13,2024-09-12,3,Pending
APP00310,A0128,Tourist,Canada,2025-10-25,2026-01-23,6,Approved
APP00311,A0128,Transit,UAE,2023-05-04,2023-06-18,2,Pending
APP00312,A0129,Business,Japan,2024-03-30,2024-06-28,19,Rejected
APP00313,A0129,Work,France,2025-11-14,2026-02-12,156,Approved
APP00314,A0129,Work,Netherlands,2023-10-31,2023-11-30,207,Rejected
APP00315,A0130,Tourist,Denmark,2025-11-07,2025-12-22,28,Pending
APP00316,A0130,Student,Austria,2023-12-26,2024-01-25,314,Approved
APP00317,A0131,Student,Italy,2024-09-14,2024-11-13,595,Pending
APP00318,A0131,Work,France,2024-03-24,2024-04-23,348,Pending
APP00319,A0131,Transit,Denmark,2023-12-31,2024-01-15,1,Pending
APP00320,A0132,Business,Canada,2022-11-16,2023-01-15,16,Rejected
APP00321,A0132,Work,Japan,2025-01-16,2025-03-17,314,Approved
APP00322,A0133,Business,Japan,2022-08-20,2022-10-19,26,Pending
APP00323,A0133,Tourist,Belgium,2022-02-10,2022-04-11,5,Approved
APP00324,A0133,Student,Italy,2023-01-29,2023-03-15,492,Approved
APP00325,A0134,Business,Japan,2025-08-30,2025-09-29,25,Rejected
APP00326,A0135,Business,USA,2022-08-05,2022-09-19,7,Rejected
APP00327,A0135,Tourist,New Zealand,2024-03-29,2024-05-13,5,Approved
APP00328,A0136,Business,Germany,2023-06-03,2023-09-01,10,Pending
APP00329,A0136,Tourist,New Zealand,2023-02-17,2023-04-18,30,Approved
APP00330,A0136,Work,UK,2024-12-22,2025-02-05,108,Pending
APP00331,A0136,Transit,Sweden,2023-08-04,2023-09-03,1,Approved
APP00332,A0137,Tourist,Switzerland,2024-01-03,2024-02-02,7,Pending
APP00333,A0137,Student,Singapore,2025-04-06,2025-05-21,624,Approved
APP00334,A0137,Business,Italy,2024-03-29,2024-04-13,54,Rejected
APP00335,A0137,Tourist,Australia,2023-03-11,2023-03-26,17,Pending
APP00336,A0138,Tourist,Belgium,2025-12-30,2026-03-30,18,Approved
APP00337,A0138,Business,Italy,2024-06-13,2024-07-28,21,Pending
APP00338,A0138,Business,France,2025-09-19,2025-12-18,14,Approved
APP00339,A0139,Business,Spain,2024-07-19,2024-10-17,12,Pending
APP00340,A0139,Business,UK,2025-07-27,2025-08-11,29,Rejected
APP00341,A0139,Student,Sweden,2023-07-14,2023-08-13,573,Approved
APP00342,A0140,Tourist,USA,2024-12-29,2025-02-12,24,Pending
APP00343,A0140,Student,Italy,2025-10-06,2025-12-05,341,Approved
APP00344,A0141,Student,France,2024-12-27,2025-03-27,421,Approved
APP00345,A0141,Work,South Korea,2022-09-09,2022-11-08,341,Pending
APP00346,A0141,Tourist,Australia,2025-10-26,2025-11-10,22,Rejected
APP00347,A0142,Transit,UAE,2024-02-11,2024-03-27,3,Rejected
APP00348,A0142,Work,Denmark,2022-05-22,2022-08-20,119,Pending
APP00349,A0142,Transit,Netherlands,2024-11-17,2025-02-15,2,Rejected
APP00350,A0142,Work,Denmark,2025-09-09,2025-10-24,229,Rejected
APP00351,A0143,Transit,Spain,2023-08-07,2023-08-22,3,Approved
APP00352,A0143,Work,Switzerland,2025-10-22,2025-11-06,156,Approved
APP00353,A0144,Business,France,2024-04-15,2024-07-14,12,Pending
APP00354,A0144,Work,Norway,2023-12-02,2024-01-31,161,Pending
APP00355,A0144,Transit,Sweden,2025-12-17,2026-03-17,3,Approved
APP00356,A0144,Business,Sweden,2022-09-05,2022-10-20,46,Approved
APP00357,A0145,Transit,UK,2022-07-08,2022-08-22,2,Pending
APP00358,A0145,Transit,Spain,2024-03-27,2024-04-11,3,Rejected
APP00359,A0145,Tourist,Denmark,2023-05-02,2023-07-01,27,Approved
APP00360,A0145,Business,Italy,2024-11-20,2025-02-18,23,Approved
APP00361,A0146,Transit,France,2025-12-03,2026-02-01,1,Approved
APP00362,A0146,Work,Spain,2025-03-09,2025-05-08,163,Pending
APP00363,A0146,Tourist,Canada,2024-03-23,2024-04-22,11,Approved
APP00364,A0146,Business,Netherlands,2023-06-17,2023-07-02,13,Approved
APP00365,A0147,Tourist,South Korea,2023-09-14,2023-12-13,19,Pending
APP00366,A0148,Tourist,New Zealand,2025-01-01,2025-01-31,22,Approved
APP00367,A0148,Transit,France,2022-10-31,2022-12-15,1,Pending
APP00368,A0149,Student,UK,2022-12-12,2022-12-27,550,Pending
APP00369,A0149,Transit,South Korea,2025-08-08,2025-08-23,2,Pending
APP00370,A0150,Tourist,Sweden,2024-02-26,2024-04-26,23,Approved
APP00371,A0150,Transit,Italy,2025-09-26,2025-10-11,1,Rejected
APP00372,A0150,Business,Netherlands,2022-07-31,2022-09-14,32,Pending
APP00373,A0150,Business,France,2022-09-09,2022-11-08,29,Approved
APP00374,A0151,Transit,Japan,2025-11-26,2026-01-10,2,Rejected
