payment_id,application_id,amount,payment_date,payment_method,payment_status
PAY00188,APP00096,3000,2024-11-05,Cheque,Success
PAY00189,APP00097,7000,2024-05-26,Cheque,Success
PAY00190,APP00097,20000,2023-07-24,Debit Card,Success
PAY00191,APP00098,5000,2022-02-15,Cheque,Success
PAY00192,APP00099,20000,2025-10-28,UPI,Failed
PAY00193,APP00099,7000,2023-07-12,Debit Card,Success
PAY00194,APP00100,20000,2024-11-14,NetBanking,Success
PAY00195,APP00100,3000,2023-05-31,Card,Success
PAY00196,APP00100,3000,2023-12-27,Cheque,Success
PAY00197,APP00101,3000,2023-08-16,Credit Card,Success
PAY00198,APP00102,15000,2024-03-22,Cash,Success
PAY00199,APP00102,3000,2022-10-29,Card,Success
PAY00200,APP00102,15000,2023-06-08,Card,Success
PAY00201,APP00103,5000,2025-03-12,Credit Card,Success
PAY00202,APP00103,7000,2022-01-18,Debit Card,Success
PAY00203,APP00104,20000,2024-07-08,Cheque,Success
PAY00204,APP00104,10000,2025-04-01,Cheque,Success
PAY00205,APP00105,3000,2023-11-14,Cash,Failed
PAY00206,APP00105,10000,2023-07-11,UPI,Success
PAY00207,APP00106,5000,2022-12-17,Credit Card,Failed
PAY00208,APP00107,7000,2022-06-16,NetBanking,Success
PAY00209,APP00108,7000,2025-12-07,Credit Card,Success
PAY00210,APP00109,7000,2024-11-15,Wallet,Success
PAY00211,APP00109,10000,2022-10-31,UPI,Success
PAY00212,APP00109,15000,2024-08-08,Cheque,Success
PAY00213,APP00110,7000,2024-04-01,Wallet,Failed
PAY00214,APP00111,3000,2025-08-02,Wallet,Success
PAY00215,APP00112,3000,2023-06-14,Cash,Pending
PAY00216,APP00112,7000,2024-11-08,Wallet,Success
PAY00217,APP00112,3000,2025-09-29,Debit Card,Success
PAY00218,APP00113,3000,2025-01-20,UPI,Success
PAY00219,APP00113,7000,2023-08-24,Cash,Success
PAY00220,APP00113,15000,2023-06-19,NetBanking,Failed
PAY00221,APP00114,20000,2024-12-01,NetBanking,Success
PAY00222,APP00114,7000,2024-06-13,Debit Card,Success
PAY00223,APP00115,20000,2022-09-15,Cheque,Failed
PAY00224,APP00115,3000,2023-05-18,Debit Card,Success
PAY00225,APP00115,10000,2025-03-07,Debit Card,Success
PAY00226,APP00116,7000,2025-07-02,Debit Card,Success
PAY00227,APP00117,3000,2022-07-27,Cash,Success
PAY00228,APP00117,15000,2025-11-28,NetBanking,Success
PAY00229,APP00118,5000,2025-02-28,NetBanking,Failed
PAY00230,APP00119,5000,2025-07-05,Credit Card,Success
PAY00231,APP00119,10000,2023-10-21,Cheque,Success
PAY00232,APP00120,20000,2022-09-26,Cheque,Success
PAY00233,APP00120,20000,2023-12-17,Card,Success
PAY00234,APP00121,7000,2025-09-14,Cash,Success
PAY00235,APP00121,20000,2024-07-15,Cheque,Success
PAY00236,APP00122,20000,2022-01-20,UPI,Success
PAY00237,APP00122,3000,2025-08-03,Debit Card,Success
PAY00238,APP00123,7000,2024-09-15,Cash,Success
PAY00239,APP00123,10000,2024-07-02,Card,Failed
PAY00240,APP00124,3000,2023-07-10,Debit Card,Success
PAY00241,APP00125,20000,2022-08-16,Card,Success
PAY00242,APP00125,7000,2024-11-21,NetBanking,Success
PAY00243,APP00126,3000,2024-01-17,Debit Card,Success
PAY00244,APP00127,7000,2024-04-29,UPI,Failed
PAY00245,APP00127,20000,2024-08-09,Cheque,Success
PAY00246,APP00127,10000,2023-08-08,Card,Success
PAY00247,APP00128,10000,2023-06-01,Wallet,Success
PAY00248,APP00128,5000,2022-07-30,Wallet,Success
PAY00249,APP00128,20000,2022-04-08,Card,Success
PAY00250,APP00129,10000,2022-03-20,Cheque,Success
PAY00251,APP00129,15000,2024-01-11,Cheque,Failed
PAY00252,APP00129,3000,2022-04-18,Credit Card,Success
PAY00253,APP00130,10000,2022-11-29,NetBanking,Failed
PAY00254,APP00130,5000,2022-06-23,Cheque,Success
PAY00255,APP00130,5000,2023-11-04,Credit Card,Success
PAY00256,APP00131,3000,2024-02-19,Credit Card,Success
PAY00257,APP00131,15000,2024-02-26,Wallet,Success
PAY00258,APP00131,20000,2022-02-19,Cash,Success
PAY00259,APP00132,20000,2025-07-16,Card,Success
PAY00260,APP00132,7000,2024-01-01,Cash,Failed
PAY00261,APP00132,7000,2022-03-03,Card,Success
PAY00262,APP00133,5000,2022-11-14,Debit Card,Success
PAY00263,APP00133,20000,2022-03-28,Wallet,Failed
PAY00264,APP00133,15000,2022-01-24,UPI,Failed
PAY00265,APP00134,5000,2024-01-20,Credit Card,Success
PAY00266,APP00135,3000,2024-11-17,Wallet,Failed
PAY00267,APP00135,5000,2023-05-21,Credit Card,Success
PAY00268,APP00135,15000,2025-10-06,Debit Card,Success
PAY00269,APP00136,10000,2024-12-14,Cheque,Success
PAY00270,APP00137,7000,2022-06-16,Credit Card,Success
PAY00271,APP00137,7000,2024-02-21,Credit Card,Failed
PAY00272,APP00137,7000,2024-10-19,Card,Success
PAY00273,APP00138,3000,2025-07-12,NetBanking,Success
PAY00274,APP00138,15000,2023-04-05,UPI,Success
PAY00275,APP00138,10000,2024-02-24,Cash,Success
PAY00276,APP00139,5000,2025-02-16,Cheque,Success
PAY00277,APP00139,10000,2025-02-05,Cheque,Failed
PAY00278,APP00139,3000,2024-02-14,UPI,Success
PAY00279,APP00140,3000,2024-03-12,Wallet,Success
PAY00280,APP00140,10000,2022-07-19,Cheque,Failed
PAY00281,APP00141,5000,2024-01-15,Cheque,Success
PAY00282,APP00141,3000,2023-03-20,Credit Card,Success
PAY00283,APP00142,7000,2022-01-06,Debit Card,Success
PAY00284,APP00143,10000,2022-10-04,Card,Success
PAY00285,APP00143,15000,2022-08-18,Debit Card,Success
PAY00286,APP00143,10000,2023-02-22,Cash,Success
PAY00287,APP00144,20000,2024-02-05,Debit Card,Pending
PAY00288,APP00144,7000,2025-04-21,Credit Card,Success
PAY00289,APP00144,7000,2023-06-02,NetBanking,Success
PAY00290,APP00145,15000,2023-10-27,NetBanking,Failed
PAY00291,APP00146,20000,2022-11-08,NetBanking,Failed
PAY00292,APP00146,5000,2023-09-14,Card,Success
PAY00293,APP00147,5000,2025-05-25,Cash,Success
PAY00294,APP00147,15000,2022-02-18,Credit Card,Success
PAY00295,APP00148,20000,2024-02-11,Cheque,Success
PAY00296,APP00148,15000,2022-06-14,Debit Card,Success
PAY00297,APP00148,5000,2023-07-02,UPI,Success
PAY00298,APP00149,10000,2025-10-22,Wallet,Success
PAY00299,APP00150,15000,2025-04-07,Cash,Failed
PAY00300,APP00151,10000,2023-04-26,NetBanking,Success
PAY00301,APP00151,5000,2023-05-06,Credit Card,Success
PAY00302,APP00152,10000,2023-02-18,Debit Card,Pending
PAY00303,APP00152,3000,2025-05-26,Wallet,Success
PAY00304,APP00153,7000,2025-01-31,NetBanking,Success
PAY00305,APP00153,3000,2024-03-16,Debit Card,Success
PAY00306,APP00153,5000,2023-06-26,UPI,Failed
PAY00307,APP00154,7000,2024-04-16,Credit Card,Success
PAY00308,APP00155,10000,2022-01-01,Credit Card,Success
PAY00309,APP00156,3000,2022-12-15,Credit Card,Success
PAY00310,APP00156,10000,2025-06-30,Cash,Success
PAY00311,APP00157,5000,2023-05-27,Wallet,Success
PAY00312,APP00157,5000,2023-09-10,UPI,Success
PAY00313,APP00157,3000,2024-08-28,Cheque,Success
PAY00314,APP00158,3000,2025-04-18,Credit Card,Success
PAY00315,APP00159,3000,2024-08-31,Cash,Success
PAY00316,APP00159,15000,2024-06-14,Card,Success
PAY00317,APP00159,15000,2023-01-25,Card,Success
PAY00318,APP00160,20000,2022-08-29,Credit Card,Success
PAY00319,APP00160,10000,2025-01-05,Debit Card,Success
PAY00320,APP00161,10000,2024-03-04,Wallet,Success
PAY00321,APP00161,3000,2025-12-24,Cash,Success
PAY00322,APP00162,10000,2024-12-27,Debit Card,Success
PAY00323,APP00163,7000,2022-11-28,Credit Card,Success
PAY00324,APP00163,7000,2025-08-22,Cash,Success
PAY00325,APP00163,7000,2025-10-01,Card,Failed
PAY00326,APP00164,20000,2022-08-23,Wallet,Failed
PAY00327,APP00165,20000,2025-07-28,Cash,Success
PAY00328,APP00165,15000,2023-05-21,UPI,Failed
PAY00329,APP00165,10000,2022-12-28,Card,Success
PAY00330,APP00166,5000,2022-01-10,Credit Card,Success
PAY00331,APP00166,15000,2022-06-17,NetBanking,Success
PAY00332,APP00166,3000,2022-09-14,Debit Card,Failed
PAY00333,APP00167,7000,2022-02-14,NetBanking,Success
PAY00334,APP00168,7000,2024-02-27,Cash,Success
PAY00335,APP00168,7000,2022-04-05,Debit Card,Success
PAY00336,APP00169,5000,2022-05-16,Credit Card,Failed
PAY00337,APP00170,10000,2025-09-13,Cash,Success
PAY00338,APP00170,20000,2025-02-21,NetBanking,Success
PAY00339,APP00171,20000,2022-07-16,Debit Card,Failed
PAY00340,APP00171,5000,2025-04-30,UPI,Failed
PAY00341,APP00172,5000,2022-12-08,Cheque,Success
PAY00342,APP00172,15000,2022-07-17,Debit Card,Failed
PAY00343,APP00173,15000,2023-09-18,UPI,Pending
PAY00344,APP00173,7000,2023-04-12,UPI,Success
PAY00345,APP00173,15000,2022-11-03,Cheque,Success
PAY00346,APP00174,15000,2025-05-04,Credit Card,Success
PAY00347,APP00174,10000,2025-02-15,Card,Success
PAY00348,APP00174,15000,2025-09-08,Debit Card,Success
PAY00349,APP00175,5000,2022-10-16,Card,Success
PAY00350,APP00175,7000,2023-07-01,Debit Card,Success
PAY00351,APP00176,5000,2025-04-23,Credit Card,Success
PAY00352,APP00177,10000,2025-07-22,Wallet,Success
PAY00353,APP00177,10000,2022-02-18,UPI,Success
PAY00354,APP00177,5000,2022-06-23,NetBanking,Success
PAY00355,APP00178,7000,2024-01-07,Card,Failed
PAY00356,APP00178,20000,2025-03-15,Credit Card,Success
PAY00357,APP00178,15000,2025-12-04,Cheque,Success
PAY00358,APP00179,7000,2024-06-13,Cash,Success
PAY00359,APP00179,10000,2024-12-31,Cash,Success
PAY00360,APP00179,5000,2024-09-10,UPI,Success
PAY00361,APP00180,7000,2022-02-28,Wallet,Success
PAY00362,APP00181,20000,2024-10-15,Card,Failed
PAY00363,APP00181,10000,2025-01-04,Cash,Success
PAY00364,APP00182,10000,2023-12-19,Wallet,Failed
PAY00365,APP00182,20000,2024-08-11,UPI,Success
PAY00366,APP00182,3000,2025-02-23,UPI,Success
PAY00367,APP00183,5000,2024-02-16,Cheque,Pending
PAY00368,APP00183,5000,2022-12-18,Wallet,Success
PAY00369,APP00184,15000,2024-11-22,UPI,Success
PAY00370,APP00184,10000,2024-07-08,Credit Card,Success
PAY00371,APP00185,20000,2022-04-03,UPI,Failed
PAY00372,APP00186,10000,2023-04-11,Credit Card,Success
PAY00373,APP00187,20000,2023-12-01,NetBanking,Failed
PAY00374,APP00187,5000,2023-08-30,Card,Success
PAY00375,APP00187,5000,2022-08-27,Cash,Success
PAY00376,APP00188,7000,2024-05-30,Debit Card,Success
PAY00377,APP00188,20000,2023-03-13,UPI,Success
PAY00378,APP00189,20000,2025-09-15,Debit Card,Failed
PAY00379,APP00190,20000,2023-03-17,Card,Success
PAY00380,APP00190,7000,2025-01-03,Credit Card,Failed
PAY00381,APP00190,7000,2025-05-15,Card,Failed
PAY00382,APP00191,15000,2022-04-10,Debit Card,Success
PAY00383,APP00191,7000,2022-06-24,NetBanking,Failed
PAY00384,APP00191,15000,2024-08-28,Debit Card,Failed
PAY00385,APP00192,10000,2025-12-24,Debit Card,Failed
PAY00386,APP00193,5000,2023-05-24,Debit Card,Pending
PAY00387,APP00193,10000,2024-11-29,Credit Card,Success
PAY00388,APP00193,5000,2022-06-30,Cash,Success
PAY00389,APP00194,20000,2023-08-25,Debit Card,Success
PAY00390,APP00194,5000,2024-07-10,Cash,Success
PAY00391,APP00195,10000,2023-03-17,NetBanking,Success
PAY00392,APP00195,7000,2024-08-21,Cash,Failed
PAY00393,APP00196,10000,2024-07-19,Credit Card,Success
PAY00394,APP00196,3000,2025-01-22,Credit Card,Success
PAY00395,APP00197,20000,2024-12-04,Wallet,Pending
PAY00396,APP00197,3000,2024-09-06,Debit Card,Success
PAY00397,APP00197,10000,2023-11-17,Credit Card,Success
PAY00398,APP00198,10000,2025-01-13,Wallet,Failed
PAY00399,APP00198,3000,2024-12-18,Wallet,Failed
PAY00400,APP00199,7000,2023-06-28,Cash,Success
PAY00401,APP00199,20000,2024-01-03,Card,Success
PAY00402,APP00199,20000,2024-10-06,Cheque,Failed
PAY00403,APP00200,10000,2024-09-24,Cash,Pending
PAY00404,APP00201,15000,2025-11-29,UPI,Failed
PAY00405,APP00201,10000,2025-12-31,Card,Success
PAY00406,APP00202,5000,2022-08-10,Cheque,Pending
PAY00407,APP00203,7000,2025-08-11,Cheque,Success
PAY00408,APP00204,7000,2022-11-03,Wallet,Pending
PAY00409,APP00204,7000,2025-01-26,NetBanking,Success
PAY00410,APP00204,10000,2022-11-15,Wallet,Success
PAY00411,APP00205,5000,2023-01-03,UPI,Failed
PAY00412,APP00205,7000,2025-09-18,Cash,Success
PAY00413,APP00205,5000,2025-03-12,NetBanking,Failed
PAY00414,APP00206,10000,2025-07-09,Cheque,Pending
PAY00415,APP00206,10000,2025-04-01,NetBanking,Success
PAY00416,APP00207,7000,2023-12-19,Credit Card,Success
PAY00417,APP00207,20000,2024-12-13,Credit Card,Failed
PAY00418,APP00208,10000,2023-07-12,NetBanking,Success
PAY00419,APP00208,5000,2023-08-06,NetBanking,Success
PAY00420,APP00208,10000,2023-09-25,Card,Success
PAY00421,APP00209,10000,2024-01-15,Wallet,Failed
PAY00422,APP00210,3000,2023-02-20,UPI,Success
PAY00423,APP00210,10000,2024-03-04,UPI,Success
PAY00424,APP00211,3000,2022-12-09,Cash,Success
PAY00425,APP00212,3000,2025-06-20,Debit Card,Success
PAY00426,APP00212,15000,2022-02-26,Cash,Success
PAY00427,APP00212,15000,2022-08-25,Debit Card,Success
PAY00428,APP00213,15000,2022-09-11,Cheque,Failed
PAY00429,APP00213,10000,2025-05-03,Card,Failed
PAY00430,APP00213,5000,2024-09-09,Wallet,Success
PAY00431,APP00214,7000,2023-07-26,NetBanking,Success
PAY00432,APP00215,7000,2023-04-11,Cash,Success
PAY00433,APP00216,5000,2023-07-27,Debit Card,Pending
PAY00434,APP00216,5000,2024-11-02,NetBanking,Success
PAY00435,APP00217,20000,2023-08-12,NetBanking,Success
PAY00436,APP00217,20000,2022-04-07,Wallet,Success
PAY00437,APP00218,15000,2023-02-20,Card,Pending
PAY00438,APP00219,7000,2023-09-17,UPI,Failed
PAY00439,APP00219,5000,2023-02-24,Debit Card,Success
PAY00440,APP00220,5000,2024-11-23,Cash,Pending
PAY00441,APP00220,15000,2024-07-26,Credit Card,Failed
PAY00442,APP00220,5000,2025-06-30,Debit Card,Success
PAY00443,APP00221,5000,2022-02-13,Cheque,Success
PAY00444,APP00221,7000,2024-06-23,Card,Failed
PAY00445,APP00222,3000,2023-03-31,UPI,Success
PAY00446,APP00222,10000,2024-07-25,Card,Success
PAY00447,APP00222,3000,2025-12-15,NetBanking,Success
PAY00448,APP00223,10000,2023-01-20,Cash,Success
PAY00449,APP00223,15000,2023-04-24,Debit Card,Success
PAY00450,APP00223,7000,2023-11-03,Debit Card,Success
PAY00451,APP00224,3000,2022-01-26,Credit Card,Pending
PAY00452,APP00225,7000,2023-02-23,Cheque,Failed
PAY00453,APP00225,15000,2025-01-17,Card,Success
PAY00454,APP00226,15000,2022-02-04,Wallet,Failed
PAY00455,APP00226,5000,2022-10-19,Debit Card,Success
PAY00456,APP00227,20000,2025-02-18,NetBanking,Failed
PAY00457,APP00227,7000,2023-09-10,Cash,Success
PAY00458,APP00227,10000,2023-02-10,NetBanking,Success
PAY00459,APP00228,10000,2023-08-03,NetBanking,Success
PAY00460,APP00228,15000,2025-06-06,Card,Success
PAY00461,APP00228,5000,2023-06-03,Card,Failed
PAY00462,APP00229,7000,2022-06-11,Debit Card,Success
PAY00463,APP00229,15000,2025-12-10,Cheque,Failed
PAY00464,APP00229,3000,2023-11-22,Wallet,Failed
PAY00465,APP00230,5000,2023-06-03,Card,Success
PAY00466,APP00230,7000,2023-08-16,Credit Card,Success
PAY00467,APP00230,3000,2022-05-24,UPI,Success
PAY00468,APP00231,10000,2023-10-19,Wallet,Success
PAY00469,APP00232,3000,2023-01-25,Credit Card,Success
PAY00470,APP00232,20000,2023-01-18,NetBanking,Success
PAY00471,APP00232,3000,2023-07-27,Card,Success
PAY00472,APP00233,15000,2024-10-09,Cheque,Success
PAY00473,APP00234,15000,2025-07-09,Cheque,Success
PAY00474,APP00234,10000,2022-05-22,NetBanking,Success
PAY00475,APP00235,3000,2024-08-25,Debit Card,Failed
PAY00476,APP00235,3000,2025-07-18,Credit Card,Success
PAY00477,APP00236,3000,2025-05-22,Credit Card,Success
